date,Open,High,Low,Close,Volume
2019-08-20,201.55,203.74,201.5,202.48,1143619.0
2019-08-21,203.81,205.29,202.84,202.85,682827.0
2019-08-22,202.88,203.79,201.15,201.66,906504.0
2019-08-23,200.7,201.52,197.66,198.51,1018462.0
2019-08-26,200.0,203.03,197.52,202.44,1147702.0
2019-08-27,201.91,202.95,197.86,198.19,987501.0
2019-08-28,197.46,202.33,196.63,201.83,844202.0
2019-08-29,202.82,205.3,202.69,204.63,761836.0
2019-08-30,204.72,205.29,203.43,204.35,983397.0
2019-09-03,203.36,208.47,202.25,208.35,899736.0
2019-09-04,209.5,211.98,208.46,210.18,883790.0
2019-09-05,212.0,212.0,204.58,204.93,1025885.0
2019-09-06,204.71,205.62,203.63,204.75,955317.0
2019-09-09,204.98,207.54,204.6,206.75,999786.0
2019-09-10,206.22,208.7,204.35,208.18,920261.0
2019-09-11,208.18,208.88,205.32,206.77,979467.0
2019-09-12,206.0,207.06,202.34,203.97,1124522.0
2019-09-13,204.84,205.88,203.54,204.07,595124.0
2019-09-16,203.67,204.75,202.28,203.84,700926.0
2019-09-17,204.8,208.0,203.2,205.75,1369579.0
2019-09-18,206.12,207.52,203.98,207.33,985446.0
2019-09-19,207.24,207.85,205.75,207.34,762591.0
2019-09-20,207.9,209.29,204.59,205.1,1559060.0
2019-09-23,205.1,206.36,204.66,205.77,863898.0
2019-09-24,206.72,206.78,203.7,205.04,766213.0
2019-09-25,206.44,207.45,203.65,204.0,1598846.0
2019-09-26,204.42,207.63,204.33,206.07,926694.0
2019-09-27,207.33,207.98,205.09,206.0,848046.0
2019-09-30,206.74,208.47,206.0,207.28,1028896.0
2019-10-01,207.6,210.65,207.59,209.41,1176103.0
2019-10-02,208.14,208.14,204.31,206.79,1407002.0
2019-10-03,201.03,202.24,191.02,194.26,4743792.0
2019-10-04,196.02,198.67,190.89,193.74,2133054.0
2019-10-07,193.39,193.73,188.1,188.74,1731394.0
2019-10-08,187.84,190.28,186.41,189.52,1346994.0
2019-10-09,189.78,192.22,189.08,191.46,1092981.0
2019-10-10,191.44,194.08,190.41,192.71,963629.0
2019-10-11,193.61,198.5,192.61,193.08,965073.0
2019-10-14,192.43,193.28,191.04,192.97,761847.0
2019-10-15,192.94,197.61,192.58,196.76,1103397.0
2019-10-16,197.27,198.65,195.87,198.48,908160.0
2019-10-17,198.7,199.3,196.53,197.29,984184.0
2019-10-18,197.13,198.6,196.0,197.02,843398.0
2019-10-21,196.76,196.89,194.34,194.58,780373.0
2019-10-22,194.64,197.16,193.86,196.81,631658.0
2019-10-23,196.0,198.0,195.17,197.54,610408.0
2019-10-24,197.7,197.7,195.48,196.69,666706.0
2019-10-25,195.83,197.38,194.44,195.84,765113.0
2019-10-28,195.41,196.46,192.85,192.92,933260.0
2019-10-29,192.98,194.93,192.2,192.98,695365.0
2019-10-30,192.72,192.97,190.82,191.54,928601.0
2019-10-31,191.32,191.81,189.0,190.33,1002326.0
2019-11-01,191.26,193.48,190.56,191.0,1116560.0
2019-11-04,191.56,194.09,191.01,193.92,835472.0
2019-11-05,194.22,195.5,191.66,191.72,788189.0
2019-11-06,192.0,193.65,190.83,193.21,712892.0
2019-11-07,193.27,193.97,190.14,190.28,741187.0
2019-11-08,190.4,190.6,186.5,187.56,1435927.0
2019-11-11,187.0,187.17,184.02,184.52,1484939.0
2019-11-12,184.88,184.91,182.17,183.83,1501053.0
2019-11-13,184.0,185.92,183.02,184.01,805150.0
2019-11-14,183.0,185.13,181.88,182.86,1273465.0
2019-11-15,182.94,183.4,179.45,179.65,1852592.0
2019-11-18,179.86,179.86,174.13,174.89,2433257.0
2019-11-19,174.92,181.05,174.75,180.96,1670067.0
2019-11-20,182.02,186.04,181.84,185.86,2139663.0
2019-11-21,186.1,187.43,185.22,186.63,1112718.0
2019-11-22,186.43,186.56,180.98,181.22,2098475.0
2019-11-25,182.34,183.72,181.65,183.57,987009.0
2019-11-26,182.62,185.12,181.5,184.06,1030559.0
2019-11-27,184.75,186.47,183.96,185.75,675978.0
2019-11-29,185.54,186.31,184.72,186.06,369375.0
2019-12-02,185.98,186.3,184.78,186.08,798629.0
2019-12-03,184.76,184.87,181.74,184.49,1018128.0
2019-12-04,184.65,184.87,181.24,184.29,991885.0
2019-12-05,184.0,185.16,180.95,182.46,1339151.0
2019-12-06,183.52,184.85,182.89,183.65,722211.0
2019-12-09,182.86,183.5,179.52,181.27,1303287.0
2019-12-10,181.0,181.48,179.02,180.93,819641.0
2019-12-11,180.93,181.97,179.01,181.62,918193.0
2019-12-12,181.05,183.42,179.67,179.79,884570.0
2019-12-13,181.53,182.83,179.87,182.06,945423.0
2019-12-16,181.79,184.23,180.12,182.89,1311087.0
2019-12-17,182.9,184.6,182.53,183.12,920051.0
2019-12-18,183.62,184.45,182.32,183.68,860323.0
2019-12-19,184.25,186.35,184.0,185.82,1046779.0
2019-12-20,186.94,189.07,186.23,188.9,2342565.0
2019-12-23,189.03,189.2,187.01,188.04,804411.0
2019-12-24,188.73,188.82,186.42,186.83,400164.0
2019-12-26,187.26,189.93,186.73,189.66,807694.0
2019-12-27,189.93,190.57,188.87,189.23,568583.0
2019-12-30,189.15,189.37,187.8,188.37,901049.0
2019-12-31,188.0,189.79,187.1,189.75,896858.0
2020-01-02,189.97,190.0,186.66,188.3,1060462.0
2020-01-03,187.36,189.91,186.28,189.53,1311379.0
2020-01-06,188.98,191.74,187.52,190.4,1614527.0
2020-01-07,189.18,189.94,183.31,183.6,2304115.0
2020-01-08,188.75,193.75,182.17,190.29,4577309.0
2020-01-09,191.9,195.96,190.61,193.59,2475453.0
2020-01-10,192.09,192.64,187.6,188.38,1881238.0
2020-01-13,188.11,190.0,187.45,188.44,1401538.0
