date,Open,High,Low,Close,Volume
2019-08-20,76.49,77.34,76.1,76.74,1397159.0
2019-08-21,78.06,78.19,76.97,77.58,1314089.0
2019-08-22,77.79,78.0,76.5,76.92,1088411.0
2019-08-23,76.16,76.55,73.32,73.55,2466369.0
2019-08-26,74.39,74.49,73.51,73.75,1289448.0
2019-08-27,74.23,74.68,72.8,72.87,1405709.0
2019-08-28,72.33,73.56,71.51,73.37,1232316.0
2019-08-29,74.51,75.53,74.03,74.95,1227777.0
2019-08-30,75.48,75.63,74.31,75.27,1254903.0
2019-09-03,74.86,75.24,73.63,74.17,1378527.0
2019-09-04,75.45,76.28,75.33,76.02,1127945.0
2019-09-05,77.58,79.34,77.56,79.33,2298592.0
2019-09-06,79.28,80.14,79.0,79.87,1548321.0
2019-09-09,80.18,80.83,79.08,79.72,1343056.0
2019-09-10,79.5,80.3,78.59,80.3,1344193.0
2019-09-11,81.0,83.59,80.65,83.51,2366631.0
2019-09-12,83.87,84.35,81.74,82.33,2024629.0
2019-09-13,82.15,83.11,82.07,82.14,1676671.0
2019-09-16,81.78,82.54,80.61,81.98,1341989.0
2019-09-17,81.16,81.61,79.62,80.95,1705799.0
2019-09-18,80.82,80.82,78.87,80.24,1415173.0
2019-09-19,80.3,81.48,79.23,79.27,1571069.0
2019-09-20,79.85,80.96,79.32,79.75,2073584.0
2019-09-23,79.68,80.97,79.4,79.84,1008657.0
2019-09-24,80.09,80.74,78.96,79.72,1608944.0
2019-09-25,79.23,81.02,78.81,80.99,1282709.0
2019-09-26,79.7,80.73,79.39,80.36,2307898.0
2019-09-27,80.09,80.74,77.2,77.47,2876556.0
2019-09-30,78.19,79.33,77.88,79.25,1944829.0
2019-10-01,79.81,81.01,77.35,77.41,1977729.0
2019-10-02,76.73,76.98,75.03,75.43,2146602.0
2019-10-03,75.75,77.44,74.42,77.27,1498947.0
2019-10-04,79.0,80.7,78.8,80.65,1836363.0
2019-10-07,80.56,81.71,80.24,80.88,1519787.0
2019-10-08,80.21,80.6,78.93,79.0,1829310.0
2019-10-09,80.1,81.13,79.58,80.71,1318190.0
2019-10-10,83.11,85.49,83.05,84.89,2913729.0
2019-10-11,86.05,86.47,83.61,85.4,2576019.0
2019-10-14,85.1,85.32,84.6,84.98,1352562.0
2019-10-15,85.6,87.08,84.94,86.64,1633666.0
2019-10-16,86.47,86.62,85.23,85.66,1374963.0
2019-10-17,86.5,87.64,85.88,87.55,2010849.0
2019-10-18,87.29,88.27,86.82,87.77,2045610.0
2019-10-21,88.21,90.01,88.2,89.89,1676096.0
2019-10-22,89.65,89.84,88.94,88.96,1222081.0
2019-10-23,87.63,89.66,87.31,89.29,1359779.0
2019-10-24,90.3,90.9,89.07,89.69,1595494.0
2019-10-25,90.01,90.59,89.69,90.06,1296319.0
2019-10-28,90.98,91.94,90.8,91.66,1363787.0
2019-10-29,91.5,91.62,90.5,91.21,1212595.0
2019-10-30,91.52,91.52,89.95,90.97,1068384.0
2019-10-31,90.59,91.06,89.29,91.06,1694596.0
2019-11-01,94.65,98.57,94.59,98.3,3874147.0
2019-11-04,99.14,99.27,98.23,98.48,1903279.0
2019-11-05,98.75,99.95,98.58,98.72,1906789.0
2019-11-06,98.12,98.56,97.2,98.13,1486690.0
2019-11-07,99.2,99.51,97.93,98.64,1484702.0
2019-11-08,98.6,100.81,98.48,100.44,1736479.0
2019-11-11,100.05,100.56,99.25,100.38,1519571.0
2019-11-12,101.93,102.87,100.43,101.59,4361634.0
2019-11-13,95.6,101.99,95.55,101.14,7344547.0
2019-11-14,100.0,100.42,98.37,98.75,2593475.0
2019-11-15,99.68,100.1,98.54,99.42,2687771.0
2019-11-18,98.9,99.21,97.17,97.45,2671306.0
2019-11-19,98.08,98.1,95.3,96.61,2529436.0
2019-11-20,95.63,97.65,95.6,96.04,2156872.0
2019-11-21,96.4,97.0,95.58,96.41,1478517.0
2019-11-22,96.9,97.87,96.39,97.84,1767997.0
2019-11-25,98.5,101.12,98.14,100.82,2253981.0
2019-11-26,100.5,100.71,98.78,99.12,2237503.0
2019-11-27,99.55,100.13,99.11,99.63,991118.0
