date,Open,High,Low,Close,Volume
2019-08-20,35.29,35.3,34.9,34.98,21805804.0
2019-08-21,35.19,35.25,34.97,35.16,21916204.0
2019-08-22,35.24,35.5,35.08,35.39,21461215.0
2019-08-23,35.3,35.44,34.64,34.82,33864032.0
2019-08-26,34.97,35.14,34.71,34.93,23199367.0
2019-08-27,35.01,35.04,34.63,34.72,32086664.0
2019-08-28,34.67,34.98,34.53,34.96,24364555.0
2019-08-29,35.11,35.33,35.05,35.15,23298615.0
2019-08-30,35.18,35.35,35.07,35.26,21607032.0
2019-09-03,35.08,35.39,34.92,35.38,20540948.0
2019-09-04,35.53,35.82,35.44,35.72,20736837.0
2019-09-05,35.9,35.98,35.75,35.89,21739745.0
2019-09-06,35.95,36.37,35.91,36.25,29252262.0
2019-09-09,37.82,38.14,36.71,36.79,116292803.0
2019-09-10,37.21,37.72,36.97,37.58,47851979.0
2019-09-11,37.93,38.75,37.71,38.74,55026330.0
2019-09-12,38.37,38.48,37.73,38.38,42636009.0
2019-09-13,38.01,38.35,37.74,37.91,39221843.0
2019-09-16,37.7,37.83,37.11,37.31,48731372.0
2019-09-17,37.04,37.25,36.79,37.16,35288317.0
2019-09-18,36.76,36.98,36.49,36.76,38511141.0
2019-09-19,37.03,37.22,36.8,37.15,27216360.0
2019-09-20,37.3,38.01,37.18,37.91,79068112.0
2019-09-23,37.62,37.85,37.48,37.6,23689854.0
2019-09-24,37.79,37.85,37.34,37.38,28095072.0
2019-09-25,37.33,37.56,37.24,37.38,22365168.0
2019-09-26,37.4,37.46,37.18,37.38,21826450.0
2019-09-27,37.61,37.73,37.18,37.43,24222636.0
2019-09-30,37.59,37.92,37.53,37.84,28430598.0
2019-10-01,37.95,37.96,37.37,37.41,24321173.0
2019-10-02,37.35,37.35,36.92,37.08,26604138.0
2019-10-03,37.0,37.2,36.66,37.19,20822487.0
2019-10-04,37.22,37.52,37.13,37.51,22581223.0
2019-10-07,37.58,37.87,37.52,37.66,21236629.0
2019-10-08,37.68,37.71,37.38,37.48,31016506.0
2019-10-09,37.21,37.22,36.89,37.05,24707697.0
2019-10-10,37.0,37.55,36.97,37.42,23660481.0
2019-10-11,37.59,37.8,37.47,37.58,27813596.0
2019-10-14,37.58,37.69,37.31,37.47,23649510.0
2019-10-15,37.45,38.07,37.42,37.9,22952507.0
2019-10-16,37.82,38.0,37.7,37.79,22145792.0
2019-10-17,37.86,37.86,37.61,37.81,19079945.0
2019-10-18,37.81,38.53,37.79,38.47,37662050.0
2019-10-21,38.42,38.62,38.19,38.23,28034325.0
2019-10-22,37.82,38.36,37.6,38.17,20369745.0
