date,Open,High,Low,Close,Volume
2019-08-20,301.4,304.275,299.34,303.25,140363.0
2019-08-21,304.87,307.525,304.42,305.64,199052.0
2019-08-22,306.92,308.555,305.44,307.82,123676.0
2019-08-23,307.04,310.43,301.67,302.68,166372.0
2019-08-26,303.77,306.91,301.692,306.75,186268.0
2019-08-27,308.91,309.01,301.0,306.19,215976.0
2019-08-28,304.43,309.81,304.3,308.55,124498.0
2019-08-29,312.01,313.21,309.04,310.85,160299.0
2019-08-30,313.04,313.04,307.51,308.59,220750.0
2019-09-03,307.03,313.19,305.04,309.28,207929.0
2019-09-04,312.0,316.47,309.38,315.84,209904.0
2019-09-05,318.99,323.1016,314.95,315.98,188182.0
2019-09-06,316.35,320.0,315.17,318.02,230242.0
2019-09-09,318.54,319.43,310.03,311.88,228103.0
2019-09-10,309.9,309.9,300.23,305.58,323263.0
2019-09-11,305.97,308.745,302.4,307.86,222852.0
2019-09-12,310.58,314.37,306.465,312.17,203794.0
2019-09-13,313.15,315.61,311.69,314.76,160471.0
2019-09-16,314.56,320.39,313.2,319.17,211726.0
2019-09-17,318.0,321.752,315.61,321.56,185608.0
2019-09-18,321.94,324.51,316.64,321.67,207347.0
2019-09-19,322.71,323.71,319.42,319.81,324146.0
2019-09-20,320.86,321.05,316.6,318.8,379574.0
2019-09-23,317.38,320.37,316.46,316.6,184656.0
2019-09-24,318.45,320.39,313.73,315.1,223176.0
2019-09-25,315.05,321.63,312.1101,320.0,175697.0
2019-09-26,320.56,322.45,318.97,318.97,143236.0
2019-09-27,321.2,321.27,317.295,320.89,244310.0
2019-09-30,321.76,322.84,318.56,321.99,234331.0
2019-10-01,323.0,325.63,316.77,317.04,319518.0
2019-10-02,315.0,317.04,310.79,315.5,183638.0
2019-10-03,315.36,315.36,311.0,312.9,430362.0
2019-10-04,315.0,319.37,313.495,318.4,234694.0
2019-10-07,317.42,319.94,316.29,317.34,309154.0
2019-10-08,313.99,316.82,311.56,314.0,333584.0
2019-10-09,316.99,321.82,314.8,320.68,289461.0
2019-10-10,319.7,326.655,319.21,325.75,284640.0
2019-10-11,329.2,329.2,321.47,322.0,271165.0
2019-10-14,322.44,325.47,321.06,324.59,214436.0
2019-10-15,324.71,327.72,324.2,326.14,200965.0
2019-10-16,325.78,326.18,321.67,321.86,175488.0
2019-10-17,323.32,323.95,320.415,321.11,273826.0
2019-10-18,321.11,321.29,318.41,319.92,219816.0
2019-10-21,321.29,322.085,318.05,321.93,166538.0
2019-10-22,320.63,322.345,310.96,311.65,326709.0
2019-10-23,321.5,330.67,315.27,327.06,624423.0
2019-10-24,329.79,336.5199,325.87,333.58,273905.0
2019-10-25,333.14,333.3656,326.7,327.04,204059.0
2019-10-28,327.24,330.74,327.24,328.44,176170.0
2019-10-29,327.74,331.74,327.63,329.6,145169.0
2019-10-30,329.76,336.28,328.49,336.07,240880.0
2019-10-31,335.42,335.42,328.02,329.6,189859.0
2019-11-01,330.7,336.5,330.7,336.15,196691.0
2019-11-04,338.16,338.42,334.06,336.16,170216.0
2019-11-05,336.45,337.77,332.205,337.05,181051.0
2019-11-06,338.4,340.57,336.95,339.43,250791.0
2019-11-07,342.14,344.05,336.72,337.85,264717.0
2019-11-08,336.25,344.315,335.07,340.81,383644.0
2019-11-11,339.88,344.59,339.57,342.43,306788.0
2019-11-12,342.54,347.015,341.74,342.67,197808.0
2019-11-13,342.36,345.74,342.13,343.34,228516.0
2019-11-14,343.55,345.67,341.52,343.2,191658.0
2019-11-15,345.31,348.59,344.03,344.47,277155.0
2019-11-18,344.75,346.24,343.31,345.67,213950.0
2019-11-19,346.1,351.4,346.08,346.27,374267.0
2019-11-20,346.69,350.25,343.99,346.46,459840.0
2019-11-21,345.77,347.4,341.07,346.32,293084.0
2019-11-22,347.89,350.73,343.47,349.76,359929.0
2019-11-25,351.0,351.525,340.67,340.88,328126.0
2019-11-26,341.49,347.025,340.3304,341.76,1937361.0
2019-11-27,343.44,346.58,341.415,346.48,312171.0
2019-11-29,345.0,347.19,341.46,341.99,93346.0
2019-12-02,342.71,344.29,340.34,340.36,421423.0
2019-12-03,337.89,341.53,336.716,340.89,364069.0
2019-12-04,342.0,346.48,342.0,343.58,276795.0
2019-12-05,344.16,346.285,342.69,345.22,192805.0
2019-12-06,348.0,350.591,346.3,347.29,204990.0
2019-12-09,347.3,347.85,342.33,342.39,203612.0
2019-12-10,343.86,347.08,343.16,344.89,292993.0
2019-12-11,345.19,348.9,343.84,348.65,213252.0
2019-12-12,348.08,350.08,346.54,348.31,175976.0
2019-12-13,347.27,349.8,345.32,347.71,235038.0
2019-12-16,348.51,348.82,346.0,347.21,306813.0
2019-12-17,348.6,349.04,343.5,344.3,264567.0
2019-12-18,344.73,344.73,335.76,337.62,346744.0
2019-12-19,337.54,341.18,337.54,339.89,325519.0
2019-12-20,341.51,342.55,337.79,342.28,655209.0
2019-12-23,345.33,348.67,344.45,347.64,262647.0
2019-12-24,348.01,348.01,344.15,345.58,93592.0
2019-12-26,346.3,348.326,345.02,346.43,100952.0
2019-12-27,346.96,349.6113,345.075,347.82,110112.0
2019-12-30,348.31,350.08,346.08,348.37,145205.0
2019-12-31,348.0,349.9158,345.85,346.54,181169.0
2020-01-02,348.77,357.69,348.2138,357.49,193760.0
2020-01-03,353.8,361.7334,353.8,360.05,202467.0
2020-01-06,359.37,363.41,357.725,358.63,222449.0
2020-01-07,358.01,362.43,356.7,361.09,263050.0
2020-01-08,362.58,364.97,360.13,361.55,242582.0
2020-01-09,363.86,368.2,362.64,366.1,186361.0
2020-01-10,367.54,368.17,362.52,365.55,140409.0
2020-01-13,367.33,371.13,366.38,369.88,170373.0
2020-01-14,370.36,373.375,367.45,370.44,182068.0
2020-01-15,370.04,377.21,370.04,375.01,216757.0
2020-01-16,376.7,379.06,374.005,377.54,172043.0
2020-01-17,378.94,380.45,375.87,376.88,265398.0
2020-01-21,377.66,384.74,377.53,383.33,448250.0
2020-01-22,389.06,398.99,373.735,375.38,753745.0
2020-01-23,370.53,379.22,367.1,368.13,487480.0
2020-01-24,368.2,369.75,360.21,361.87,364104.0
2020-01-27,353.36,373.93,352.29,370.41,364028.0
2020-01-28,372.1,381.42,370.4378,380.53,297242.0
2020-01-29,381.48,382.6495,375.38,376.17,188970.0
2020-01-30,374.05,379.945,370.58,373.99,199981.0
2020-01-31,372.67,374.41,364.0,365.06,202302.0
2020-02-03,367.37,371.86,366.96,369.34,166860.0
2020-02-04,371.88,378.88,371.88,378.0,196603.0
2020-02-05,380.87,380.87,374.83,379.82,127805.0
2020-02-06,381.49,383.29,377.01,380.82,90835.0
2020-02-07,380.34,385.85,378.09,384.24,146765.0
2020-02-10,383.77,385.06,380.38,382.41,135619.0
2020-02-11,385.1,389.29,382.41,386.94,174702.0
2020-02-12,388.0,390.82,384.36,385.56,133093.0
2020-02-13,385.18,394.4,385.18,392.02,189334.0
2020-02-14,393.48,396.555,388.61,389.48,118027.0
2020-02-18,389.89,392.12,387.87,388.6,108201.0
2020-02-19,390.61,396.595,389.89,394.06,158809.0
2020-02-20,392.86,395.92,383.2973,392.15,147181.0
2020-02-21,391.11,391.11,384.03,385.66,287259.0
2020-02-24,379.71,380.795,369.7,370.06,292267.0
2020-02-25,370.78,373.51,356.23,357.84,249011.0
