date,Open,High,Low,Close,Volume
2019-08-20,81.62,82.73,81.16,82.26,1756538.0
2019-08-21,83.08,84.78,82.8,84.53,2007185.0
2019-08-22,84.08,85.67,83.73,85.34,2074916.0
2019-08-23,84.64,85.46,81.1,81.32,3386302.0
2019-08-26,82.12,83.35,81.18,83.08,4333765.0
2019-08-27,83.51,84.96,82.37,82.67,4223708.0
2019-08-28,78.88,86.59,78.6,85.17,10961665.0
2019-08-29,85.28,86.78,84.0,85.54,2745686.0
2019-08-30,86.07,87.42,84.18,84.87,2000688.0
2019-09-03,84.0,84.39,81.61,82.49,2662827.0
2019-09-04,84.11,85.2,83.21,84.53,2005107.0
2019-09-05,85.77,88.56,85.62,88.19,2675918.0
2019-09-06,88.5,89.25,87.95,88.22,1640908.0
2019-09-09,88.18,91.63,88.0,91.28,2462093.0
2019-09-10,91.36,94.01,91.09,94.01,2380473.0
2019-09-11,94.24,95.09,91.81,95.05,1916511.0
2019-09-12,95.22,96.95,94.1,96.61,1792550.0
2019-09-13,97.46,99.04,97.14,98.28,1593757.0
2019-09-16,97.58,98.76,96.2,96.4,1518250.0
2019-09-17,96.15,96.38,94.12,95.26,1932778.0
2019-09-18,93.4,94.1,92.01,93.42,2141044.0
2019-09-19,93.77,93.77,91.1,91.34,1527751.0
2019-09-20,91.73,92.94,91.24,91.3,1612973.0
2019-09-23,90.53,92.34,90.26,91.78,931620.0
2019-09-24,92.53,92.6,90.07,90.84,798164.0
2019-09-25,90.62,92.31,90.49,92.02,1357388.0
2019-09-26,92.23,92.54,89.58,90.83,1076521.0
2019-09-27,91.26,92.93,91.26,91.88,952752.0
2019-09-30,92.33,93.59,92.0,92.63,1095432.0
2019-10-01,93.09,94.04,90.79,90.88,1063208.0
2019-10-02,88.67,89.5,87.46,88.6,2053932.0
2019-10-03,88.4,89.29,86.39,89.19,1357165.0
2019-10-04,88.41,89.12,86.88,88.06,1700746.0
2019-10-07,88.31,90.21,87.66,89.02,1837325.0
2019-10-08,87.78,88.06,86.44,86.63,1626528.0
2019-10-09,87.83,88.76,86.88,88.51,1044732.0
2019-10-10,88.56,89.43,87.76,88.03,1225609.0
2019-10-11,90.08,92.73,90.07,91.88,1729852.0
2019-10-14,91.13,91.57,89.45,90.26,1129022.0
2019-10-15,90.8,92.07,90.29,91.04,988588.0
2019-10-16,90.88,91.71,90.64,91.4,866338.0
