date,Open,High,Low,Close,Volume
2019-08-20,77.98,78.24,77.64,77.68,1855967.0
2019-08-21,78.07,78.31,77.77,78.18,1221488.0
2019-08-22,78.31,78.42,77.51,77.79,2010861.0
2019-08-23,77.64,78.25,76.12,76.48,2885550.0
2019-08-26,77.0,78.07,76.68,78.06,1735921.0
2019-08-27,77.7,78.1,77.02,77.12,2239806.0
2019-08-28,76.93,77.37,76.28,77.06,2035565.0
2019-08-29,77.87,78.41,77.4,78.01,1403622.0
2019-08-30,78.38,78.38,77.79,78.05,1722597.0
2019-09-03,77.9,77.94,77.0,77.13,1760857.0
2019-09-04,77.51,77.84,77.02,77.61,1902360.0
2019-09-05,78.22,78.57,77.555,77.83,1963200.0
2019-09-06,77.96,79.17,77.85,79.15,2930610.0
2019-09-09,79.33,79.47,78.59,79.13,2514422.0
2019-09-10,78.78,78.78,77.94,78.38,2254177.0
2019-09-11,78.39,79.77,78.21,79.74,2412244.0
2019-09-12,79.88,80.6,79.39,79.69,2005874.0
2019-09-13,80.09,80.09,79.03,79.4,1737704.0
2019-09-16,78.96,79.64,78.74,79.56,2178828.0
2019-09-17,79.73,80.545,79.06,80.21,2855620.0
2019-09-18,80.21,80.547,79.58,80.12,2218639.0
2019-09-19,80.72,81.15,80.54,81.0,2851295.0
2019-09-20,80.56,80.85,79.08,80.59,7207982.0
2019-09-23,80.02,80.78,79.81,79.96,2445807.0
2019-09-24,80.49,80.4904,79.03,79.36,3691961.0
2019-09-25,79.53,80.03,78.86,79.81,1970987.0
2019-09-26,79.97,80.01,78.96,79.0,1929562.0
2019-09-27,79.06,79.15,76.765,77.56,3407714.0
2019-09-30,77.87,79.09,77.62,78.77,2327960.0
2019-10-01,78.88,79.37,78.0,78.2,2820113.0
2019-10-02,77.6,77.97,75.82,76.41,3284504.0
2019-10-03,76.6,77.41,76.02,77.025,2375028.0
2019-10-04,76.96,78.07,76.96,77.99,1843469.0
2019-10-07,77.63,78.68,77.63,78.48,1951020.0
2019-10-08,77.78,78.14,77.36,77.615,2346697.0
2019-10-09,78.11,78.28,77.31,77.79,1983991.0
2019-10-10,77.72,78.485,77.03,78.3,2414385.0
2019-10-11,78.66,80.03,78.55,79.53,2074210.0
2019-10-14,79.53,79.53,78.57,78.63,2000225.0
2019-10-15,78.95,79.94,78.8,79.74,1875098.0
2019-10-16,79.74,80.18,79.6,80.01,2262682.0
2019-10-17,80.45,81.18,79.17,81.05,3913720.0
2019-10-18,81.14,82.33,80.78,81.6,3197187.0
2019-10-21,81.77,82.53,81.71,82.09,2899447.0
2019-10-22,82.53,82.57,81.65,81.67,2249787.0
2019-10-23,81.44,81.75,81.0702,81.36,1309199.0
2019-10-24,81.25,81.63,81.0202,81.48,1891081.0
2019-10-25,81.68,82.18,81.51,81.62,2014354.0
2019-10-28,82.01,83.12,81.76,82.39,3054142.0
2019-10-29,81.24,82.37,79.72,81.77,4215586.0
2019-10-30,81.57,83.85,81.54,83.27,4158288.0
2019-10-31,83.35,83.5,81.78,82.66,2683280.0
2019-11-01,83.09,83.19,82.0,82.47,2608498.0
2019-11-04,82.7,82.805,80.45,80.92,3091189.0
2019-11-05,81.06,81.85,80.85,81.47,1738429.0
2019-11-06,81.6,81.945,81.29,81.86,2707596.0
2019-11-07,82.4,83.03,81.565,81.86,2680955.0
2019-11-08,81.8,81.84,80.83,80.94,1617667.0
2019-11-11,80.59,81.14,77.55,79.62,6391790.0
2019-11-12,79.62,79.645,77.2,77.43,4345988.0
2019-11-13,77.63,78.07,76.8,77.97,2726815.0
2019-11-14,77.38,77.82,76.49,76.84,2897991.0
2019-11-15,77.56,79.5,77.33,78.07,3949219.0
2019-11-18,76.87,78.45,76.33,78.19,4236248.0
2019-11-19,78.2,78.3,76.915,77.16,2362695.0
2019-11-20,76.85,77.675,76.72,77.64,2796916.0
2019-11-21,77.84,77.94,77.36,77.7,1704091.0
2019-11-22,77.95,78.78,77.79,78.59,2910753.0
2019-11-25,78.74,78.87,77.59,78.0,2984840.0
2019-11-26,78.0,78.695,77.59,78.45,2882130.0
2019-11-27,78.47,79.3,78.47,78.98,2081544.0
2019-11-29,78.88,79.28,78.5,78.55,872904.0
2019-12-02,78.58,78.84,76.86,77.64,2899552.0
2019-12-03,77.45,78.06,76.81,78.01,2081102.0
2019-12-04,78.05,78.53,77.44,78.34,1905504.0
2019-12-05,78.07,78.2,76.895,76.94,2820518.0
2019-12-06,77.54,78.0,76.63,77.74,2900347.0
2019-12-09,77.7,77.9,75.3,75.87,4384253.0
2019-12-10,75.79,75.905,74.93,75.02,3080649.0
2019-12-11,75.08,75.41,74.31,74.62,3374814.0
2019-12-12,75.23,75.25,74.46,74.89,2846145.0
2019-12-13,74.97,75.54,74.65,75.47,2725523.0
2019-12-16,75.53,75.85,75.23,75.47,3488056.0
2019-12-17,75.45,75.7,75.02,75.49,3603766.0
2019-12-18,75.62,76.42,75.46,76.31,4348337.0
2019-12-19,76.04,77.55,76.0,77.22,3092924.0
2019-12-20,77.93,77.93,77.02,77.4,5944315.0
2019-12-23,77.47,77.56,76.92,76.96,1709398.0
2019-12-24,77.05,77.41,76.92,77.32,470066.0
2019-12-26,77.46,77.54,77.305,77.4,1240867.0
2019-12-27,77.32,77.5,77.01,77.24,1310043.0
2019-12-30,77.47,78.1,77.18,78.08,2342019.0
2019-12-31,77.94,78.44,77.78,78.42,1714915.0
2020-01-02,78.88,78.89,77.93,78.59,3392698.0
2020-01-03,78.06,78.43,77.47,78.17,1832053.0
2020-01-06,78.13,78.85,77.97,78.62,2678038.0
2020-01-07,78.57,79.51,78.15,78.92,3263113.0
2020-01-08,79.22,79.79,78.08,79.42,3037645.0
2020-01-09,79.77,80.33,79.4,79.81,2982013.0
2020-01-10,80.21,80.21,78.845,79.0,2227075.0
2020-01-13,79.17,79.56,78.89,79.4,2070816.0
2020-01-14,79.17,79.95,78.86,79.8,2050056.0
2020-01-15,79.86,80.48,79.62,80.27,1612285.0
2020-01-16,80.27,81.515,80.27,81.44,3109596.0
2020-01-17,81.95,82.24,81.57,82.15,3559646.0
2020-01-21,81.99,82.95,81.8,82.03,3411171.0
2020-01-22,82.14,83.03,82.07,82.48,1672464.0
2020-01-23,82.3,82.37,81.95,82.18,1754888.0
2020-01-24,82.29,82.59,81.33,81.58,1596701.0
2020-01-27,80.89,81.55,80.38,80.72,1934692.0
2020-01-28,81.08,82.3,80.93,81.66,2395016.0
2020-01-29,81.87,81.89,80.09,80.26,2603586.0
2020-01-30,79.59,81.05,79.58,80.94,2352747.0
2020-01-31,80.59,80.7917,79.16,79.19,2863980.0
2020-02-03,80.36,80.76,79.33,79.46,2879773.0
2020-02-04,80.15,81.89,79.23,81.51,4597761.0
