date,Open,High,Low,Close,Volume
2019-08-20,20.85,21.085,20.46,21.04,6774068.0
2019-08-21,21.35,21.79,21.3215,21.75,7477744.0
2019-08-22,21.85,22.0,20.85,21.28,5733383.0
2019-08-23,21.06,21.27,20.25,20.31,7300649.0
2019-08-26,20.56,20.9,20.32,20.88,4876703.0
2019-08-27,20.98,21.02,20.33,20.48,5395132.0
2019-08-28,20.43,20.76,20.145,20.49,4600987.0
2019-08-29,20.43,20.67,19.775,20.28,6441193.0
2019-08-30,20.42,20.95,20.39,20.65,6482639.0
2019-09-03,20.43,20.94,20.225,20.44,6255084.0
2019-09-04,21.045,21.54,21.045,21.49,7774324.0
2019-09-05,21.59,22.935,21.59,22.92,10712384.0
2019-09-06,23.04,23.76,22.85,23.69,8111678.0
2019-09-09,23.68,24.38,23.46,24.29,8314147.0
2019-09-10,24.15,25.265,24.1,25.17,7387875.0
2019-09-11,25.3,26.135,24.52,25.78,7356920.0
2019-09-12,25.56,25.745,24.7367,25.58,6634983.0
2019-09-13,26.0,26.595,25.15,25.18,7300910.0
2019-09-16,25.02,25.95,24.99,25.51,5967754.0
2019-09-17,25.38,25.48,24.7,25.16,6184729.0
2019-09-18,25.0,25.34,24.9,25.18,7626699.0
2019-09-19,25.18,25.48,25.061,25.27,4449617.0
2019-09-20,25.33,25.895,25.11,25.14,8893323.0
2019-09-23,25.02,25.41,24.82,25.14,7338674.0
2019-09-24,25.4,25.49,24.9,25.15,6472671.0
2019-09-25,25.31,25.85,25.22,25.36,6786285.0
2019-09-26,25.25,25.71,25.16,25.51,4618784.0
2019-09-27,25.67,26.23,25.65,25.99,4749310.0
2019-09-30,25.99,26.28,25.65,26.05,5409421.0
2019-10-01,26.16,26.52,25.535,25.6,5670123.0
2019-10-02,25.17,25.24,24.67,24.74,5504188.0
2019-10-03,24.65,25.28,24.14,25.27,3998594.0
2019-10-04,25.13,25.5,24.84,25.49,3045497.0
2019-10-07,25.45,25.51,25.12,25.18,4031717.0
2019-10-08,24.8,24.82,24.16,24.66,6077005.0
2019-10-09,24.92,25.05,24.7,24.78,4464546.0
2019-10-10,24.82,25.1,24.61,24.99,4241867.0
2019-10-11,25.43,26.35,25.42,25.98,5447541.0
2019-10-14,25.13,25.35,24.38,25.25,5372090.0
2019-10-15,25.29,25.8,25.04,25.52,3890191.0
2019-10-16,25.5,25.8,25.33,25.5,4178008.0
2019-10-17,25.77,26.0,25.42,25.44,3993746.0
2019-10-18,25.09,25.67,25.03,25.56,5067447.0
2019-10-21,25.85,26.465,25.83,26.24,4080380.0
2019-10-22,26.21,26.48,25.71,26.41,3804595.0
2019-10-23,26.47,26.49,25.745,25.95,3144320.0
2019-10-24,26.1,26.15,25.31,25.71,3259741.0
2019-10-25,25.31,26.51,25.04,26.45,2825791.0
2019-10-28,26.32,26.64,26.08,26.13,3274585.0
2019-10-29,26.07,26.205,25.67,25.87,3879959.0
2019-10-30,25.86,26.26,25.635,26.25,3557484.0
2019-10-31,26.15,26.2,25.275,25.86,5120633.0
2019-11-01,26.13,26.52,26.07,26.29,4141302.0
2019-11-04,26.49,26.86,26.35,26.52,6794851.0
2019-11-05,25.91,27.995,25.91,26.95,9372298.0
2019-11-06,26.69,26.69,25.3,25.93,8786536.0
2019-11-07,26.49,27.37,26.395,27.07,4708440.0
2019-11-08,26.98,27.23,26.53,27.23,5149533.0
2019-11-11,27.03,27.1,26.385,26.68,4251595.0
2019-11-12,26.77,26.84,26.235,26.38,3959035.0
2019-11-13,26.19,26.3,25.9,26.03,2454112.0
2019-11-14,26.0,26.43,26.0,26.09,2157816.0
2019-11-15,26.34,26.94,26.2,26.76,3142841.0
2019-11-18,26.76,27.02,26.27,26.94,3561017.0
2019-11-19,26.91,27.1,26.59,26.95,3000532.0
2019-11-20,26.93,26.94,25.872,26.13,4351349.0
2019-11-21,26.12,26.38,25.705,25.77,3171272.0
2019-11-22,26.04,26.48,25.92,26.35,2794478.0
2019-11-25,26.58,26.76,25.99,26.69,2567388.0
2019-11-26,26.75,26.87,26.16,26.54,4305498.0
2019-11-27,26.84,27.05,26.31,27.02,3441256.0
2019-11-29,26.93,27.0,26.52,26.89,1661372.0
2019-12-02,26.9,26.9,25.88,25.89,4009533.0
2019-12-03,25.19,25.2,24.63,24.83,5842903.0
2019-12-04,24.87,25.61,24.75,25.54,5547315.0
2019-12-05,25.52,25.86,25.23,25.45,3877849.0
2019-12-06,25.22,26.02,25.22,25.53,3334306.0
2019-12-09,25.6,26.22,25.47,25.8,7761951.0
2019-12-10,25.85,25.96,25.485,25.53,4837960.0
2019-12-11,25.41,25.965,25.25,25.82,3357178.0
2019-12-12,25.88,26.6,25.84,26.34,4058624.0
2019-12-13,26.69,26.72,25.5,25.94,4145725.0
2019-12-16,26.14,26.2,25.48,25.48,4976620.0
2019-12-17,25.42,25.535,25.16,25.51,4389537.0
2019-12-18,25.66,26.19,25.66,25.94,4698757.0
2019-12-19,26.17,26.43,26.01,26.39,4595542.0
2019-12-20,26.49,26.94,26.13,26.71,8190828.0
2019-12-23,26.81,27.38,26.78,27.09,3766057.0
2019-12-24,27.08,27.15,26.56,26.74,1411989.0
2019-12-26,26.91,27.315,26.88,27.23,1996466.0
2019-12-27,27.28,27.29,26.77,26.88,2048977.0
2019-12-30,26.81,26.97,26.56,26.59,2264174.0
2019-12-31,26.51,27.0,26.415,26.97,2586160.0
2020-01-02,27.16,27.32,26.58,26.93,3823624.0
2020-01-03,26.51,26.93,26.43,26.92,3511198.0
2020-01-06,26.67,27.3,26.6,27.26,4039258.0
2020-01-07,27.3,27.81,27.08,27.52,2765162.0
2020-01-08,27.68,27.96,27.26,27.7,3624036.0
2020-01-09,27.77,27.77,26.925,27.38,2983472.0
2020-01-10,27.29,27.615,27.17,27.43,2324078.0
2020-01-13,27.56,28.2,27.415,28.1,2693867.0
2020-01-14,28.26,28.785,28.12,28.63,4262195.0
2020-01-15,28.55,28.78,28.275,28.56,3603633.0
2020-01-16,28.88,29.19,28.69,28.85,2607413.0
2020-01-17,28.89,28.99,28.6286,28.89,2475863.0
2020-01-21,28.75,28.75,28.2,28.36,3559016.0
2020-01-22,28.26,28.42,27.6,27.65,3385957.0
2020-01-23,27.43,28.025,27.02,27.94,2695605.0
2020-01-24,27.97,27.97,27.07,27.29,3258794.0
2020-01-27,26.48,26.81,26.16,26.24,3976176.0
2020-01-28,26.55,26.67,25.97,26.4,3629466.0
2020-01-29,26.58,26.94,26.53,26.76,3691536.0
2020-01-30,26.4,26.74,26.21,26.64,4661223.0
2020-01-31,26.57,26.57,25.5667,25.77,4950153.0
2020-02-03,25.93,26.42,25.82,26.03,5261512.0
2020-02-04,26.77,27.5,26.62,27.2,4588328.0
2020-02-05,27.57,28.455,27.538,28.39,4885833.0
2020-02-06,29.85,30.4,28.98,29.0,8870370.0
2020-02-07,27.95,28.41,27.525,27.97,6067770.0
2020-02-10,27.86,28.51,27.73,28.51,3914442.0
2020-02-11,28.87,28.94,28.51,28.58,3518380.0
2020-02-12,28.85,29.49,28.7,29.47,3720813.0
2020-02-13,29.08,29.26,28.54,28.83,3771240.0
2020-02-14,28.83,29.23,28.71,29.21,2763295.0
2020-02-18,28.75,29.1,27.92,28.1,4149844.0
2020-02-19,28.19,28.45,27.85,28.04,3176204.0
2020-02-20,28.1,28.95,27.89,28.81,3213694.0
2020-02-21,28.45,28.79,27.74,27.99,4309670.0
2020-02-24,26.33,26.41,25.37,25.55,6668454.0
2020-02-25,25.8,25.805,24.245,24.35,5950907.0
2020-02-26,24.58,25.1,23.5,23.52,4868075.0
2020-02-27,22.77,24.39,22.29,22.95,6576278.0
2020-02-28,22.22,23.47,22.11,23.45,6564431.0
2020-03-02,23.51,23.75,22.68,23.69,5849666.0
2020-03-03,23.78,24.78,23.09,23.36,7162427.0
2020-03-04,23.66,24.34,23.08,24.33,4956017.0
2020-03-05,23.09,23.49,21.97,22.22,5737479.0
2020-03-06,21.25,22.23,21.035,21.7,4719372.0
2020-03-09,20.02,20.26,18.13,18.43,5947519.0
2020-03-10,19.56,19.94,18.0,19.16,5496609.0
2020-03-11,18.44,18.53,17.36,17.57,5920536.0
2020-03-12,16.18,16.47,14.71,15.01,5985566.0
2020-03-13,15.57,16.23,14.06,16.23,9501901.0
2020-03-16,13.25,13.95,11.475,11.48,7937517.0
2020-03-17,11.8,13.2,10.85,13.19,9038506.0
2020-03-18,12.02,13.38,11.87,13.36,7693459.0
2020-03-19,13.09,13.95,12.09,12.71,8259013.0
2020-03-20,13.07,13.15,11.7,12.04,10160558.0
2020-03-23,12.0,12.17,10.505,10.58,7535473.0
2020-03-24,11.51,13.83,11.36,13.72,5539979.0
2020-03-25,13.91,15.665,13.53,14.9,7119813.0
2020-03-26,14.69,15.795,14.02,15.16,6986095.0
2020-03-27,14.17,14.45,13.06,13.91,5186090.0
2020-03-30,13.96,14.11,12.89,13.21,5773347.0
2020-03-31,12.96,13.65,12.785,12.95,5511700.0
2020-04-01,12.0,12.18,10.86,11.07,5568769.0
2020-04-02,10.72,11.3,10.18,11.01,8042918.0
2020-04-03,10.65,11.21,10.475,11.09,4702025.0
2020-04-06,11.92,13.3,11.87,13.04,6566581.0
2020-04-07,14.12,15.13,13.975,14.47,8661509.0
