date,Open,High,Low,Close,Volume
2019-08-20,108.93,109.19,107.75,107.82,696369.0
2019-08-21,109.07,109.11,108.32,108.77,700503.0
2019-08-22,109.38,109.75,108.07,109.18,507781.0
2019-08-23,108.5,109.05,104.93,105.61,1199370.0
2019-08-26,106.69,107.11,105.27,106.66,585543.0
2019-08-27,107.31,107.98,106.5,107.08,795969.0
2019-08-28,106.43,107.95,105.91,107.77,816063.0
2019-08-29,109.14,110.23,106.96,109.99,724293.0
2019-08-30,110.66,111.95,110.23,110.62,1051743.0
2019-09-03,109.83,111.26,108.85,109.75,900157.0
2019-09-04,111.04,111.88,110.05,110.98,744853.0
2019-09-05,112.79,115.29,112.35,115.05,1143906.0
2019-09-06,115.3,116.01,114.97,115.62,799761.0
2019-09-09,116.61,117.86,115.99,117.72,918649.0
2019-09-10,117.99,118.17,115.98,117.85,1045834.0
2019-09-11,117.88,120.14,116.71,120.09,1221463.0
2019-09-12,120.99,120.99,117.26,118.12,1595707.0
2019-09-13,119.04,119.42,118.3,118.94,1014434.0
2019-09-16,117.61,118.14,116.43,116.85,827478.0
2019-09-17,116.63,117.98,115.63,117.94,751408.0
2019-09-18,117.74,117.8,115.94,117.11,777756.0
2019-09-19,116.99,117.4,115.78,116.0,1029722.0
2019-09-20,116.4,116.47,114.06,114.34,2409965.0
2019-09-23,113.67,115.06,113.34,114.84,864476.0
2019-09-24,115.52,116.3,113.54,114.27,861749.0
2019-09-25,114.4,114.73,110.88,114.32,1245125.0
2019-09-26,114.41,114.41,111.91,112.03,1565443.0
2019-09-27,111.42,113.85,111.42,113.03,1049491.0
2019-09-30,113.69,114.95,112.63,114.25,1016258.0
2019-10-01,114.09,114.74,111.18,111.41,965579.0
2019-10-02,110.72,110.72,108.52,109.05,1485297.0
2019-10-03,108.45,109.82,107.37,109.53,1016388.0
2019-10-04,109.68,111.21,109.31,110.98,834234.0
2019-10-07,110.29,111.18,109.77,109.93,935491.0
2019-10-08,109.05,109.47,107.43,107.74,1281592.0
2019-10-09,108.76,108.98,107.87,108.06,1228346.0
2019-10-10,108.31,109.78,108.26,108.51,991896.0
2019-10-11,110.42,112.27,110.13,110.94,1194957.0
2019-10-14,110.33,110.72,109.92,110.32,791961.0
2019-10-15,110.91,112.48,110.09,111.38,892191.0
2019-10-16,111.35,111.76,110.37,111.07,924865.0
2019-10-17,111.69,111.92,110.13,110.25,701793.0
2019-10-18,110.41,110.44,108.49,109.41,1259366.0
2019-10-21,110.08,111.01,110.03,110.94,863366.0
2019-10-22,111.26,111.26,107.9,108.19,1364104.0
2019-10-23,108.24,109.8,108.0,108.38,1989134.0
2019-10-24,110.95,113.52,108.76,113.35,1973773.0
2019-10-25,113.54,114.0,112.0,113.71,981979.0
2019-10-28,114.46,117.62,114.01,117.08,1243165.0
2019-10-29,116.56,118.44,116.56,117.76,1073900.0
2019-10-30,117.07,118.0,116.7,117.57,676125.0
2019-10-31,117.11,117.57,115.14,115.8,924526.0
2019-11-01,117.0,117.76,116.39,116.97,792042.0
2019-11-04,118.08,118.91,117.17,118.53,859664.0
2019-11-05,117.71,120.0,117.71,119.13,892675.0
2019-11-06,119.74,120.19,118.96,120.06,844590.0
2019-11-07,121.15,121.8,120.12,120.38,705183.0
2019-11-08,119.85,119.94,118.64,119.58,1004926.0
2019-11-11,119.04,120.44,118.51,120.42,576179.0
2019-11-12,120.53,121.86,119.88,121.23,820544.0
2019-11-13,120.39,120.65,119.27,120.59,581984.0
2019-11-14,120.61,121.27,119.86,120.91,602987.0
2019-11-15,121.7,122.13,121.04,121.46,619288.0
2019-11-18,121.0,121.51,120.36,121.36,642333.0
2019-11-19,121.86,122.59,121.16,121.97,696984.0
2019-11-20,121.28,121.6,119.81,120.93,601205.0
2019-11-21,120.83,121.14,118.79,120.03,603091.0
2019-11-22,121.01,121.15,120.09,121.02,540663.0
2019-11-25,121.63,122.62,121.09,122.58,522227.0
2019-11-26,122.4,122.88,121.55,122.83,1177451.0
2019-11-27,123.03,123.96,122.55,123.71,755683.0
2019-11-29,123.51,124.0,123.16,123.56,322733.0
2019-12-02,123.69,123.91,122.17,122.26,934149.0
2019-12-03,120.42,120.88,118.94,120.79,761819.0
2019-12-04,121.37,122.37,120.89,121.72,532564.0
2019-12-05,122.44,123.11,121.98,123.0,563296.0
2019-12-06,124.59,124.6,123.8,123.9,776260.0
2019-12-09,123.54,124.98,123.25,124.5,955288.0
2019-12-10,124.0,124.0,122.21,122.35,1413857.0
2019-12-11,122.73,123.75,122.34,123.61,835651.0
2019-12-12,123.68,126.16,123.04,125.35,1031308.0
2019-12-13,124.09,124.61,122.7,123.22,751207.0
2019-12-16,124.25,124.7,123.12,123.24,806610.0
2019-12-17,123.31,123.71,122.74,123.02,913029.0
2019-12-18,123.2,123.62,121.91,122.4,1015111.0
2019-12-19,122.1,122.7,121.93,122.52,852447.0
2019-12-20,123.86,123.86,121.85,122.54,2137077.0
2019-12-23,123.18,123.18,121.5,121.62,675482.0
2019-12-24,121.99,122.43,121.19,122.2,318852.0
2019-12-26,122.95,122.95,122.09,122.87,310633.0
2019-12-27,123.0,123.24,122.55,122.82,511084.0
2019-12-30,123.32,123.32,121.45,121.81,614105.0
2019-12-31,121.45,122.17,120.93,121.84,896312.0
2020-01-02,122.35,125.17,122.25,125.16,1315972.0
2020-01-03,123.9,125.54,123.11,124.75,958779.0
2020-01-06,124.16,125.57,123.28,125.52,771309.0
2020-01-07,125.42,126.67,125.25,126.02,826735.0
2020-01-08,126.5,128.0,126.25,127.22,751109.0
2020-01-09,127.69,128.48,126.83,128.28,903172.0
2020-01-10,128.43,128.87,127.13,127.46,955014.0
2020-01-13,127.97,131.07,127.82,131.03,1729812.0
2020-01-14,131.04,131.25,129.42,129.73,980790.0
2020-01-15,129.72,130.72,129.01,130.15,663060.0
2020-01-16,131.02,132.04,130.74,132.02,921932.0
2020-01-17,132.49,132.76,131.59,132.26,1418615.0
2020-01-21,131.74,132.92,131.6,132.3,1491467.0
2020-01-22,132.91,133.54,132.24,132.59,1178132.0
2020-01-23,131.44,133.25,130.64,133.21,1108414.0
2020-01-24,133.96,134.56,130.37,131.18,1019888.0
2020-01-27,130.02,130.7,127.43,128.54,1197425.0
2020-01-28,130.09,131.94,129.07,131.3,1336044.0
2020-01-29,134.15,137.49,132.5,136.12,1782911.0
2020-01-30,132.4,136.65,132.28,136.57,1521112.0
2020-01-31,136.25,136.34,133.09,133.53,1954830.0
2020-02-03,134.28,136.0,133.15,134.52,1477809.0
2020-02-04,136.5,137.9,135.7,136.81,1122490.0
2020-02-05,138.98,138.99,135.69,137.94,1172592.0
2020-02-06,138.2,139.47,136.95,137.77,1058006.0
2020-02-07,137.29,138.57,136.77,138.24,729016.0
2020-02-10,138.0,138.8,137.41,138.48,783067.0
2020-02-11,139.05,139.82,138.26,138.61,751251.0
2020-02-12,138.87,139.5,137.12,138.48,940296.0
2020-02-13,138.01,138.01,136.13,136.42,1258225.0
2020-02-14,136.46,137.49,136.11,137.39,713895.0
2020-02-18,137.4,138.2,136.64,137.78,870701.0
2020-02-19,138.33,139.36,137.5,139.06,866752.0
2020-02-20,138.91,139.35,136.83,137.74,1105068.0
