date,Open,High,Low,Close,Volume
2019-08-20,147.63,148.46,146.39,146.51,905800.0
2019-08-21,146.75,147.46,146.25,147.04,849700.0
2019-08-22,147.64,148.17,146.29,147.81,696800.0
2019-08-23,147.33,148.77,144.17,144.73,1430500.0
2019-08-26,145.6,147.42,145.21,147.34,898100.0
2019-08-27,148.26,148.57,146.7,147.1,987100.0
2019-08-28,146.88,147.34,145.67,146.37,1072700.0
2019-08-29,147.57,147.79,146.26,146.94,1152800.0
2019-08-30,147.67,147.94,146.15,146.96,1029800.0
2019-09-03,146.24,147.62,145.78,147.57,1061700.0
2019-09-04,148.46,150.27,147.84,150.16,969400.0
2019-09-05,151.75,152.63,150.98,151.74,1230100.0
2019-09-06,151.78,153.65,151.69,152.84,1277000.0
2019-09-09,152.79,153.38,148.02,149.23,1658300.0
2019-09-10,148.85,149.14,145.54,146.57,1629000.0
2019-09-11,145.86,146.36,144.3,146.23,1440000.0
2019-09-12,147.18,148.91,146.8,148.3,1358900.0
2019-09-13,148.39,148.57,145.58,146.31,1631700.0
2019-09-16,145.71,147.23,145.53,146.34,1161000.0
2019-09-17,146.48,148.12,146.21,147.25,1322900.0
2019-09-18,145.84,147.0,144.7,146.47,1276900.0
2019-09-19,146.8,148.41,146.75,146.94,952300.0
2019-09-20,146.56,148.33,146.07,146.28,2418600.0
2019-09-23,146.18,147.39,145.83,146.54,823800.0
2019-09-24,146.89,148.21,146.42,146.75,1056200.0
2019-09-25,146.85,147.01,145.78,146.85,839000.0
2019-09-26,146.9,148.41,146.83,148.1,799900.0
2019-09-27,148.54,148.65,147.15,148.0,1204100.0
2019-09-30,147.98,149.38,147.98,148.69,886500.0
2019-10-01,149.27,149.58,145.52,145.55,1236600.0
2019-10-02,144.83,145.07,141.76,142.39,1376000.0
2019-10-03,142.12,142.4,140.69,141.73,1215300.0
2019-10-04,142.0,145.21,141.8,144.96,1229400.0
2019-10-07,144.64,144.64,143.06,143.15,891500.0
2019-10-08,142.43,142.43,140.6,140.63,1148500.0
2019-10-09,141.4,141.67,140.62,141.3,724800.0
2019-10-10,141.16,142.6,140.79,141.56,846200.0
2019-10-11,143.16,143.84,142.42,142.6,1187500.0
2019-10-14,142.43,143.3,142.16,143.11,602000.0
2019-10-15,143.49,144.5,143.14,143.31,878200.0
2019-10-16,142.84,142.91,141.56,142.57,912600.0
2019-10-17,142.61,142.86,140.43,140.48,1111300.0
2019-10-18,140.76,141.67,140.21,141.36,1505000.0
2019-10-21,141.99,142.22,141.41,141.91,1716300.0
2019-10-22,132.57,133.75,129.82,130.15,3551600.0
2019-10-23,130.07,133.03,129.69,132.16,1933900.0
2019-10-24,132.34,132.73,131.04,131.43,1281500.0
2019-10-25,131.05,131.44,129.5,130.43,1342300.0
2019-10-28,130.75,131.2,129.23,129.3,1525500.0
2019-10-29,129.05,129.88,128.29,128.93,2190700.0
2019-10-30,129.1,130.26,128.74,129.78,1353300.0
2019-10-31,129.41,131.12,128.95,131.06,1864100.0
2019-11-01,131.52,131.56,129.77,130.72,1005000.0
2019-11-04,131.14,131.6,129.84,130.2,1106900.0
2019-11-05,130.19,131.99,130.15,131.27,1590600.0
2019-11-06,131.28,132.59,131.08,132.35,1559600.0
2019-11-07,132.7,133.82,132.62,133.01,1333700.0
2019-11-08,132.73,133.95,132.5,133.29,1301700.0
2019-11-11,133.0,133.94,132.8,133.54,1319100.0
2019-11-12,133.69,133.73,132.44,133.35,1050600.0
2019-11-13,132.7,134.39,132.51,134.13,1074500.0
2019-11-14,133.84,134.48,133.28,133.95,1018100.0
2019-11-15,133.89,134.69,133.35,133.57,1450000.0
2019-11-18,133.65,134.73,133.65,134.29,1286900.0
2019-11-19,134.65,135.68,134.36,135.46,1810300.0
2019-11-20,134.78,135.7,134.44,135.43,1301100.0
2019-11-21,135.95,135.99,133.79,134.69,1230500.0
2019-11-22,134.71,135.5,134.39,135.13,1222700.0
2019-11-25,135.57,135.94,134.87,135.03,1161300.0
2019-11-26,134.83,136.9,134.7,136.68,1827500.0
2019-11-27,137.08,137.32,136.13,136.84,1057500.0
2019-11-29,136.83,137.21,136.47,136.72,523300.0
2019-12-02,136.99,137.26,135.26,135.26,1577300.0
2019-12-03,134.78,135.1,133.7,134.62,1865200.0
2019-12-04,133.45,135.49,133.33,135.17,1303000.0
2019-12-05,135.41,135.41,134.03,134.31,1435000.0
2019-12-06,135.19,136.15,134.79,135.72,1583700.0
2019-12-09,135.31,135.63,134.82,135.45,987100.0
2019-12-10,135.45,135.79,135.15,135.54,828600.0
2019-12-11,135.26,135.64,134.28,134.63,1260100.0
2019-12-12,134.62,136.22,134.31,135.61,1068900.0
2019-12-13,135.13,136.21,135.12,135.66,985600.0
2019-12-16,136.07,136.75,135.68,136.18,1312700.0
2019-12-17,136.28,137.26,136.2,136.99,1083400.0
2019-12-18,137.17,137.17,134.94,135.67,1582400.0
2019-12-19,135.4,136.49,135.1,136.47,1741500.0
