date,Open,High,Low,Close,Volume
2019-08-20,100.92,102.37,100.53,100.87,865900.0
2019-08-21,101.98,102.72,101.19,101.32,915000.0
2019-08-22,101.43,102.33,100.61,101.45,842000.0
2019-08-23,100.09,100.1,95.93,96.86,2027700.0
2019-08-26,97.6,98.9,97.03,98.86,1123600.0
2019-08-27,99.28,99.89,98.95,99.4,1270900.0
2019-08-28,98.98,102.48,98.82,102.23,1397300.0
2019-08-29,103.58,104.5,102.83,104.12,1000100.0
2019-08-30,105.45,105.5,101.41,101.88,960400.0
2019-09-03,100.7,102.0,99.24,100.19,1287900.0
2019-09-04,100.6,101.01,99.17,100.3,1124500.0
2019-09-05,101.45,103.41,100.65,102.98,1466100.0
2019-09-06,103.72,104.99,103.33,103.54,2036300.0
2019-09-09,103.82,104.35,101.89,102.58,1756000.0
2019-09-10,102.44,106.41,101.76,106.39,1262700.0
2019-09-11,106.09,106.11,103.58,103.85,982200.0
2019-09-12,104.39,104.5,98.77,99.34,2116000.0
2019-09-13,100.04,100.19,96.92,97.1,2245700.0
2019-09-16,96.83,97.91,95.35,95.66,1609300.0
2019-09-17,95.61,97.27,94.65,96.18,1253600.0
2019-09-18,96.01,96.7,92.53,93.55,2234800.0
2019-09-19,93.69,93.85,91.8,92.08,1744600.0
2019-09-20,91.35,92.51,90.25,90.39,2174000.0
2019-09-23,90.1,93.46,90.09,92.16,1473400.0
2019-09-24,91.84,92.91,90.91,91.38,928100.0
2019-09-25,91.37,91.7,89.84,90.61,1151200.0
2019-09-26,89.85,90.47,88.41,88.96,1796700.0
2019-09-27,89.63,90.0,88.68,89.01,1375700.0
2019-09-30,89.33,91.0,89.33,90.44,1760300.0
2019-10-01,91.81,92.02,89.16,89.8,1456200.0
2019-10-02,90.15,91.06,89.07,90.57,2713400.0
2019-10-03,90.71,93.31,90.28,93.16,2802500.0
2019-10-04,93.01,94.34,92.5,93.11,1353400.0
2019-10-07,93.07,93.97,91.87,92.05,1696600.0
2019-10-08,92.27,93.55,90.65,92.07,2287900.0
2019-10-09,92.38,93.95,92.38,92.99,1245000.0
2019-10-10,92.55,93.51,92.46,93.12,1081700.0
2019-10-11,94.27,95.32,93.5,94.31,1744300.0
2019-10-14,94.06,94.54,92.85,93.75,718400.0
2019-10-15,93.31,94.09,92.66,93.79,1101400.0
2019-10-16,93.73,94.74,93.39,93.45,1245100.0
2019-10-17,94.12,94.29,92.7,92.9,1492300.0
2019-10-18,92.4,93.89,92.09,93.32,2214300.0
2019-10-21,93.99,93.99,92.21,92.44,1478000.0
2019-10-22,92.47,94.65,91.99,94.14,1183500.0
2019-10-23,94.01,95.3,93.15,95.12,2775600.0
2019-10-24,97.96,98.85,94.93,98.0,3820400.0
2019-10-25,97.05,97.69,95.6,96.46,1910900.0
2019-10-28,96.96,97.65,95.52,95.71,995500.0
2019-10-29,95.23,95.52,93.93,95.46,1433300.0
2019-10-30,95.29,97.13,95.26,97.01,1112900.0
2019-10-31,96.68,96.77,94.46,95.02,1168000.0
2019-11-01,95.71,95.89,95.13,95.78,825800.0
2019-11-04,96.21,97.44,95.86,96.6,1152500.0
2019-11-05,96.96,98.2,96.51,97.57,968000.0
2019-11-06,97.35,97.56,95.09,95.93,994600.0
2019-11-07,96.03,97.03,94.76,94.9,1082600.0
2019-11-08,94.76,95.19,94.03,94.82,796600.0
2019-11-11,94.72,96.52,94.3,96.45,857000.0
2019-11-12,96.13,96.67,95.11,96.63,887400.0
2019-11-13,96.18,98.09,95.16,96.93,1031900.0
2019-11-14,97.02,98.28,95.2,97.56,856500.0
2019-11-15,97.5,98.72,97.5,98.49,1342600.0
2019-11-18,98.31,98.98,96.65,97.8,1055300.0
2019-11-19,97.67,97.74,96.37,96.54,1275200.0
2019-11-20,96.51,96.97,95.4,96.86,911300.0
2019-11-21,96.77,98.0,96.61,96.8,1202600.0
2019-11-22,96.66,97.35,96.16,97.21,910900.0
