date,Open,High,Low,Close,Volume
2019-08-20,87.03,88.76,86.72,88.24,2999400.0
2019-08-21,88.6,89.86,87.9,89.79,2378300.0
2019-08-22,90.0,91.73,89.9,91.66,2773300.0
2019-08-23,90.36,90.75,89.48,89.93,2241500.0
2019-08-26,90.58,91.47,90.12,91.44,1692900.0
2019-08-27,91.37,91.63,89.28,89.97,2471100.0
2019-08-28,90.28,90.66,88.94,90.58,1918300.0
2019-08-29,90.5,92.21,90.19,91.72,2080600.0
2019-08-30,92.28,94.07,92.16,93.04,2033400.0
2019-09-03,92.6,93.45,92.08,93.29,2495800.0
2019-09-04,91.0,91.68,85.95,86.06,6912100.0
2019-09-05,86.41,87.35,84.93,85.26,5304400.0
2019-09-06,85.23,86.53,84.71,86.04,3076500.0
2019-09-09,86.41,86.69,83.23,83.56,2917000.0
2019-09-10,83.03,83.03,80.0,81.46,3677400.0
2019-09-11,81.35,82.33,80.84,82.32,2211400.0
2019-09-12,82.9,83.85,82.53,83.47,3509900.0
2019-09-13,84.0,86.54,84.0,85.17,3417800.0
2019-09-16,84.64,86.6,84.39,86.34,2168500.0
2019-09-17,87.62,89.35,87.0,88.88,3288500.0
2019-09-18,88.98,89.46,87.4,88.27,1907600.0
2019-09-19,88.69,88.94,87.77,88.17,1269900.0
2019-09-20,88.48,88.86,86.73,87.39,2949500.0
2019-09-23,87.11,87.57,85.68,85.79,1666800.0
2019-09-24,86.4,86.9,85.57,86.28,1269100.0
2019-09-25,86.48,87.48,85.82,85.97,1897000.0
2019-09-26,86.44,86.86,85.9,86.46,1176700.0
2019-09-27,86.6,86.61,84.96,85.2,1637900.0
2019-09-30,85.37,86.26,84.79,86.14,2116300.0
2019-10-01,85.92,86.38,83.1,83.32,2543100.0
2019-10-02,83.32,83.92,81.82,82.37,2356800.0
2019-10-03,82.68,82.86,81.73,82.1,2137900.0
2019-10-04,82.15,82.96,80.85,82.25,3369300.0
2019-10-07,82.16,82.31,81.16,81.16,2644900.0
2019-10-08,81.0,81.2,79.39,80.43,2405300.0
2019-10-09,80.99,83.09,80.99,81.73,2007400.0
2019-10-10,81.9,83.17,81.45,82.13,1516400.0
2019-10-11,82.06,84.25,82.01,83.6,2378100.0
2019-10-14,83.76,84.44,83.41,84.06,1535100.0
2019-10-15,84.02,85.04,83.66,83.74,1865800.0
2019-10-16,83.83,83.89,81.82,81.86,2511000.0
2019-10-17,81.78,81.88,79.36,81.37,3388100.0
2019-10-18,81.59,82.61,81.5,82.42,1880800.0
2019-10-21,81.66,82.05,80.79,80.97,1848000.0
2019-10-22,81.14,81.14,79.07,79.17,2617400.0
2019-10-23,79.08,79.15,77.48,77.5,2614800.0
2019-10-24,77.69,77.94,77.03,77.82,3203800.0
2019-10-25,78.73,78.73,77.75,78.48,1593300.0
2019-10-28,81.41,82.49,80.42,82.08,4049600.0
2019-10-29,82.0,83.09,81.82,82.29,2756700.0
2019-10-30,82.19,82.46,81.28,81.79,1565900.0
2019-10-31,82.2,82.86,81.64,82.79,1754100.0
2019-11-01,83.11,84.17,82.69,83.7,1629400.0
2019-11-04,83.67,83.93,81.59,82.05,2292900.0
2019-11-05,82.25,82.7,81.69,81.93,2199300.0
2019-11-06,82.49,83.83,82.33,83.47,1520200.0
2019-11-07,83.47,84.84,82.81,83.25,1940400.0
2019-11-08,83.29,83.38,82.12,82.63,2290200.0
2019-11-11,82.32,83.18,81.78,82.73,2416000.0
2019-11-12,83.63,89.22,83.63,88.88,6482700.0
2019-11-13,89.29,90.44,88.61,88.87,3967300.0
2019-11-14,93.06,94.11,89.76,90.34,5239700.0
2019-11-15,90.25,91.02,89.73,90.33,2513200.0
2019-11-18,90.0,90.96,89.36,89.98,2070200.0
2019-11-19,89.89,90.76,89.46,90.54,2405900.0
2019-11-20,90.31,91.15,90.06,90.62,2185400.0
2019-11-21,90.21,90.78,88.33,88.53,2410800.0
2019-11-22,88.59,88.72,86.28,86.41,3142200.0
2019-11-25,86.57,88.85,85.78,88.63,2927100.0
2019-11-26,88.49,89.84,88.04,89.7,2413000.0
2019-11-27,89.46,90.36,88.94,90.09,1285700.0
2019-11-29,90.0,90.51,89.51,89.89,1081200.0
2019-12-02,89.88,90.09,88.77,89.58,2156200.0
2019-12-03,88.47,89.1,87.72,88.95,2252300.0
2019-12-04,89.11,90.15,88.89,89.24,1777900.0
2019-12-05,89.13,89.67,88.68,89.46,1423500.0
2019-12-06,90.53,91.38,89.38,89.45,2060700.0
2019-12-09,89.35,90.22,89.11,89.67,1535900.0
2019-12-10,89.56,89.7,88.49,88.61,2102600.0
2019-12-11,88.39,89.06,87.69,88.49,2312400.0
2019-12-12,88.12,89.13,87.46,87.51,2497300.0
2019-12-13,87.29,88.81,86.66,87.97,2376700.0
2019-12-16,88.69,90.54,88.62,89.95,2856200.0
2019-12-17,90.17,90.97,89.86,90.38,2907700.0
2019-12-18,90.82,90.97,88.72,88.86,3040200.0
