date,Open,High,Low,Close,Volume
2019-08-20,129.77,132.21,128.81,131.43,1142133.0
2019-08-21,132.88,135.7,131.14,134.21,1897651.0
2019-08-22,134.34,134.4945,131.43,132.39,964038.0
2019-08-23,132.28,132.53,128.44,128.81,1406162.0
2019-08-26,129.71,130.56,128.09,130.49,1132065.0
2019-08-27,131.67,132.15,129.86,130.84,989818.0
2019-08-28,130.78,131.37,128.64,131.22,691635.0
2019-08-29,132.95,133.455,131.43,132.4,894262.0
2019-08-30,133.4,134.41,130.65,131.97,1116780.0
2019-09-03,130.96,132.68,130.735,131.66,1548898.0
2019-09-04,133.2,134.0,132.28,132.74,1101890.0
2019-09-05,134.3,134.74,129.94,131.35,1169836.0
2019-09-06,132.04,132.13,130.66,130.76,843362.0
2019-09-09,130.82,133.42,129.78,132.17,1396024.0
2019-09-10,130.98,132.26,126.86,128.4,1863477.0
2019-09-11,128.62,128.79,121.8801,122.62,3296396.0
2019-09-12,124.37,127.8,124.37,126.24,2774184.0
2019-09-13,126.55,127.4,125.01,125.1,1919959.0
2019-09-16,124.2,129.58,123.85,128.63,1240561.0
2019-09-17,128.71,131.01,127.2,130.91,1352666.0
2019-09-18,130.72,131.36,126.965,129.76,1060170.0
2019-09-19,129.56,132.35,129.26,130.59,1119173.0
2019-09-20,131.57,132.0,129.37,130.56,1180426.0
2019-09-23,129.21,129.8,125.5,125.73,1932076.0
2019-09-24,126.12,126.7,124.145,125.08,1411375.0
2019-09-25,124.01,127.68,123.78,127.24,1138759.0
2019-09-26,127.15,128.56,126.54,126.77,696934.0
2019-09-27,127.09,127.42,122.62,123.97,926905.0
2019-09-30,123.96,125.9,122.82,125.34,829167.0
2019-10-01,125.2,125.98,122.44,122.91,1510478.0
2019-10-02,122.27,122.27,118.04,119.66,2148168.0
2019-10-03,119.67,121.01,118.03,120.5,1266430.0
2019-10-04,120.4,123.78,117.4,123.33,2200804.0
2019-10-07,122.98,123.76,121.66,122.99,768290.0
2019-10-08,119.85,120.81,117.27,119.45,1825121.0
2019-10-09,120.93,122.85,120.04,121.87,1330623.0
2019-10-10,121.31,122.53,120.29,122.4,1267013.0
2019-10-11,123.4,124.34,122.28,122.42,1192113.0
2019-10-14,122.36,122.51,121.01,121.16,926870.0
2019-10-15,121.95,124.09,121.7,123.94,1035489.0
