date,Open,High,Low,Close,Volume
2019-08-20,124.23,125.22,123.41,124.31,2706448.0
2019-08-21,125.5,126.08,124.7,126.04,3866079.0
2019-08-22,126.11,126.6,124.19,125.21,2997847.0
2019-08-23,124.12,125.09,119.84,120.29,6518079.0
2019-08-26,122.46,122.47,120.51,121.67,3294014.0
2019-08-27,122.93,123.58,121.53,122.18,3679726.0
2019-08-28,121.37,122.98,120.53,122.74,2298499.0
2019-08-29,124.18,125.31,123.39,123.57,3454599.0
2019-08-30,124.83,125.24,123.44,123.75,2747536.0
2019-09-03,123.05,123.48,120.67,121.74,3913178.0
2019-09-04,123.95,124.94,123.85,124.59,3858217.0
2019-09-05,126.75,129.01,126.15,126.81,5330649.0
2019-09-06,127.1,127.91,126.59,127.09,2457537.0
2019-09-09,127.94,127.94,125.68,127.1,3813653.0
2019-09-10,126.01,127.06,124.9,127.04,4725625.0
2019-09-11,127.0,128.65,126.4,128.58,4286118.0
2019-09-12,129.2,130.92,128.37,130.22,4472948.0
2019-09-13,130.47,130.89,129.56,129.61,3110817.0
2019-09-16,128.76,129.48,128.09,128.36,3065823.0
2019-09-17,128.3,129.7,127.62,129.56,2829346.0
2019-09-18,129.56,129.56,127.2,129.31,2409716.0
2019-09-19,129.5,130.26,128.5,128.83,2677210.0
2019-09-20,128.3,128.75,126.22,126.67,7624080.0
2019-09-23,126.67,128.35,126.31,127.77,4966743.0
2019-09-24,128.77,128.81,124.9,125.81,4745578.0
2019-09-25,125.3,128.33,124.53,127.74,3393744.0
2019-09-26,128.28,128.67,126.64,128.11,3538734.0
2019-09-27,129.52,129.64,125.86,127.14,5263516.0
2019-09-30,127.69,129.4,127.57,129.24,4328831.0
2019-10-01,130.0,131.8,127.59,128.59,5132152.0
2019-10-02,127.26,127.78,126.22,126.84,5379725.0
2019-10-03,127.27,129.25,125.86,128.7,5408731.0
2019-10-04,129.31,130.31,128.99,130.14,3936442.0
2019-10-07,130.04,130.49,128.74,128.85,2594250.0
2019-10-08,127.42,127.87,123.63,124.98,4891030.0
2019-10-09,126.75,128.18,126.32,127.44,2933364.0
2019-10-10,127.86,129.37,127.1,127.73,4161057.0
2019-10-11,130.1,131.76,129.56,130.09,4736511.0
2019-10-14,129.58,129.94,129.07,129.75,2293940.0
2019-10-15,130.28,132.2,129.79,131.69,3038067.0
2019-10-16,130.83,131.45,129.19,129.5,4591847.0
2019-10-17,130.9,131.39,128.81,130.13,3004719.0
2019-10-18,129.79,130.42,128.55,129.46,4102938.0
2019-10-21,130.74,131.02,129.65,130.93,3355107.0
2019-10-22,130.27,131.1,128.23,128.57,5897940.0
2019-10-23,116.8,121.62,115.87,118.95,18571135.0
2019-10-24,118.81,120.29,117.32,118.41,6355642.0
2019-10-25,118.51,120.69,118.51,120.51,4788229.0
2019-10-28,121.06,122.1,119.24,120.0,6429258.0
2019-10-29,120.52,120.92,119.52,120.29,4622177.0
2019-10-30,119.73,120.07,117.58,117.79,5276221.0
2019-10-31,117.65,118.31,116.49,117.99,4778447.0
2019-11-01,119.19,119.59,117.87,118.04,4430079.0
2019-11-04,119.92,121.41,119.48,120.97,5175390.0
2019-11-05,121.1,121.73,119.66,119.86,3994507.0
2019-11-06,119.67,120.55,118.86,120.36,3904664.0
2019-11-07,120.94,121.86,119.08,119.92,4271380.0
2019-11-08,119.7,120.14,118.82,120.11,3804876.0
2019-11-11,119.07,119.7,117.97,118.08,5165647.0
2019-11-12,118.18,119.91,118.18,119.02,4761093.0
2019-11-13,118.06,118.96,117.61,118.42,4953304.0
2019-11-14,118.19,118.36,116.78,117.57,4568722.0
2019-11-15,118.57,118.76,117.56,118.0,4496831.0
2019-11-18,117.92,118.29,117.17,117.89,5337778.0
2019-11-19,118.48,118.48,116.98,117.84,3860785.0
2019-11-20,117.25,117.7,115.49,116.23,4369014.0
2019-11-21,116.2,116.35,114.59,116.1,5447650.0
2019-11-22,116.73,117.53,116.55,117.01,3008883.0
2019-11-25,117.79,119.47,117.71,119.01,3726369.0
2019-11-26,119.04,119.5,117.89,119.13,7099760.0
2019-11-27,119.91,121.81,119.5,121.73,4878164.0
2019-11-29,121.15,121.64,119.99,120.21,3498895.0
2019-12-02,120.12,120.19,117.91,118.79,4733651.0
2019-12-03,117.15,117.97,116.06,117.75,6060975.0
2019-12-04,119.98,121.47,119.41,120.28,4537688.0
2019-12-05,120.57,120.81,119.77,120.74,3260373.0
2019-12-06,121.95,122.7,121.88,122.37,3816004.0
2019-12-09,122.26,122.49,121.87,122.0,2892813.0
2019-12-10,122.19,122.99,121.17,121.37,4043388.0
2019-12-11,121.28,123.84,121.2,123.72,2959929.0
2019-12-12,123.8,126.98,123.03,126.07,5412936.0
2019-12-13,125.96,127.47,125.39,126.64,3451955.0
2019-12-16,127.58,128.67,127.07,127.07,4973083.0
2019-12-17,127.84,128.0,125.97,127.09,4354331.0
2019-12-18,127.39,127.39,126.0,126.35,5776324.0
2019-12-19,126.34,126.48,125.0,126.4,4256468.0
2019-12-20,127.25,129.04,125.85,128.95,9321399.0
2019-12-23,129.0,129.17,128.16,128.55,3095031.0
2019-12-24,128.73,128.85,127.89,128.53,1403410.0
2019-12-26,128.71,128.75,128.05,128.48,2339864.0
2019-12-27,128.86,128.92,128.09,128.57,1800663.0
2019-12-30,128.2,128.47,127.04,127.66,2283729.0
2019-12-31,127.25,128.39,127.06,128.29,2813548.0
2020-01-02,129.13,129.61,127.77,129.57,4307006.0
2020-01-03,127.46,129.25,127.23,127.85,4057223.0
2020-01-06,127.06,127.33,125.9,126.96,4345537.0
2020-01-07,129.15,130.9,128.42,129.41,7186129.0
2020-01-08,129.34,130.57,129.06,129.76,3546870.0
2020-01-09,130.7,131.74,130.24,131.33,3528081.0
2020-01-10,131.81,131.81,129.82,130.0,3234039.0
2020-01-13,130.57,130.74,129.77,129.95,4301937.0
2020-01-14,129.95,131.86,129.83,130.67,4632403.0
2020-01-15,130.43,130.43,128.86,129.17,3392366.0
2020-01-16,130.0,130.23,129.35,130.16,5475961.0
2020-01-17,130.76,132.04,130.44,131.7,5487095.0
2020-01-21,131.09,132.19,130.58,130.86,8381672.0
2020-01-22,132.02,135.7,131.82,133.34,8899712.0
2020-01-23,131.42,134.41,129.65,134.25,8598678.0
2020-01-24,134.8,135.44,129.75,130.52,5606800.0
2020-01-27,128.65,129.25,126.24,126.31,5891326.0
2020-01-28,127.15,128.31,126.76,128.04,4397463.0
2020-01-29,127.55,128.51,125.44,125.49,4537551.0
2020-01-30,123.22,124.67,122.22,124.42,5521312.0
2020-01-31,123.36,123.64,119.96,120.65,5782520.0
2020-02-03,121.06,123.68,121.06,123.4,5396697.0
2020-02-04,126.0,127.32,125.36,126.47,4434701.0
2020-02-05,128.66,132.91,128.66,132.44,7281760.0
2020-02-06,133.0,133.0,131.48,132.52,3686554.0
2020-02-07,131.25,131.25,128.51,128.7,4331746.0
2020-02-10,127.55,129.7,127.3,129.65,2882681.0
2020-02-11,130.47,131.98,130.13,130.7,2986832.0
2020-02-12,131.65,132.94,131.64,132.42,2839108.0
2020-02-13,131.88,133.39,131.16,132.81,4268722.0
2020-02-14,133.48,133.62,131.27,132.21,2605266.0
2020-02-18,131.1,131.78,130.59,131.24,3094593.0
2020-02-19,132.9,134.3,132.21,133.13,3931602.0
2020-02-20,132.61,133.26,130.34,131.47,2487936.0
2020-02-21,130.76,130.83,127.96,128.52,4121290.0
2020-02-24,124.01,125.26,121.25,121.44,7483779.0
2020-02-25,122.9,123.03,118.02,118.38,6347264.0
2020-02-26,119.29,120.64,117.63,118.79,5778181.0
2020-02-27,116.35,118.49,113.07,113.13,8687345.0
2020-02-28,109.45,116.12,108.61,114.14,11432756.0
2020-03-02,115.16,119.07,113.32,118.97,7207458.0
2020-03-03,118.38,120.12,112.21,113.81,9217500.0
2020-03-04,115.77,119.09,114.34,119.05,5556691.0
2020-03-05,115.17,117.21,113.71,114.72,6162250.0
2020-03-06,111.09,113.87,110.14,113.16,6386222.0
2020-03-09,105.11,110.08,104.42,105.04,8454636.0
2020-03-10,108.83,112.14,104.75,112.12,9206433.0
2020-03-11,109.54,111.44,105.79,106.5,9636948.0
2020-03-12,99.42,104.73,96.55,97.53,15158498.0
2020-03-13,103.31,107.47,98.46,106.04,16040243.0
2020-03-16,95.88,104.5,93.09,93.5,12389356.0
2020-03-17,96.03,107.64,95.11,106.15,16243501.0
2020-03-18,100.05,105.82,94.15,100.0,16410781.0
2020-03-19,99.39,105.0,97.12,101.57,9298541.0
2020-03-20,104.5,105.5,97.1,97.6,10253305.0
2020-03-23,97.35,101.96,94.92,98.44,9680823.0
2020-03-24,102.15,105.68,99.46,105.36,9385741.0
2020-03-25,104.33,105.83,98.51,99.16,11862056.0
2020-03-26,99.4,108.84,99.01,107.76,10442996.0
2020-03-27,104.0,105.0,100.07,100.5,7579184.0
2020-03-30,100.4,103.44,100.3,102.02,6950754.0
2020-03-31,102.02,103.19,99.48,99.93,8970003.0
2020-04-01,96.1,100.37,96.07,96.89,8229664.0
2020-04-02,96.26,102.22,96.1,102.02,8353715.0
2020-04-03,102.44,103.64,98.85,99.98,6587405.0
2020-04-06,104.58,109.56,103.51,108.96,7189653.0
2020-04-07,111.69,112.93,105.83,106.26,7762249.0
2020-04-08,108.19,110.67,106.22,110.17,5426602.0
2020-04-09,111.0,112.21,107.08,107.69,5902415.0
2020-04-13,105.5,108.45,105.3,107.67,5209410.0
2020-04-14,109.52,111.43,108.97,110.95,8142378.0
2020-04-15,109.08,109.14,106.76,107.98,5381347.0
2020-04-16,109.42,111.91,107.81,111.39,5777685.0
2020-04-17,111.61,114.06,110.73,113.55,6100164.0
2020-04-20,111.52,115.12,111.3,111.53,7957252.0
2020-04-21,110.2,110.75,106.5,106.84,8799824.0
2020-04-22,109.68,112.46,108.61,111.98,10961262.0
2020-04-23,111.74,113.9,110.18,110.46,5374254.0
2020-04-24,111.35,114.0,111.04,113.93,5570209.0
2020-04-27,114.0,116.24,113.02,115.78,4728247.0
2020-04-28,118.12,119.81,114.07,114.24,5762275.0
2020-04-29,115.93,119.68,115.87,119.4,4936870.0
2020-04-30,117.54,117.99,115.19,116.07,5781032.0
2020-05-01,112.38,113.25,109.45,109.71,5839885.0
2020-05-04,108.92,110.66,107.84,110.5,4987070.0
2020-05-05,111.5,113.19,110.8,111.54,5242554.0
2020-05-06,112.4,113.85,111.98,112.42,3701441.0
2020-05-07,113.89,114.93,112.62,113.65,3610293.0
2020-05-08,113.96,115.54,112.75,115.0,4331296.0
2020-05-11,113.41,115.77,113.41,114.88,2723621.0
2020-05-12,115.14,115.87,111.34,111.69,3547084.0
2020-05-13,112.92,112.92,107.38,109.07,4653232.0
2020-05-14,109.0,110.44,106.42,110.35,4396124.0
2020-05-15,106.54,108.37,105.45,108.24,7237711.0
2020-05-18,111.18,115.15,110.26,114.42,6527364.0
2020-05-19,114.02,115.34,112.53,112.68,4595070.0
2020-05-20,115.14,118.83,114.64,117.48,4961617.0
2020-05-21,116.44,117.33,113.38,113.46,4361476.0
2020-05-22,113.53,113.87,112.32,113.43,3061595.0
2020-05-26,115.81,117.61,115.51,115.73,4822042.0
2020-05-27,116.43,117.97,115.54,117.82,4079439.0
