date,Open,High,Low,Close,Volume
2019-08-20,16.72,16.9,16.45,16.74,3032865.0
2019-08-21,16.91,17.0733,16.77,16.92,1714198.0
2019-08-22,17.02,17.26,16.955,17.14,2089719.0
2019-08-23,16.8,16.94,16.1,16.15,2766646.0
2019-08-26,16.36,16.48,16.19,16.31,1931248.0
2019-08-27,16.47,16.5,16.12,16.12,2834596.0
2019-08-28,16.0,16.63,15.97,16.5,1601131.0
2019-08-29,16.74,17.035,16.67,16.96,2099265.0
2019-08-30,17.12,17.25,16.9,16.92,1803051.0
2019-09-03,16.87,16.91,16.61,16.88,1324395.0
2019-09-04,16.98,17.47,16.96,17.24,1640730.0
2019-09-05,17.53,17.93,17.46,17.91,1615848.0
2019-09-06,18.03,18.18,17.6,17.78,1474311.0
2019-09-09,17.8,18.36,17.725,18.32,2178464.0
2019-09-10,18.25,18.6,18.2,18.6,1515192.0
2019-09-11,18.6,19.15,18.22,19.14,1854570.0
2019-09-12,19.2213,19.375,19.03,19.23,1485949.0
2019-09-13,19.29,19.4752,19.022,19.07,2369418.0
2019-09-16,18.9,19.195,18.82,19.02,1570120.0
2019-09-17,18.95,19.03,18.63,19.02,1290421.0
2019-09-18,19.04,19.09,18.61,18.89,1694203.0
2019-09-19,18.89,18.91,18.29,18.42,2113674.0
2019-09-20,18.51,18.72,17.9638,17.98,2446567.0
2019-09-23,17.95,18.3,17.91,17.99,1049535.0
2019-09-24,18.16,18.1662,17.47,17.66,1753469.0
2019-09-25,17.7,18.15,17.64,17.85,1511432.0
2019-09-26,17.91,18.05,17.73,17.97,994927.0
2019-09-27,18.0,18.26,17.72,17.79,1476731.0
2019-09-30,17.89,18.17,17.824,18.13,1222726.0
2019-10-01,18.18,18.3,17.92,18.01,1741045.0
2019-10-02,17.83,17.83,17.26,17.52,1931661.0
2019-10-03,17.49,17.52,16.96,17.5,1836005.0
2019-10-04,17.49,17.625,17.23,17.59,1184009.0
2019-10-07,17.53,17.71,17.42,17.47,1503544.0
2019-10-08,17.19,17.5767,17.07,17.35,1150608.0
2019-10-09,17.55,17.91,17.47,17.75,1065132.0
2019-10-10,17.8,18.08,17.78,17.85,1060461.0
2019-10-11,18.1,18.5433,18.06,18.26,1193203.0
2019-10-14,18.22,18.43,18.14,18.23,1311046.0
2019-10-15,18.24,18.5,18.11,18.46,1267777.0
2019-10-16,18.5,18.55,18.3,18.36,1400745.0
2019-10-17,18.48,18.645,18.36,18.46,1383143.0
2019-10-18,18.0,18.05,17.595,17.81,2472329.0
2019-10-21,17.9,18.18,17.89,18.17,1041645.0
2019-10-22,18.2,19.48,18.19,19.42,3786808.0
2019-10-23,19.27,19.27,18.74,19.01,1281411.0
2019-10-24,19.07,19.07,18.61,19.01,1952853.0
2019-10-25,18.83,19.37,18.75,19.06,1195902.0
2019-10-28,19.15,19.405,19.04,19.04,1523659.0
2019-10-29,19.03,19.03,18.69,18.72,1072483.0
2019-10-30,18.66,18.8,18.42,18.62,1146544.0
2019-10-31,18.5,18.55,18.275,18.5,1043258.0
2019-11-01,18.62,18.98,18.57,18.91,1857110.0
2019-11-04,16.01,16.57,15.36,15.44,18683413.0
2019-11-05,15.67,16.5,15.53,16.31,7890614.0
2019-11-06,16.44,16.63,16.18,16.51,3399889.0
2019-11-07,16.64,16.79,15.91,16.08,3658577.0
2019-11-08,16.12,16.28,15.86,15.88,2611704.0
2019-11-11,15.79,15.99,15.62,15.96,2506897.0
2019-11-12,16.0,16.1099,15.55,15.58,2924583.0
2019-11-13,15.51,15.74,15.42,15.67,2698015.0
2019-11-14,15.6,15.85,15.495,15.56,1672773.0
2019-11-15,15.56,16.1,15.54,15.97,2984014.0
2019-11-18,15.97,16.06,15.68,15.72,1820730.0
2019-11-19,15.65,15.805,15.535,15.61,1898771.0
2019-11-20,15.57,15.58,15.27,15.43,2071212.0
2019-11-21,15.42,15.42,15.055,15.24,3284643.0
2019-11-22,15.3,15.67,15.27,15.66,2019057.0
2019-11-25,15.79,15.79,15.48,15.67,2124030.0
2019-11-26,15.7,16.48,15.5796,16.47,4431197.0
2019-11-27,17.23,17.7,16.98,17.49,7467085.0
2019-11-29,17.5,17.56,17.16,17.3,2322545.0
2019-12-02,17.27,17.31,16.83,16.87,2786387.0
2019-12-03,16.53,16.79,16.4,16.63,2238058.0
2019-12-04,16.74,17.02,16.64,17.01,2369274.0
2019-12-05,17.13,17.3,16.93,17.2,2711067.0
2019-12-06,17.33,17.53,17.24,17.44,2166580.0
2019-12-09,17.29,17.78,17.27,17.69,1829584.0
2019-12-10,17.7,17.74,17.55,17.69,1695777.0
2019-12-11,17.65,17.75,17.49,17.51,1726449.0
2019-12-12,17.46,17.6,17.25,17.51,2396984.0
2019-12-13,17.58,18.0,17.51,17.78,2030084.0
2019-12-16,17.89,18.629,17.84,18.59,2724173.0
2019-12-17,18.56,18.73,18.44,18.69,2185454.0
2019-12-18,18.69,19.05,18.56,19.03,1666444.0
2019-12-19,19.01,19.13,18.892,19.01,1731291.0
2019-12-20,19.05,19.36,18.93,19.3,3177689.0
2019-12-23,19.35,19.487,19.26,19.37,1098668.0
2019-12-24,19.35,19.49,19.3,19.4,669443.0
2019-12-26,19.41,19.606,19.33,19.55,856932.0
2019-12-27,19.6,19.65,19.18,19.25,1271055.0
2019-12-30,19.14,19.25,18.965,18.99,1793235.0
2019-12-31,18.99,19.26,18.9,19.18,1982074.0
2020-01-02,19.35,19.38,19.02,19.24,3372151.0
2020-01-03,18.99,19.43,18.89,19.27,2711550.0
2020-01-06,19.0,19.05,18.21,18.37,4200203.0
2020-01-07,18.34,18.61,18.25,18.59,2641691.0
2020-01-08,18.67,18.78,18.04,18.16,2479460.0
2020-01-09,18.17,18.24,17.6131,17.78,1925500.0
2020-01-10,17.76,17.84,17.56,17.77,1123778.0
2020-01-13,17.8,18.05,17.6797,18.04,1518704.0
2020-01-14,18.09,18.84,18.06,18.76,1999068.0
2020-01-15,18.71,19.06,18.6999,18.9,1344091.0
2020-01-16,19.05,19.32,18.96,19.02,1426208.0
2020-01-17,19.19,19.23,18.31,18.37,2270574.0
2020-01-21,18.32,18.39,18.03,18.09,2151114.0
2020-01-22,18.09,18.71,18.09,18.31,1450281.0
2020-01-23,18.2,18.895,17.98,18.78,1682818.0
2020-01-24,18.88,18.98,18.52,18.61,1607134.0
2020-01-27,18.02,18.64,17.95,18.45,1236008.0
2020-01-28,18.56,18.75,18.24,18.68,1284882.0
2020-01-29,18.8,19.1,18.68,18.68,1239640.0
2020-01-30,18.6,18.69,18.25,18.55,1176709.0
2020-01-31,18.49,18.54,17.9146,17.96,1339727.0
2020-02-03,18.07,18.36,17.97,17.98,2482375.0
2020-02-04,18.29,18.7315,18.16,18.42,2277198.0
2020-02-05,18.62,18.8,18.09,18.5,1661510.0
2020-02-06,18.63,18.74,18.35,18.4,1479788.0
2020-02-07,18.46,18.52,17.87,17.97,2154721.0
2020-02-10,18.13,18.471,18.01,18.15,2534842.0
2020-02-11,15.26,15.58,15.02,15.12,16119377.0
2020-02-12,15.26,15.895,15.2,15.45,6483425.0
2020-02-13,15.45,15.568,15.08,15.13,4984750.0
2020-02-14,15.15,15.5,15.15,15.45,3637737.0
2020-02-18,15.35,15.445,14.91,15.0,4694804.0
2020-02-19,15.0,15.12,14.8,14.96,3273337.0
2020-02-20,15.0,15.1,14.73,14.94,3033781.0
2020-02-21,14.86,15.05,14.51,14.57,2993487.0
2020-02-24,13.98,14.21,13.81,14.14,3689815.0
2020-02-25,14.28,14.34,13.27,13.46,3226776.0
2020-02-26,13.59,13.6819,13.04,13.04,3369327.0
2020-02-27,12.72,13.23,12.37,12.55,5847028.0
2020-02-28,12.19,12.73,12.18,12.48,9194116.0
2020-03-02,12.55,12.63,12.19,12.49,6344133.0
2020-03-03,12.52,12.75,11.88,12.2,7170540.0
2020-03-04,12.41,12.465,11.84,12.39,4389097.0
2020-03-05,12.02,12.22,11.6017,11.73,4597162.0
2020-03-06,11.33,11.6141,11.03,11.14,7528814.0
2020-03-09,10.31,10.52,9.51,9.91,4272112.0
2020-03-10,10.31,10.4,9.665,10.29,5025049.0
2020-03-11,10.03,10.265,9.87,9.99,5597826.0
2020-03-12,9.23,9.51,8.67,8.75,6531203.0
2020-03-13,9.15,9.49,8.77,9.48,3824152.0
2020-03-16,8.28,9.36,8.13,8.33,4275801.0
2020-03-17,8.58,9.08,8.07,8.96,6924114.0
2020-03-18,8.39,8.79,7.25,7.39,6419100.0
2020-03-19,7.29,8.165,6.8,8.01,4963993.0
2020-03-20,8.01,8.425,7.1475,7.23,11030859.0
2020-03-23,7.15,7.5,6.79,7.14,3337091.0
2020-03-24,7.46,8.06,7.46,8.01,6609834.0
2020-03-25,8.18,8.74,7.585,8.24,7212091.0
2020-03-26,8.32,8.96,8.08,8.76,5611774.0
2020-03-27,8.4,8.58,8.07,8.32,3230073.0
2020-03-30,8.25,8.49,7.9198,8.41,3146722.0
2020-03-31,8.36,8.64,7.955,8.06,3075748.0
2020-04-01,7.66,7.81,7.2,7.45,3450207.0
2020-04-02,7.32,7.57,6.6,6.89,5159304.0
2020-04-03,6.85,7.5,6.6,7.48,4132005.0
2020-04-06,7.92,8.24,7.72,8.0,3685601.0
2020-04-07,8.62,8.84,8.19,8.39,4331637.0
2020-04-08,8.55,8.98,8.48,8.64,3001459.0
2020-04-09,8.97,9.55,8.92,9.35,3784359.0
2020-04-13,9.29,9.35,8.6,8.73,2950906.0
2020-04-14,9.08,9.19,8.7575,8.97,2363755.0
2020-04-15,8.46,8.77,8.25,8.65,3092045.0
2020-04-16,8.66,8.66,8.23,8.36,2439258.0
2020-04-17,8.71,9.045,8.7,8.89,3180074.0
2020-04-20,8.59,9.06,8.57,8.64,2782737.0
2020-04-21,8.42,8.85,8.3,8.52,1970103.0
2020-04-22,8.73,8.92,8.56,8.56,1579895.0
2020-04-23,8.58,8.98,8.58,8.74,1832662.0
2020-04-24,8.84,9.185,8.84,8.97,3286566.0
2020-04-27,9.03,9.5,8.88,9.35,2527642.0
2020-04-28,9.73,9.94,9.445,9.64,3861347.0
2020-04-29,9.8,10.17,9.73,9.79,3523404.0
2020-04-30,9.1,9.71,9.0,9.27,4104433.0
2020-05-01,9.02,9.055,8.61,8.76,3697623.0
2020-05-04,8.55,8.8499,8.35,8.71,2886881.0
2020-05-05,8.96,8.96,8.42,8.46,3518076.0
2020-05-06,8.5,8.62,8.09,8.23,3078558.0
