date,Open,High,Low,Close,Volume
2019-08-20,83.65,84.43,83.21,84.03,1495009.0
2019-08-21,84.67,85.67,84.626,85.29,1672641.0
2019-08-22,85.3,85.87,84.69,85.56,1310135.0
2019-08-23,85.06,85.65,82.22,82.53,3674673.0
2019-08-26,83.42,83.63,82.45,83.58,1851387.0
2019-08-27,84.28,84.705,81.75,81.94,2213751.0
2019-08-28,81.52,82.99,81.17,82.45,2291376.0
2019-08-29,83.23,85.13,83.23,84.69,4085102.0
2019-08-30,85.2,85.68,84.09,84.31,1929469.0
2019-09-03,83.64,83.76,82.25,83.15,2350081.0
2019-09-04,83.0,84.86,83.0,83.91,2739635.0
2019-09-05,84.69,86.87,84.69,85.84,2968888.0
2019-09-06,86.37,87.44,86.2,86.3,2345125.0
2019-09-09,86.49,87.73,85.91,87.33,2123125.0
2019-09-10,87.2,87.785,86.605,87.56,1711943.0
2019-09-11,87.62,88.87,87.17,88.38,2431520.0
2019-09-12,88.68,89.83,88.55,89.38,2724658.0
2019-09-13,90.41,91.84,89.75,91.35,3000707.0
2019-09-16,88.3,90.1273,88.17,88.76,3438150.0
2019-09-17,89.38,91.26,88.79,89.98,3635129.0
2019-09-18,89.7,90.29,88.94,90.23,2174822.0
2019-09-19,90.35,90.62,89.18,89.42,2367602.0
2019-09-20,89.47,90.0507,88.92,89.09,2764305.0
2019-09-23,88.62,88.88,87.42,88.21,3178752.0
2019-09-24,88.97,89.2,87.51,88.3,1563720.0
2019-09-25,88.24,89.88,88.24,89.17,1744522.0
2019-09-26,89.38,89.55,87.77,88.45,1306010.0
2019-09-27,88.85,90.3,87.82,88.14,1668260.0
2019-09-30,88.4,88.98,87.91,88.41,1959398.0
2019-10-01,89.15,90.19,87.23,87.84,2429757.0
2019-10-02,86.0,86.85,82.0552,83.69,4346907.0
2019-10-03,83.61,83.61,80.87,83.27,2768483.0
2019-10-04,83.53,84.47,83.12,84.29,1957962.0
2019-10-07,83.61,85.26,83.61,84.85,2124385.0
2019-10-08,84.25,86.12,83.9,84.69,2575541.0
2019-10-09,85.74,87.51,85.73,86.46,3163430.0
2019-10-10,85.39,87.76,84.73,87.34,2830522.0
2019-10-11,88.52,89.13,87.12,87.15,2461176.0
2019-10-14,87.11,87.15,86.24,86.97,3457479.0
2019-10-15,87.28,88.66,86.68,87.88,4746893.0
2019-10-16,89.35,90.84,88.22,89.7,6805187.0
2019-10-17,90.2,90.4068,88.93,89.46,2493214.0
2019-10-18,89.43,90.755,89.33,90.085,2634779.0
2019-10-21,90.49,91.5,90.49,90.78,2045051.0
2019-10-22,90.68,91.05,89.62,89.71,2033340.0
2019-10-23,89.65,90.17,88.95,89.9,1644482.0
2019-10-24,90.59,91.51,89.22,89.81,2294969.0
2019-10-25,89.68,91.84,89.67,91.64,2218463.0
2019-10-28,91.83,92.8,91.78,92.19,1830342.0
2019-10-29,91.88,92.38,90.9,91.03,1552535.0
2019-10-30,91.05,91.89,90.41,91.67,1694758.0
2019-10-31,91.12,91.4,90.41,90.84,1997503.0
2019-11-01,91.65,92.52,91.29,91.65,2248324.0
2019-11-04,92.31,92.96,92.03,92.39,1905931.0
2019-11-05,92.63,93.62,92.46,93.12,2623950.0
2019-11-06,93.42,93.6,92.58,93.34,1179340.0
2019-11-07,94.0,95.16,93.56,93.8,3014104.0
2019-11-08,93.81,93.86,92.605,93.44,914941.0
2019-11-11,92.85,93.82,92.67,93.53,1127088.0
2019-11-12,93.44,93.88,92.66,92.72,1543614.0
2019-11-13,92.62,92.98,92.04,92.42,1863345.0
2019-11-14,92.75,92.95,91.9,92.52,1051767.0
2019-11-15,93.0,93.5,92.32,92.51,1552721.0
2019-11-18,92.45,92.79,91.45,92.77,1808656.0
2019-11-19,93.13,93.72,92.42,93.29,1606663.0
2019-11-20,92.75,93.46,90.85,91.7,3133884.0
2019-11-21,91.88,92.11,90.77,90.97,1630935.0
2019-11-22,91.1,91.94,90.94,91.78,1440399.0
2019-11-25,92.11,93.13,91.55,92.52,1941650.0
2019-11-26,92.48,92.92,92.02,92.76,2043490.0
2019-11-27,93.06,93.67,92.77,93.05,1602154.0
2019-11-29,92.8,93.49,92.51,92.8,905807.0
2019-12-02,93.0,93.62,91.44,91.63,1941963.0
2019-12-03,90.6,90.775,88.5,88.87,3393153.0
2019-12-04,89.16,89.81,88.13,88.17,2072411.0
2019-12-05,89.1,89.33,87.6,87.86,1959655.0
2019-12-06,88.79,89.5,88.55,88.58,1485328.0
2019-12-09,88.49,88.58,87.3,87.61,2235201.0
2019-12-10,87.58,87.92,86.36,86.51,1994909.0
2019-12-11,86.47,87.15,86.08,87.02,2418182.0
2019-12-12,87.7,89.9,87.32,88.47,2903831.0
2019-12-13,88.2,89.43,87.42,87.58,1972842.0
2019-12-16,87.95,89.46,87.95,88.63,2090200.0
2019-12-17,88.57,89.99,88.3501,89.36,2218406.0
2019-12-18,89.5,89.98,88.36,88.84,1876903.0
2019-12-19,89.28,89.78,89.0501,89.22,2172531.0
2019-12-20,89.37,89.9,89.05,89.28,3026482.0
2019-12-23,89.72,90.1,89.28,89.44,1906056.0
2019-12-24,89.46,89.63,88.66,89.15,771149.0
2019-12-26,89.3,89.715,88.8,89.26,1041642.0
2019-12-27,89.31,89.389,88.01,88.37,1402073.0
2019-12-30,88.51,88.8599,87.51,87.96,1799897.0
2019-12-31,87.71,88.46,87.71,88.09,2073700.0
2020-01-02,89.57,90.57,89.105,89.74,2671623.0
2020-01-03,86.8,88.16,86.26,87.9,3562918.0
2020-01-06,86.72,88.07,86.65,87.7,2652773.0
2020-01-07,87.41,88.16,86.74,86.77,2594744.0
2020-01-08,86.9,88.45,86.3,87.3,4153259.0
2020-01-09,87.72,88.72,87.5,87.95,2252191.0
2020-01-10,88.04,88.26,86.97,87.31,2035663.0
2020-01-13,87.31,87.67,86.7,86.89,2626502.0
2020-01-14,88.17,89.64,87.71,87.85,3243640.0
2020-01-15,87.61,88.8,87.25,88.29,1878934.0
2020-01-16,88.79,89.715,88.78,89.54,2427506.0
2020-01-17,89.8,90.1,88.96,89.7,4221217.0
2020-01-21,87.88,88.0,84.57,85.79,9387963.0
2020-01-22,86.75,87.565,83.15,83.34,8453244.0
2020-01-23,83.0,85.17,81.06,84.88,6194380.0
2020-01-24,84.31,84.73,80.28,81.9,6869764.0
2020-01-27,78.0,78.46,76.55,77.63,8671260.0
2020-01-28,78.25,78.475,77.0,77.05,7575578.0
2020-01-29,77.4,77.4899,75.01,75.21,5512397.0
2020-01-30,74.66,77.98,74.44,77.75,5900393.0
2020-01-31,77.17,77.29,74.52,74.8,5196562.0
2020-02-03,75.49,77.1199,74.88,74.91,3951366.0
2020-02-04,76.64,79.53,76.5,78.89,6423869.0
2020-02-05,80.76,82.36,80.05,81.85,6993789.0
2020-02-06,82.4,82.7211,79.79,80.5,5218811.0
2020-02-07,80.0,80.24,78.65,79.48,3129720.0
2020-02-10,78.95,79.61,77.78,79.47,3492868.0
2020-02-11,80.02,81.45,79.945,80.53,2763727.0
2020-02-12,81.08,82.6,81.0,82.2,2907099.0
2020-02-13,81.0,81.74,80.37,80.99,2998888.0
2020-02-14,81.02,81.44,79.4,79.55,3119656.0
2020-02-18,79.0,80.625,78.65,80.24,4183723.0
2020-02-19,80.94,80.94,79.19,79.42,3350290.0
2020-02-20,79.3,81.67,79.3,79.91,2893884.0
2020-02-21,79.4,79.4,77.32,78.01,4545057.0
