date,Open,High,Low,Close,Volume
2019-08-20,147.53,147.99,145.48,145.64,657293.0
2019-08-21,146.76,147.32,145.25,147.14,456632.0
2019-08-22,147.17,147.875,145.9,145.95,422903.0
2019-08-23,145.2,147.1,142.74,143.48,600650.0
2019-08-26,144.48,144.81,142.5,144.23,469132.0
2019-08-27,144.89,145.0,140.63,140.68,511294.0
2019-08-28,140.02,142.62,139.88,142.6,574330.0
2019-08-29,143.76,145.58,142.99,144.24,609575.0
2019-08-30,145.21,145.3,143.82,144.58,592777.0
2019-09-03,143.61,146.04,143.32,145.91,487582.0
2019-09-04,147.17,147.85,145.04,146.26,348532.0
2019-09-05,148.0,148.42,144.735,145.14,884601.0
2019-09-06,145.84,148.6,144.99,148.26,692383.0
2019-09-09,148.32,150.48,146.65,149.52,744143.0
2019-09-10,149.46,155.64,149.205,155.37,1320768.0
2019-09-11,154.59,157.06,153.37,155.11,1193865.0
2019-09-12,155.5,156.09,152.64,152.96,848929.0
2019-09-13,153.66,156.925,151.69,152.52,676533.0
2019-09-16,151.64,154.11,151.05,153.89,632459.0
2019-09-17,153.64,153.64,150.35,151.87,814420.0
2019-09-18,151.74,153.38,150.36,151.99,675984.0
2019-09-19,151.82,153.27,149.96,150.01,768923.0
2019-09-20,150.46,151.66,149.23,150.12,1121487.0
2019-09-23,149.25,150.84,148.6754,149.97,638171.0
2019-09-24,150.27,150.29,147.47,148.45,869133.0
2019-09-25,148.45,149.16,146.9,147.35,985439.0
2019-09-26,147.83,148.38,145.795,146.56,990817.0
2019-09-27,147.27,148.27,146.325,146.83,519378.0
2019-09-30,147.06,149.51,146.89,148.75,614099.0
2019-10-01,148.46,151.18,146.45,147.11,491548.0
2019-10-02,146.24,147.02,145.1221,146.23,597424.0
2019-10-03,146.11,146.64,144.74,145.37,695853.0
2019-10-04,146.1,146.84,144.35,146.13,563229.0
2019-10-07,145.81,146.57,144.7,145.07,710334.0
2019-10-08,144.39,144.7,142.72,143.2,715831.0
2019-10-09,144.18,145.59,143.93,145.12,374571.0
2019-10-10,144.83,146.39,144.44,145.83,383260.0
2019-10-11,146.69,149.02,146.07,146.13,356775.0
2019-10-14,145.55,145.87,143.96,143.99,341841.0
2019-10-15,144.82,146.32,144.77,145.25,715126.0
2019-10-16,145.45,147.32,144.33,144.72,559759.0
2019-10-17,145.31,146.7,144.91,146.3,653393.0
2019-10-18,145.32,146.28,143.505,146.09,636638.0
2019-10-21,146.69,146.9762,145.31,145.32,563248.0
2019-10-22,145.92,147.5,145.22,146.38,478598.0
2019-10-23,146.58,146.955,144.06,144.56,686573.0
2019-10-24,145.18,145.26,143.225,144.7,961448.0
2019-10-25,137.95,142.7,130.785,137.93,1409432.0
2019-10-28,137.7,140.15,137.595,138.08,745556.0
2019-10-29,138.9,139.98,138.17,138.81,839288.0
2019-10-30,138.27,139.27,135.87,139.07,774976.0
2019-10-31,139.05,139.19,136.46,137.46,686166.0
2019-11-01,138.53,139.9,138.235,138.75,533835.0
2019-11-04,139.13,140.0,138.505,139.53,399572.0
2019-11-05,140.36,141.3,139.51,139.86,836053.0
2019-11-06,140.13,140.33,138.78,139.92,564021.0
2019-11-07,140.96,141.83,139.26,139.67,340333.0
2019-11-08,139.74,141.56,139.7,141.13,395244.0
2019-11-11,140.3,141.565,139.11,139.24,349066.0
2019-11-12,139.06,140.92,138.54,140.57,620945.0
2019-11-13,140.06,141.96,139.84,141.56,553911.0
2019-11-14,141.71,142.52,140.54,141.19,446724.0
2019-11-15,140.55,145.2856,139.98,144.27,783339.0
2019-11-18,143.82,145.2213,141.53,141.76,775526.0
2019-11-19,141.93,142.66,141.17,141.79,491480.0
2019-11-20,141.28,141.93,140.08,140.5,566179.0
2019-11-21,140.79,142.03,140.39,140.59,696942.0
2019-11-22,140.66,141.73,139.1,139.32,664638.0
2019-11-25,140.33,142.22,139.75,141.32,659934.0
2019-11-26,141.75,141.75,138.58,139.76,836955.0
2019-11-27,140.59,141.34,139.92,140.29,322960.0
2019-11-29,139.45,140.02,138.74,139.49,236729.0
2019-12-02,140.04,140.84,139.5,139.82,378540.0
2019-12-03,138.79,140.75,138.05,140.33,444359.0
2019-12-04,140.27,141.55,139.97,141.02,475229.0
2019-12-05,141.08,142.24,140.57,141.84,712608.0
2019-12-06,142.83,144.81,142.58,144.71,560477.0
2019-12-09,144.54,144.77,143.49,143.72,468161.0
2019-12-10,143.83,144.815,143.07,144.58,696859.0
2019-12-11,144.64,144.91,143.33,144.7,358117.0
2019-12-12,144.92,146.67,143.43,146.27,523919.0
2019-12-13,146.07,146.73,143.85,144.34,353624.0
2019-12-16,144.75,144.935,141.2,141.67,1146388.0
2019-12-17,140.4,142.39,139.61,141.52,1077678.0
2019-12-18,141.74,143.46,141.55,141.65,628520.0
2019-12-19,142.4,144.34,141.87,144.03,741613.0
2019-12-20,144.67,146.31,144.3,144.31,1082518.0
2019-12-23,144.99,144.99,142.15,143.79,340699.0
2019-12-24,143.41,143.51,142.63,143.32,139359.0
2019-12-26,143.44,143.97,142.51,142.84,176727.0
2019-12-27,142.84,143.5,142.43,143.35,179962.0
2019-12-30,143.89,143.98,142.06,142.65,213642.0
2019-12-31,142.5,143.5,142.5,143.46,243363.0
2020-01-02,144.26,144.26,141.01,142.31,403370.0
2020-01-03,140.76,142.17,140.1,141.97,262697.0
2020-01-06,141.11,142.42,140.715,141.86,434341.0
2020-01-07,141.23,142.95,140.7,142.43,645668.0
2020-01-08,142.66,145.42,142.27,145.08,827964.0
2020-01-09,145.32,146.01,143.907,144.33,417461.0
2020-01-10,144.76,146.4,144.75,146.05,545991.0
2020-01-13,146.41,147.15,144.37,144.88,448985.0
2020-01-14,144.23,145.49,143.73,145.46,463624.0
2020-01-15,145.12,145.96,143.96,144.3,447912.0
2020-01-16,144.96,145.2,143.74,143.94,417420.0
2020-01-17,144.46,145.95,144.19,145.03,798643.0
2020-01-21,145.28,145.28,143.93,144.99,830917.0
2020-01-22,145.51,146.18,143.885,145.58,640188.0
2020-01-23,145.43,147.88,144.7,147.78,404065.0
2020-01-24,147.91,147.98,145.731,147.26,656464.0
2020-01-27,145.57,146.65,144.36,144.98,434117.0
2020-01-28,146.4,148.27,145.03,145.22,517480.0
2020-01-29,145.91,146.11,143.87,143.9,291201.0
2020-01-30,143.29,143.67,140.22,140.93,564981.0
2020-01-31,140.26,140.27,136.73,137.11,695564.0
2020-02-03,137.98,139.76,137.03,137.26,568607.0
2020-02-04,138.64,140.76,137.98,138.49,564210.0
2020-02-05,139.52,143.25,139.24,142.0,574706.0
2020-02-06,142.65,143.68,140.955,141.08,583823.0
2020-02-07,141.0,141.51,137.94,138.13,579946.0
2020-02-10,137.97,139.68,137.555,139.61,471977.0
2020-02-11,140.01,141.77,139.88,141.68,278347.0
2020-02-12,142.27,143.03,140.25,140.31,358494.0
2020-02-13,139.81,141.93,139.81,141.5,452171.0
2020-02-14,141.69,141.69,139.57,139.93,507155.0
2020-02-18,139.97,140.67,137.79,139.09,468114.0
2020-02-19,139.55,139.76,138.3,139.03,454566.0
2020-02-20,139.13,140.27,137.72,140.03,559046.0
2020-02-21,139.69,143.0,139.69,142.72,467772.0
2020-02-24,140.23,142.21,139.34,141.23,927838.0
2020-02-25,141.79,142.67,135.3475,135.48,852740.0
2020-02-26,136.24,137.9,134.535,135.21,1034546.0
2020-02-27,134.13,134.13,126.28,128.24,1681248.0
2020-02-28,124.8,126.12,121.39,123.74,1386942.0
2020-03-02,124.4,132.53,123.32,131.82,1050103.0
2020-03-03,131.24,134.67,124.72,125.34,1092659.0
2020-03-04,129.6,132.575,128.68,131.71,1091847.0
2020-03-05,127.64,129.05,124.65,127.57,889493.0
2020-03-06,123.35,126.6,121.975,125.97,966749.0
2020-03-09,120.97,120.97,113.09,114.59,1044752.0
2020-03-10,117.63,119.975,113.855,119.56,889425.0
2020-03-11,116.47,116.535,107.8,110.14,822946.0
