date,Open,High,Low,Close,Volume
2019-08-20,244.21,244.6,239.92,240.16,3201300.0
2019-08-21,240.19,241.89,239.3,240.35,2761900.0
2019-08-22,240.35,240.35,232.67,232.94,4498200.0
2019-08-23,232.9,235.1,229.38,230.66,4826600.0
2019-08-26,232.52,234.56,230.46,231.08,2918300.0
2019-08-27,231.72,232.4,222.6,222.93,4988100.0
2019-08-28,222.42,229.77,220.78,227.35,4847600.0
2019-08-29,228.42,232.3,228.01,230.62,4052500.0
2019-08-30,233.67,235.05,232.29,234.0,3384100.0
2019-09-03,231.74,232.17,228.47,230.62,3382300.0
2019-09-04,231.95,232.95,226.5,226.73,4526100.0
2019-09-05,230.0,231.51,227.58,229.59,4256900.0
2019-09-06,230.17,231.96,228.59,229.0,4183200.0
2019-09-09,229.0,232.0,228.56,230.68,3895600.0
2019-09-10,231.45,234.29,230.83,232.46,4257600.0
2019-09-11,232.49,234.25,228.58,234.21,3168100.0
2019-09-12,235.0,236.4,229.7,230.1,4713700.0
2019-09-13,232.99,236.56,231.54,233.61,4523200.0
2019-09-16,232.82,236.05,232.15,234.43,2973600.0
2019-09-17,233.07,233.99,231.17,232.52,2392900.0
2019-09-18,230.8,233.13,229.23,230.61,2960500.0
2019-09-19,232.0,233.95,231.23,232.85,2666700.0
2019-09-20,234.77,235.0,231.92,232.89,6220100.0
2019-09-23,229.77,230.78,228.32,228.77,3281200.0
2019-09-24,229.38,229.84,222.92,225.0,5006800.0
2019-09-25,224.28,226.5,222.13,222.17,4658000.0
2019-09-26,223.04,223.63,213.43,215.48,10444400.0
2019-09-27,218.18,218.88,215.02,215.26,4834900.0
2019-09-30,213.64,218.53,213.12,217.32,5286300.0
2019-10-01,219.19,219.19,212.08,217.21,5523600.0
2019-10-02,216.15,219.36,215.28,216.75,4921200.0
2019-10-03,215.63,216.36,213.05,215.36,3375800.0
2019-10-04,216.84,219.86,215.14,219.8,3700500.0
2019-10-07,219.05,222.53,218.99,221.24,3843200.0
2019-10-08,219.49,221.98,218.4,220.11,4817000.0
2019-10-09,221.71,223.47,220.17,222.08,4483100.0
2019-10-10,218.19,224.13,217.52,223.73,5252200.0
2019-10-11,225.54,228.85,221.59,222.07,5891600.0
2019-10-14,221.63,223.34,219.9,220.59,4075300.0
2019-10-15,232.69,239.84,231.09,238.59,13397700.0
2019-10-16,236.29,237.48,234.08,236.99,5368600.0
2019-10-17,238.69,244.61,237.27,243.67,6301200.0
2019-10-18,244.45,246.41,241.76,245.34,4922100.0
2019-10-21,245.02,245.6,242.15,243.92,3029200.0
2019-10-22,243.64,251.5,243.15,249.48,5660800.0
2019-10-23,248.39,251.75,246.73,247.8,3706600.0
2019-10-24,248.03,248.49,243.91,244.51,2546900.0
2019-10-25,243.91,246.08,242.15,244.91,2814900.0
2019-10-28,245.26,248.39,244.92,247.05,2957100.0
2019-10-29,247.04,253.2,246.31,252.29,3528900.0
2019-10-30,252.17,255.28,251.98,254.8,3299200.0
2019-10-31,254.38,255.72,249.91,252.7,3960300.0
2019-11-01,253.99,256.33,252.16,252.21,2919600.0
2019-11-04,253.63,253.83,249.91,251.25,3186400.0
2019-11-05,253.74,254.27,250.09,250.3,5393200.0
2019-11-06,249.71,251.99,249.09,250.52,3668600.0
2019-11-07,251.95,256.75,251.26,256.46,3646300.0
2019-11-08,256.77,258.34,255.0,256.97,2200300.0
2019-11-11,255.05,256.46,253.33,254.09,1765600.0
2019-11-12,253.59,255.76,253.41,255.25,1892500.0
2019-11-13,254.87,256.88,253.19,253.57,3289800.0
2019-11-14,253.8,256.08,253.47,255.83,2101900.0
2019-11-15,256.11,275.57,255.36,269.4,10136000.0
2019-11-18,269.0,278.45,269.0,272.93,6985200.0
2019-11-19,275.24,275.36,271.55,274.23,4002000.0
2019-11-20,272.25,276.03,271.24,275.56,4141600.0
2019-11-21,275.22,277.68,273.91,276.55,3309800.0
2019-11-22,276.53,277.77,275.0,276.84,2802700.0
2019-11-25,277.78,283.0,277.01,282.67,4082900.0
2019-11-26,280.71,282.25,280.16,281.4,2998600.0
2019-11-27,281.01,281.93,278.69,280.67,2323900.0
2019-11-29,278.1,280.92,277.33,279.87,1520900.0
2019-12-02,281.78,282.0,278.57,279.66,2517100.0
2019-12-03,276.97,278.42,273.85,276.9,3239200.0
2019-12-04,281.62,281.84,278.64,279.32,2694200.0
2019-12-05,279.24,282.82,277.48,282.0,3357300.0
2019-12-06,282.84,283.04,279.11,280.19,2828900.0
2019-12-09,280.77,280.87,277.42,277.54,2697100.0
2019-12-10,277.6,279.6,274.01,279.52,2515300.0
2019-12-11,278.3,280.66,278.03,280.5,2751300.0
2019-12-12,281.03,283.99,280.04,283.61,2996200.0
2019-12-13,284.97,287.81,284.12,285.48,3599300.0
2019-12-16,287.97,295.44,287.06,292.03,4663600.0
2019-12-17,291.24,292.78,289.17,290.47,4409100.0
2019-12-18,291.0,294.86,290.99,292.9,3621600.0
2019-12-19,295.0,297.2,293.62,294.62,2905900.0
2019-12-20,298.9,300.0,292.51,292.59,6608300.0
2019-12-23,293.43,295.85,292.81,295.09,2098900.0
2019-12-24,295.26,295.83,293.56,294.54,714000.0
2019-12-26,295.3,296.26,294.54,295.65,1050600.0
2019-12-27,296.01,296.54,295.01,295.97,1547100.0
2019-12-30,296.05,296.54,293.45,293.85,1511700.0
2019-12-31,293.66,294.09,291.15,293.98,2224200.0
2020-01-02,293.98,295.7,289.79,292.5,2543400.0
2020-01-03,287.27,291.88,284.36,289.54,2711400.0
2020-01-06,288.0,291.66,287.22,291.55,3079100.0
2020-01-07,290.7,291.49,287.58,289.79,2492900.0
2020-01-08,291.5,297.38,290.04,295.9,3379200.0
2020-01-09,294.29,297.2,293.72,294.22,2838200.0
2020-01-10,296.07,296.07,292.21,295.13,2477900.0
2020-01-13,294.37,294.45,285.02,285.85,6994900.0
2020-01-14,285.6,288.24,284.25,288.24,6056300.0
2020-01-15,289.02,299.64,289.0,296.41,6081300.0
2020-01-16,298.0,300.99,295.93,300.74,3710300.0
2020-01-17,300.01,300.7,295.88,298.47,4632200.0
2020-01-21,296.89,302.54,296.01,300.53,4962800.0
2020-01-22,301.99,302.13,297.35,300.59,3117600.0
2020-01-23,300.01,300.58,296.65,299.46,3169600.0
2020-01-24,298.34,299.93,291.56,292.81,3678500.0
2020-01-27,288.0,288.08,280.07,284.09,4399400.0
