date,Open,High,Low,Close,Volume
2019-08-20,108.86,109.21,108.01,108.06,605420.0
2019-08-21,108.65,110.04,108.25,108.55,601899.0
2019-08-22,108.74,109.54,108.12,108.24,668174.0
2019-08-23,108.32,109.07,105.775,106.12,951608.0
2019-08-26,107.01,107.38,104.8,105.63,1044008.0
2019-08-27,106.29,106.355,105.15,105.49,1098446.0
2019-08-28,105.06,106.72,104.74,106.07,640033.0
2019-08-29,106.68,107.11,105.46,106.65,608041.0
2019-08-30,107.38,107.38,105.695,105.93,366012.0
2019-09-03,104.91,105.85,103.92,105.19,662078.0
2019-09-04,105.61,106.48,104.13,105.07,485535.0
2019-09-05,106.13,108.55,105.82,108.09,806119.0
2019-09-06,108.54,110.34,108.33,109.55,768634.0
2019-09-09,109.9,111.14,108.5,109.62,709426.0
2019-09-10,108.97,111.53,108.33,111.24,719072.0
2019-09-11,111.24,115.27,111.0,115.19,1226395.0
2019-09-12,117.76,123.24,117.76,119.55,1611775.0
2019-09-13,119.62,119.7,116.8,117.39,1268581.0
2019-09-16,116.51,117.295,115.39,117.21,624982.0
2019-09-17,117.24,118.6,116.22,118.09,754629.0
2019-09-18,118.14,118.16,115.94,117.44,527429.0
2019-09-19,117.25,117.79,115.75,115.96,493123.0
2019-09-20,117.0,117.81,115.85,117.53,1299963.0
2019-09-23,117.43,118.9436,116.725,117.97,504972.0
2019-09-24,118.53,118.65,116.07,117.26,831424.0
2019-09-25,117.27,118.2,116.44,117.82,438353.0
2019-09-26,118.07,118.48,116.66,116.73,512116.0
2019-09-27,117.46,118.21,116.69,118.16,575385.0
2019-09-30,117.9,119.66,117.17,119.09,570586.0
2019-10-01,119.42,119.9,115.6,115.6,831872.0
2019-10-02,114.9,115.405,112.73,112.98,662612.0
2019-10-03,112.98,114.83,111.87,114.79,464948.0
2019-10-04,115.16,115.66,112.63,113.82,574783.0
2019-10-07,113.4,114.24,112.28,112.3,638207.0
2019-10-08,111.66,111.66,107.84,107.95,705943.0
2019-10-09,109.02,110.4,108.15,109.92,392996.0
2019-10-10,109.24,110.01,107.6,108.98,535598.0
2019-10-11,109.93,112.26,109.93,110.82,409101.0
2019-10-14,113.23,114.8458,112.07,112.82,560702.0
2019-10-15,113.33,114.55,113.295,113.52,416118.0
2019-10-16,112.87,114.44,112.0,113.47,302056.0
2019-10-17,113.91,114.95,113.91,114.12,382350.0
2019-10-18,113.75,114.89,113.19,114.62,461942.0
2019-10-21,115.33,118.12,115.33,116.32,780095.0
2019-10-22,116.63,117.08,114.17,114.68,546650.0
2019-10-23,115.24,117.45,115.2273,117.4,593650.0
2019-10-24,128.91,135.46,124.54,126.33,1907407.0
2019-10-25,125.93,125.93,120.17,120.3,987904.0
2019-10-28,120.45,123.07,120.37,122.2,729628.0
2019-10-29,121.75,122.09,120.37,121.44,720719.0
2019-10-30,121.11,122.5,119.9,122.49,624330.0
2019-10-31,121.99,122.8,119.37,120.81,708057.0
2019-11-01,121.63,124.22,121.59,123.3,709874.0
2019-11-04,124.34,126.6,123.805,125.97,938737.0
2019-11-05,125.64,125.97,123.13,123.74,603994.0
2019-11-06,123.49,124.85,122.69,124.42,672484.0
2019-11-07,124.7,125.33,122.945,123.46,589440.0
2019-11-08,123.36,125.33,123.23,124.76,499766.0
2019-11-11,124.0,125.98,123.6,125.36,500778.0
2019-11-12,125.35,125.82,124.16,124.48,407695.0
2019-11-13,124.37,124.91,122.88,124.54,504801.0
2019-11-14,124.57,125.88,123.34,125.0,556834.0
2019-11-15,125.02,129.045,125.0,128.51,1001969.0
2019-11-18,128.38,129.88,127.79,128.88,738510.0
2019-11-19,129.57,129.57,127.88,128.48,589914.0
2019-11-20,128.05,129.34,127.275,129.01,597051.0
2019-11-21,128.97,130.22,127.77,129.97,649363.0
2019-11-22,130.35,132.0,129.41,131.58,691620.0
2019-11-25,131.61,134.8,131.49,133.49,722784.0
2019-11-26,133.0,133.59,132.0,133.28,653720.0
2019-11-27,133.5,134.1,132.73,133.55,501964.0
2019-11-29,133.58,134.35,133.05,133.73,235180.0
2019-12-02,134.42,135.97,133.65,134.53,1147962.0
2019-12-03,133.0,135.84,131.81,135.37,869287.0
2019-12-04,136.0,138.96,133.26,138.54,1014196.0
2019-12-05,138.53,139.28,137.09,139.23,507373.0
2019-12-06,139.95,139.99,138.43,138.51,641959.0
2019-12-09,138.42,139.5,137.61,138.99,588152.0
2019-12-10,139.01,139.39,138.26,139.01,548716.0
2019-12-11,139.03,140.17,138.695,139.22,551307.0
2019-12-12,139.52,142.16,139.06,141.86,812144.0
2019-12-13,141.29,142.9,140.71,141.53,585950.0
2019-12-16,142.12,143.28,141.5,143.26,560274.0
2019-12-17,143.23,143.66,142.12,142.81,689743.0
2019-12-18,142.95,143.55,141.9,142.1,763664.0
2019-12-19,141.94,142.43,140.67,141.86,789556.0
2019-12-20,142.97,143.12,141.89,142.01,1240535.0
2019-12-23,142.22,143.21,141.16,142.8,382866.0
2019-12-24,142.73,142.99,142.0,142.9,124850.0
2019-12-26,143.0,143.13,141.33,141.66,341402.0
2019-12-27,142.1,142.71,141.36,142.24,674575.0
2019-12-30,142.33,142.58,141.21,141.45,321815.0
2019-12-31,141.34,142.24,140.84,142.01,371540.0
2020-01-02,143.5,144.81,142.78,144.81,667617.0
2020-01-03,142.42,145.04,142.375,144.93,682372.0
2020-01-06,144.41,146.42,144.18,146.21,588699.0
2020-01-07,145.69,146.95,145.38,146.23,566247.0
2020-01-08,146.57,147.055,145.91,146.0,609411.0
2020-01-09,146.59,147.1,145.84,146.29,522243.0
2020-01-10,146.93,147.36,146.28,146.62,292955.0
2020-01-13,146.67,147.0,145.67,146.44,688414.0
2020-01-14,146.55,149.26,145.67,148.5,473260.0
2020-01-15,148.76,149.21,146.96,147.7,414070.0
2020-01-16,148.45,149.0,147.39,148.75,303323.0
2020-01-17,148.93,149.15,148.33,149.0,524028.0
2020-01-21,148.7,149.16,147.66,148.07,669925.0
2020-01-22,148.73,150.06,148.07,149.57,781241.0
2020-01-23,148.97,149.605,147.66,149.41,618511.0
2020-01-24,149.85,149.85,147.28,148.29,1038992.0
2020-01-27,145.78,146.22,143.45,145.55,663572.0
2020-01-28,146.84,149.035,146.035,147.21,843357.0
2020-01-29,147.63,149.47,147.26,147.34,755034.0
2020-01-30,141.19,143.56,139.43,142.91,1521804.0
2020-01-31,142.2,142.945,140.0,140.57,782253.0
2020-02-03,141.9,143.16,139.68,140.22,642914.0
2020-02-04,142.41,143.05,141.19,141.43,484344.0
2020-02-05,142.18,143.51,141.335,141.51,379511.0
2020-02-06,141.73,142.75,140.87,142.46,597021.0
2020-02-07,142.07,142.07,140.33,140.81,439610.0
2020-02-10,140.45,142.37,139.97,142.2,454535.0
2020-02-11,142.88,145.585,142.88,145.45,565808.0
2020-02-12,145.45,147.68,145.25,147.38,608977.0
2020-02-13,147.19,148.17,146.56,146.91,481912.0
2020-02-14,147.18,147.2,145.82,146.92,452364.0
2020-02-18,146.8,146.96,145.46,145.9,481659.0
2020-02-19,146.45,147.89,146.45,146.6,367472.0
2020-02-20,146.54,146.895,143.54,145.07,336244.0
2020-02-21,144.82,144.82,142.27,143.44,427753.0
