date,Open,High,Low,Close,Volume
2019-08-20,187.04,188.44,182.9042,183.72,1001309.0
2019-08-21,185.86,187.3,184.6,186.4,575530.0
2019-08-22,186.76,187.62,181.48,184.24,1026856.0
2019-08-23,184.36,186.78,179.24,180.18,1198694.0
2019-08-26,180.82,182.38,179.56,180.64,829517.0
2019-08-27,181.99,182.92,177.27,178.25,940100.0
2019-08-28,177.47,180.71,170.54,178.34,1668853.0
2019-08-29,179.3,180.5,178.14,178.98,680331.0
2019-08-30,180.26,181.2,178.76,180.02,892907.0
2019-09-03,180.55,181.57,177.575,178.7,1030148.0
2019-09-04,179.73,179.75,173.56,176.83,1003373.0
2019-09-05,178.18,180.05,177.02,179.86,868710.0
2019-09-06,180.35,182.15,179.33,181.33,979384.0
2019-09-09,181.09,181.28,174.45,174.81,1176986.0
2019-09-10,174.03,174.14,166.645,171.01,1849418.0
2019-09-11,171.19,173.61,170.9,173.11,1190846.0
2019-09-12,174.39,175.45,172.0,172.45,874480.0
2019-09-13,173.16,175.79,172.45,174.94,1216300.0
2019-09-16,173.89,178.09,173.13,177.55,959003.0
2019-09-17,173.02,177.82,173.02,176.0,1165874.0
2019-09-18,176.01,176.495,171.96,174.52,1186280.0
2019-09-19,174.48,176.7,173.6,176.14,784800.0
2019-09-20,177.01,179.55,175.58,178.12,1773984.0
2019-09-23,178.23,179.005,175.77,175.88,825027.0
2019-09-24,176.32,177.78,171.03,172.52,778452.0
2019-09-25,172.31,173.49,170.56,171.5,956069.0
2019-09-26,172.05,172.05,167.43,169.55,1602849.0
2019-09-27,170.29,170.54,165.53,166.74,1206331.0
2019-09-30,169.55,171.29,167.61,169.42,1470435.0
2019-10-01,169.24,170.1058,166.52,167.58,954636.0
2019-10-02,167.69,168.52,165.23,166.71,1499329.0
2019-10-03,166.06,170.64,166.06,170.5,1143281.0
2019-10-04,170.89,172.92,170.52,172.42,879764.0
2019-10-07,171.55,172.76,169.27,172.05,934991.0
2019-10-08,170.47,171.89,167.6,169.55,1016379.0
2019-10-09,170.87,171.99,168.55,168.73,797283.0
2019-10-10,168.42,170.37,167.615,170.22,800403.0
2019-10-11,171.44,174.72,171.13,172.41,869933.0
2019-10-14,172.32,175.25,172.32,173.59,579631.0
2019-10-15,174.36,176.98,174.0221,176.14,762591.0
2019-10-16,175.32,177.2,173.6198,176.09,814891.0
2019-10-17,177.8,180.05,177.5,177.72,1172127.0
2019-10-18,180.25,180.25,175.38,176.23,1048599.0
2019-10-21,177.23,184.81,174.82,183.53,1088594.0
2019-10-22,186.91,194.75,186.19,191.06,4442480.0
2019-10-23,190.37,192.54,186.41,190.51,1555191.0
2019-10-24,191.7,194.9,189.35,194.47,1893295.0
2019-10-25,193.13,195.94,192.55,194.49,1199278.0
2019-10-28,194.56,195.02,192.32,194.02,1275770.0
2019-10-29,194.43,198.4555,193.26,197.89,1695040.0
2019-10-30,198.11,199.455,196.64,199.28,1195679.0
2019-10-31,197.06,200.0,194.2,195.48,2273379.0
2019-11-01,196.24,202.94,195.015,200.94,3010626.0
2019-11-04,202.13,202.25,197.8,199.42,1293317.0
2019-11-05,199.0,199.95,196.46,197.14,1324232.0
2019-11-06,198.23,198.49,195.7,195.97,1123979.0
2019-11-07,196.4,197.16,195.11,195.83,1018631.0
2019-11-08,197.08,202.1107,196.71,201.31,1220080.0
2019-11-11,200.98,202.21,199.29,201.9,825165.0
2019-11-12,202.14,204.84,201.84,203.86,939805.0
2019-11-13,205.0,207.64,203.75,207.1,1101055.0
2019-11-14,206.84,207.5,203.24,205.0,995539.0
2019-11-15,205.95,210.05,205.01,209.8,1581467.0
2019-11-18,209.87,210.08,207.683,210.0,1533611.0
2019-11-19,212.97,215.455,209.41,215.0,1706178.0
2019-11-20,214.78,217.08,212.85,215.07,2487280.0
2019-11-21,214.34,215.64,212.8032,215.5,1241326.0
2019-11-22,216.93,218.6,215.1,218.0,1318934.0
2019-11-25,219.37,223.61,219.0,223.27,1491538.0
2019-11-26,223.66,223.73,218.23,219.05,1875480.0
2019-11-27,219.1,220.99,218.07,220.06,833110.0
2019-11-29,220.39,222.42,220.03,221.75,537133.0
2019-12-02,222.96,223.41,218.41,220.79,1093457.0
2019-12-03,219.61,222.75,218.39,221.13,957058.0
2019-12-04,222.0,224.08,221.07,223.91,937011.0
2019-12-05,223.77,224.31,221.3458,223.07,767150.0
2019-12-06,224.17,224.66,220.36,223.25,1021307.0
2019-12-09,222.99,225.66,219.19,219.37,1803503.0
2019-12-10,219.42,221.87,218.5,220.27,1256553.0
2019-12-11,221.91,224.27,219.58,220.0,958908.0
2019-12-12,219.71,222.55,219.1677,220.55,1094791.0
2019-12-13,220.19,221.62,217.83,218.98,1484056.0
2019-12-16,220.5,221.86,219.33,219.5,1919376.0
2019-12-17,219.72,219.73,216.01,217.62,1452464.0
2019-12-18,217.83,219.92,217.49,219.35,1759361.0
2019-12-19,220.14,220.675,216.975,217.78,1910172.0
2019-12-20,219.62,221.02,217.0,220.69,2824107.0
2019-12-23,220.95,222.87,219.68,219.98,1132805.0
2019-12-24,220.46,220.64,218.505,220.56,300516.0
2019-12-26,220.6,220.9,218.38,220.25,697040.0
2019-12-27,220.59,221.484,218.12,220.97,904599.0
2019-12-30,220.38,221.9454,217.33,218.97,774326.0
2019-12-31,218.6,219.81,216.7,218.95,1036437.0
2020-01-02,220.24,220.6541,216.95,219.45,1303850.0
2020-01-03,216.16,219.8865,214.55,217.98,943577.0
2020-01-06,217.73,224.35,216.91,224.03,1436623.0
2020-01-07,224.26,225.92,222.14,223.79,1028630.0
2020-01-08,225.89,232.7,224.91,231.09,1802743.0
2020-01-09,233.08,233.255,227.27,230.26,1435381.0
2020-01-10,231.69,231.69,228.07,228.95,1017426.0
2020-01-13,229.38,230.0,224.56,226.49,1009686.0
2020-01-14,226.44,229.8,225.53,229.75,1042036.0
2020-01-15,229.88,234.33,228.78,234.15,1741525.0
2020-01-16,234.27,235.78,233.27,235.5,2124025.0
2020-01-17,236.51,236.51,232.82,235.83,1599342.0
2020-01-21,235.84,237.2,233.13,233.99,1348894.0
2020-01-22,234.94,237.47,234.4,234.61,1133969.0
2020-01-23,235.0,235.63,231.38,233.91,977959.0
2020-01-24,234.07,235.18,228.415,229.06,904271.0
2020-01-27,226.51,228.79,226.07,227.37,802283.0
2020-01-28,228.53,232.295,227.57,231.97,861813.0
2020-01-29,231.72,233.5929,230.57,232.41,893569.0
2020-01-30,230.84,231.7499,228.6795,230.31,1169453.0
2020-01-31,238.65,239.4,223.01,227.05,3373655.0
2020-02-03,230.76,233.7789,225.01,230.51,1988059.0
2020-02-04,233.35,241.23,233.29,239.66,1485889.0
2020-02-05,241.61,244.41,240.0,240.76,1951742.0
2020-02-06,242.13,244.65,238.01,239.12,1320423.0
2020-02-07,237.66,240.344,234.1,240.06,1443319.0
2020-02-10,239.22,244.89,237.0001,244.75,1273055.0
2020-02-11,245.0,249.0,242.775,247.81,2280049.0
2020-02-12,247.61,248.795,240.7,242.21,1805742.0
2020-02-13,241.41,245.385,239.73,240.09,1329205.0
2020-02-14,241.24,244.45,238.55,243.82,1354016.0
2020-02-18,244.92,246.0,241.09,245.93,1305401.0
2020-02-19,249.84,249.85,245.24,247.78,947716.0
2020-02-20,247.29,247.7,242.585,245.1,1524832.0
2020-02-21,247.3,247.5,243.27,246.29,1365436.0
2020-02-24,241.44,242.76,235.7,237.01,1659510.0
2020-02-25,238.18,239.99,228.5,230.0,1581236.0
2020-02-26,232.41,237.37,229.49,232.04,1578570.0
2020-02-27,228.48,231.63,218.01,223.3,1972989.0
2020-02-28,215.57,224.54,215.5,224.03,2491476.0
2020-03-02,224.43,232.98,223.14,232.29,2406547.0
2020-03-03,230.27,237.55,226.67,228.26,2093182.0
2020-03-04,232.29,246.06,230.9,245.32,1971889.0
2020-03-05,239.24,242.18,235.285,237.31,1518316.0
2020-03-06,227.65,234.48,226.6138,233.5,1872612.0
2020-03-09,218.07,227.61,214.08,219.65,2034532.0
2020-03-10,226.21,231.41,216.47,230.51,2024555.0
2020-03-11,225.63,230.83,218.7,220.34,1733873.0
2020-03-12,206.59,215.36,201.5,204.06,3758168.0
2020-03-13,218.23,221.47,200.76,220.86,3813367.0
2020-03-16,201.6,219.0,199.16,199.77,2521430.0
2020-03-17,203.97,230.0649,202.5,210.44,4447501.0
2020-03-18,200.6,224.99,197.47,212.98,3405655.0
2020-03-19,215.15,223.9313,202.01,215.69,3118569.0
2020-03-20,217.7,227.425,204.16,206.0,2764731.0
2020-03-23,209.0159,218.1,199.52,202.21,2801959.0
2020-03-24,207.84,224.98,207.84,223.13,2830846.0
2020-03-25,219.88,224.0,209.51,210.09,2066918.0
2020-03-26,209.8,225.62,209.43,224.49,1752736.0
2020-03-27,219.43,224.18,215.5688,217.24,1712723.0
2020-03-30,221.34,233.77,220.0,231.92,2138951.0
2020-03-31,228.95,240.0,228.02,237.95,3300687.0
2020-04-01,232.12,234.98,223.45,225.48,1482254.0
2020-04-02,222.77,242.96,222.39,242.16,2503957.0
2020-04-03,241.38,247.45,234.35,238.31,1989809.0
2020-04-06,248.61,256.65,241.94,255.3,3046253.0
2020-04-07,263.15,267.45,245.38,247.67,3551363.0
2020-04-08,249.43,251.68,240.5,249.66,2737502.0
2020-04-09,251.9969,251.9969,243.0,246.61,2491827.0
2020-04-13,244.66,253.83,243.805,252.28,1831345.0
2020-04-14,257.44,265.66,253.51,262.41,2180477.0
2020-04-15,260.9,262.82,254.31,255.23,2686489.0
2020-04-16,259.67,265.28,258.609,264.76,2172764.0
2020-04-17,272.34,272.67,265.15,270.46,2166774.0
2020-04-20,271.97,276.2599,269.05,273.26,1967867.0
2020-04-21,273.0,277.22,262.55,262.8,1602834.0
2020-04-22,267.15,271.2532,264.0027,269.37,1546047.0
2020-04-23,270.03,277.7999,266.92,267.91,2770594.0
2020-04-24,270.12,271.345,266.43,269.86,1805896.0
2020-04-27,275.0,275.26,267.16,268.51,2181623.0
