date,Open,High,Low,Close,Volume
2019-08-20,73.73,73.75,72.5,72.52,1466810.0
2019-08-21,72.47,72.93,71.68,72.67,1100786.0
2019-08-22,72.59,72.88,72.13,72.66,1064114.0
2019-08-23,72.7,73.4,71.66,71.99,1502704.0
2019-08-26,72.37,73.01,71.75,72.93,1960000.0
2019-08-27,73.3,73.9,72.74,72.8,1794641.0
2019-08-28,72.87,73.11,72.4,72.82,1288609.0
2019-08-29,73.08,73.66,72.72,73.62,1460769.0
2019-08-30,73.73,73.89,73.2,73.39,1073894.0
2019-09-03,73.17,74.73,73.01,74.61,1594250.0
2019-09-04,75.0,75.4,74.74,75.02,1324888.0
2019-09-05,74.57,74.78,73.34,74.62,2018528.0
2019-09-06,74.63,75.29,74.47,75.23,1428436.0
2019-09-09,74.78,75.16,73.52,73.93,1342460.0
2019-09-10,73.25,73.47,71.38,71.96,2697702.0
2019-09-11,71.58,72.33,70.82,71.46,3305584.0
2019-09-12,72.18,72.88,71.12,71.17,2892453.0
2019-09-13,70.88,71.59,69.69,69.98,3402200.0
2019-09-16,70.0,71.0,69.92,70.86,2286068.0
2019-09-17,71.45,73.0,71.45,72.98,1674753.0
2019-09-18,73.41,73.41,71.75,72.51,1463800.0
2019-09-19,72.73,72.89,72.16,72.27,1390723.0
2019-09-20,72.48,72.63,71.92,72.21,4735892.0
2019-09-23,72.14,73.0,72.14,72.63,1677618.0
2019-09-24,72.89,73.13,71.92,72.46,1628685.0
2019-09-25,72.52,73.08,72.27,72.84,1115670.0
2019-09-26,73.14,74.12,73.03,73.73,997186.0
2019-09-27,73.83,73.95,72.99,73.65,1174784.0
2019-09-30,73.03,73.6,72.81,73.03,1479912.0
2019-10-01,72.84,72.97,72.14,72.56,1218116.0
2019-10-02,72.67,73.13,72.45,72.91,1762007.0
2019-10-03,72.98,74.71,72.9,74.05,1644362.0
2019-10-04,74.26,74.64,73.95,74.56,1458613.0
2019-10-07,74.08,74.58,73.48,73.68,1874436.0
2019-10-08,74.0,74.11,73.11,73.15,2182219.0
2019-10-09,73.46,73.9,73.19,73.7,1401330.0
2019-10-10,73.57,73.82,72.87,73.13,1458009.0
2019-10-11,73.25,73.39,72.01,72.13,1828759.0
2019-10-14,72.25,72.69,71.8,72.65,1507300.0
2019-10-15,72.7,72.89,71.52,72.24,1795599.0
2019-10-16,72.23,72.23,71.19,71.8,1510476.0
2019-10-17,71.83,72.11,71.55,71.94,1294461.0
2019-10-18,71.94,73.1,71.84,72.86,1534250.0
2019-10-21,72.57,72.91,71.97,72.69,1539380.0
2019-10-22,73.05,73.36,71.88,71.99,1596924.0
2019-10-23,72.1,73.2,71.91,73.18,1653943.0
2019-10-24,73.03,73.27,72.2,72.47,1229467.0
2019-10-25,70.27,70.53,65.51,66.0,6621756.0
2019-10-28,64.05,65.26,62.97,64.64,7252262.0
2019-10-29,64.75,65.49,63.74,63.92,4379890.0
2019-10-30,63.48,64.91,63.4,64.9,2356927.0
