date,Open,High,Low,Close,Volume
2019-08-20,68.22,69.01,67.6,68.0,2450435.0
2019-08-21,69.0,69.57,68.61,68.81,1786033.0
2019-08-22,69.07,69.24,68.1,68.26,975884.0
2019-08-23,67.65,67.65,65.18,66.05,2554700.0
2019-08-26,66.67,66.89,65.31,66.02,1166693.0
2019-08-27,66.46,66.77,65.47,65.94,1178198.0
2019-08-28,65.64,66.65,65.1,66.23,832455.0
2019-08-29,66.79,67.75,66.59,67.55,1396320.0
2019-08-30,68.31,69.54,68.16,69.21,1020006.0
2019-09-03,68.16,68.16,65.66,65.81,1735886.0
2019-09-04,66.66,66.97,66.01,66.3,903603.0
2019-09-05,67.23,68.7,66.87,67.99,1706503.0
2019-09-06,68.19,68.87,67.42,68.27,876702.0
2019-09-09,68.82,71.52,68.79,70.38,1996384.0
2019-09-10,70.32,72.25,69.92,72.25,1804414.0
2019-09-11,72.88,74.49,71.54,74.46,1822802.0
2019-09-12,74.31,74.85,72.53,74.8,1090697.0
2019-09-13,75.0,76.23,74.85,75.18,1255474.0
2019-09-16,75.75,76.48,75.27,76.19,1672780.0
2019-09-17,75.69,76.12,74.5,75.73,889741.0
2019-09-18,75.2,75.59,73.88,74.65,971256.0
2019-09-19,74.85,75.26,73.61,73.76,813753.0
2019-09-20,73.76,74.45,73.21,74.03,2092924.0
2019-09-23,73.35,74.61,73.18,73.85,1326889.0
2019-09-24,73.92,74.05,71.61,72.12,840965.0
2019-09-25,71.84,73.33,71.43,73.0,1752375.0
2019-09-26,73.03,73.49,71.54,71.93,816739.0
2019-09-27,72.24,72.9,71.83,72.0,810694.0
2019-09-30,72.55,72.7,71.5,71.86,816141.0
2019-10-01,72.22,72.38,67.95,68.38,1898914.0
2019-10-02,67.61,68.0,65.88,66.08,1879839.0
2019-10-03,65.94,66.09,63.49,66.08,1534728.0
2019-10-04,65.89,66.19,64.5,65.49,1006702.0
2019-10-07,65.27,65.81,64.5,65.03,838765.0
2019-10-08,64.46,64.55,63.44,63.67,1213562.0
2019-10-09,64.46,64.62,63.07,63.59,987063.0
2019-10-10,63.71,65.63,63.62,64.96,917842.0
2019-10-11,65.55,67.66,65.55,66.61,1262210.0
2019-10-14,66.16,66.92,65.3,66.66,917150.0
2019-10-15,66.69,67.97,66.6,67.78,1513321.0
2019-10-16,67.45,68.64,67.06,68.17,1490935.0
2019-10-17,68.65,70.17,67.9,69.68,1591167.0
2019-10-18,69.6,70.47,68.75,69.42,1023904.0
2019-10-21,70.24,70.67,68.84,69.27,1174772.0
2019-10-22,69.14,70.82,68.46,70.54,1233324.0
2019-10-23,70.34,71.29,70.1,70.52,1114343.0
2019-10-24,70.42,70.71,69.28,69.75,714655.0
2019-10-25,69.45,71.03,69.45,70.5,874114.0
2019-10-28,70.94,71.47,69.92,70.0,1517178.0
2019-10-29,69.7,70.38,69.47,69.99,1478206.0
2019-10-30,69.99,69.99,67.76,68.3,1539567.0
2019-10-31,72.14,73.5,67.09,69.37,2653195.0
2019-11-01,69.81,74.71,69.58,74.69,1879195.0
2019-11-04,75.23,77.39,74.3,77.37,2257780.0
2019-11-05,77.25,78.25,77.13,77.67,1625740.0
2019-11-06,77.64,78.27,76.35,77.92,1036343.0
2019-11-07,78.39,79.28,77.85,78.6,1865196.0
2019-11-08,78.6,79.18,77.84,78.85,1042624.0
2019-11-11,78.0,78.94,77.44,78.59,1348037.0
2019-11-12,78.24,79.25,78.08,78.44,814485.0
2019-11-13,77.87,78.73,77.55,78.41,941520.0
2019-11-14,78.18,78.6,77.83,78.54,714382.0
2019-11-15,79.29,80.15,78.9,79.81,800698.0
2019-11-18,79.6,79.78,78.6,78.87,882947.0
2019-11-19,79.1,79.52,78.38,79.17,701480.0
2019-11-20,79.06,79.35,78.11,78.96,1029094.0
2019-11-21,79.46,80.29,78.68,79.39,1012653.0
2019-11-22,79.78,80.06,79.05,79.84,651351.0
2019-11-25,80.15,81.7,79.83,80.97,1267777.0
2019-11-26,80.99,81.75,80.04,80.11,990412.0
2019-11-27,80.19,80.31,78.74,79.09,770755.0
2019-11-29,78.85,79.09,77.53,78.57,605231.0
2019-12-02,78.79,80.32,77.55,77.59,1005488.0
2019-12-03,76.5,76.6,75.07,76.39,1302252.0
2019-12-04,76.77,77.91,76.42,76.48,888637.0
2019-12-05,76.73,77.0,76.15,76.5,1020030.0
2019-12-06,77.5,78.0,76.98,77.23,1187756.0
2019-12-09,77.0,77.6,74.82,75.01,3460330.0
2019-12-10,75.07,75.24,74.23,74.48,2466300.0
2019-12-11,75.06,76.04,74.65,74.9,2891006.0
2019-12-12,75.15,76.4,74.45,75.14,4242864.0
2019-12-13,75.49,77.04,74.68,75.16,1380173.0
2019-12-16,76.09,76.23,74.5,74.76,1800144.0
2019-12-17,74.97,74.97,73.89,74.42,1387933.0
2019-12-18,74.31,74.91,74.0,74.77,1829106.0
2019-12-19,74.78,76.47,74.46,76.1,1145076.0
2019-12-20,75.57,76.68,75.21,76.41,1775497.0
2019-12-23,76.61,78.07,76.49,77.86,935115.0
2019-12-24,77.72,78.29,77.41,77.63,432462.0
2019-12-26,78.08,78.56,77.87,78.18,673882.0
2019-12-27,78.19,78.93,78.16,78.55,914165.0
2019-12-30,78.6,78.92,77.46,77.6,970426.0
2019-12-31,77.5,78.35,77.5,77.8,1145759.0
2020-01-02,78.58,80.96,78.2,80.95,1717819.0
2020-01-03,79.71,80.58,79.33,80.33,968740.0
2020-01-06,79.5,80.28,79.26,80.0,1233526.0
2020-01-07,79.99,80.8,79.76,79.97,1080470.0
2020-01-08,80.09,80.32,78.4,78.6,1536038.0
2020-01-09,79.65,79.65,78.18,78.46,841443.0
2020-01-10,78.82,78.83,77.44,77.69,808136.0
2020-01-13,77.99,78.71,77.52,78.44,974131.0
2020-01-14,78.36,79.15,77.88,78.53,805463.0
2020-01-15,78.42,78.9,78.11,78.41,952750.0
2020-01-16,78.54,79.85,78.12,79.84,938232.0
2020-01-17,79.93,80.44,79.58,80.15,1644854.0
2020-01-21,79.71,79.87,78.2,79.12,1264450.0
2020-01-22,79.22,79.43,78.44,79.11,1039853.0
2020-01-23,78.84,80.18,77.89,79.98,1158219.0
2020-01-24,80.21,80.24,78.73,79.04,757220.0
2020-01-27,77.19,77.25,75.96,76.11,831776.0
2020-01-28,76.49,77.54,76.07,77.2,533748.0
2020-01-29,77.74,77.96,77.21,77.3,530011.0
2020-01-30,76.63,77.27,75.74,77.0,890034.0
2020-01-31,76.3,76.52,73.38,73.86,1402971.0
2020-02-03,74.31,76.41,73.86,76.04,953563.0
2020-02-04,77.33,79.34,77.15,79.08,1011280.0
2020-02-05,80.3,81.08,79.67,81.0,1545181.0
2020-02-06,81.5,81.5,80.12,80.17,678985.0
2020-02-07,79.3,79.31,77.35,77.43,1140999.0
2020-02-10,77.18,77.93,76.83,77.56,953752.0
2020-02-11,78.0,79.23,77.52,77.62,1404212.0
2020-02-12,78.58,79.99,78.2,78.78,843190.0
2020-02-13,78.11,78.82,76.83,77.49,1597772.0
2020-02-14,77.57,77.8,76.78,77.05,1088779.0
