date,Open,High,Low,Close,Volume
2019-08-20,91.58,92.09,91.02,91.81,1366589.0
2019-08-21,91.44,92.78,91.44,92.74,1396291.0
2019-08-22,92.72,93.29,92.18,93.14,1477300.0
2019-08-23,93.43,93.96,92.26,92.59,3026029.0
2019-08-26,92.93,94.27,92.61,94.26,1928379.0
2019-08-27,94.52,96.46,94.44,95.31,2767300.0
2019-08-28,95.53,96.38,94.72,95.11,1954247.0
2019-08-29,95.7,95.97,94.78,95.93,1906412.0
2019-08-30,96.14,96.24,95.54,95.77,1298068.0
2019-09-03,95.93,97.75,95.63,97.73,2279073.0
2019-09-04,97.3,98.19,96.94,97.65,1563630.0
2019-09-05,96.96,97.33,94.48,95.33,3621615.0
2019-09-06,95.24,95.59,91.5,93.13,4625305.0
2019-09-09,92.6,92.6,90.44,90.47,3562610.0
2019-09-10,90.47,90.52,89.02,90.3,2264880.0
2019-09-11,90.04,91.8,89.31,91.27,2296147.0
2019-09-12,92.05,92.57,91.23,91.55,1481623.0
2019-09-13,91.01,91.9,90.64,91.16,1125337.0
2019-09-16,91.26,91.48,90.65,91.31,1210151.0
2019-09-17,91.71,92.95,91.71,92.8,1663183.0
2019-09-18,93.23,93.71,92.2,93.15,1458712.0
2019-09-19,93.29,93.64,92.65,93.48,964189.0
2019-09-20,93.57,94.1,93.16,93.7,2501961.0
2019-09-23,94.06,94.36,93.56,93.96,1350127.0
2019-09-24,94.34,95.65,94.04,95.0,2069467.0
2019-09-25,95.1,95.38,94.41,95.35,1370711.0
2019-09-26,95.76,96.6,95.4,95.9,1251400.0
2019-09-27,96.08,96.1,94.28,94.87,1524908.0
2019-09-30,95.21,95.59,94.69,95.1,1271076.0
2019-10-01,94.89,95.25,94.14,95.19,1252681.0
2019-10-02,95.0,95.28,93.98,94.31,1477361.0
2019-10-03,94.62,94.93,94.2,94.81,1730209.0
2019-10-04,95.0,96.29,94.93,96.08,1544197.0
2019-10-07,96.13,96.13,94.73,95.22,1520494.0
2019-10-08,95.18,95.33,94.15,94.17,1459125.0
2019-10-09,94.47,95.26,94.36,94.89,1191727.0
2019-10-10,94.63,95.22,93.69,95.15,1097980.0
2019-10-11,94.74,95.17,93.1,93.81,1630571.0
2019-10-14,94.05,94.1,92.5,92.72,1252139.0
2019-10-15,92.95,93.41,92.0,92.17,1480892.0
2019-10-16,92.26,92.84,91.51,92.76,1301551.0
2019-10-17,92.74,93.32,92.11,92.9,921069.0
2019-10-18,92.76,93.12,92.23,92.96,1536354.0
2019-10-21,93.23,93.46,92.4,93.27,756208.0
2019-10-22,93.45,93.94,93.11,93.29,1114722.0
2019-10-23,93.45,94.18,92.9,93.15,1087084.0
2019-10-24,93.21,94.15,92.82,94.01,1117032.0
2019-10-25,94.22,94.41,93.23,93.79,1535582.0
2019-10-28,93.29,93.6,91.95,92.53,1592209.0
2019-10-29,92.31,92.68,92.02,92.44,1441238.0
2019-10-30,92.81,94.14,92.76,93.79,1183703.0
2019-10-31,93.96,94.99,93.47,94.4,1423396.0
2019-11-01,94.49,94.73,93.11,93.53,1189207.0
2019-11-04,93.42,93.42,91.13,91.64,1977008.0
2019-11-05,91.32,91.81,90.72,91.0,2177756.0
2019-11-06,91.09,92.27,90.01,91.21,2168884.0
2019-11-07,90.11,90.58,88.41,88.87,2091398.0
2019-11-08,88.77,89.08,87.53,87.83,2310508.0
2019-11-11,87.83,88.14,87.07,87.14,1103835.0
2019-11-12,87.49,87.58,86.72,87.18,1594093.0
2019-11-13,86.74,88.08,86.5,87.82,1548772.0
2019-11-14,87.92,88.27,87.41,88.12,1028858.0
2019-11-15,88.19,88.19,87.53,88.07,1068771.0
2019-11-18,88.35,89.18,87.75,87.95,1235860.0
2019-11-19,87.71,88.91,87.05,88.13,1179015.0
2019-11-20,88.1,88.91,87.95,88.2,1372067.0
2019-11-21,88.11,88.87,87.64,88.33,1252119.0
2019-11-22,88.36,88.84,87.47,88.53,1634973.0
2019-11-25,88.63,88.82,87.82,88.1,1220435.0
2019-11-26,88.14,89.14,87.97,89.03,2476217.0
2019-11-27,88.91,89.6,88.68,89.11,1706026.0
2019-11-29,89.3,89.87,88.6,88.65,679568.0
2019-12-02,88.27,88.35,87.41,87.57,1800689.0
2019-12-03,88.22,88.57,87.7,88.27,1123736.0
2019-12-04,87.86,89.24,87.81,89.09,1418943.0
2019-12-05,88.91,89.6,88.71,89.45,1345092.0
2019-12-06,89.13,89.66,88.86,89.07,1219598.0
2019-12-09,89.1,89.21,88.63,88.77,804856.0
2019-12-10,88.8,89.53,88.8,89.19,1197171.0
2019-12-11,89.15,89.6,88.89,89.53,1020548.0
2019-12-12,89.13,89.53,88.55,88.78,1227363.0
2019-12-13,88.66,89.41,88.11,89.18,918928.0
2019-12-16,89.43,90.64,89.13,90.63,2223588.0
2019-12-17,90.32,91.56,90.22,91.09,1482726.0
2019-12-18,91.33,91.7,90.61,91.66,1379313.0
2019-12-19,91.76,92.35,91.22,92.18,1879032.0
2019-12-20,92.31,93.43,91.95,92.85,2765109.0
2019-12-23,92.93,92.94,91.15,91.48,1301948.0
2019-12-24,91.31,91.8,91.14,91.62,364580.0
2019-12-26,91.7,91.99,91.14,91.75,821872.0
2019-12-27,91.76,92.33,91.68,92.31,958994.0
2019-12-30,92.14,92.32,91.67,92.17,1042338.0
2019-12-31,92.35,92.86,91.8,92.23,1387841.0
2020-01-02,92.4,92.52,90.46,90.67,1547068.0
2020-01-03,90.65,91.71,90.52,91.24,1859426.0
2020-01-06,91.34,91.8,90.8,91.31,1418080.0
2020-01-07,90.89,91.07,90.34,90.96,1078229.0
2020-01-08,91.21,91.39,90.51,91.08,1323669.0
2020-01-09,90.98,92.06,90.85,91.99,1036677.0
2020-01-10,92.2,92.63,92.11,92.54,1220272.0
2020-01-13,92.61,93.77,92.61,93.65,1691218.0
2020-01-14,93.67,93.97,93.1,93.95,1542458.0
2020-01-15,94.23,95.49,94.23,95.16,1361955.0
2020-01-16,95.36,96.22,94.99,96.17,1595295.0
2020-01-17,96.14,96.8,95.63,96.42,2038806.0
2020-01-21,96.54,97.74,96.31,97.67,1531507.0
2020-01-22,98.01,98.41,97.72,98.23,1181550.0
2020-01-23,98.33,98.92,98.06,98.7,1740200.0
2020-01-24,98.69,99.7,98.6,98.96,1179261.0
2020-01-27,98.95,99.69,98.26,98.5,1393436.0
2020-01-28,98.63,98.82,97.81,98.5,2211835.0
2020-01-29,98.52,98.89,97.68,98.69,1591413.0
2020-01-30,99.18,100.87,98.63,100.61,1817083.0
2020-01-31,100.5,101.37,99.54,99.89,2253625.0
2020-02-03,100.2,100.94,100.17,100.89,1685796.0
2020-02-04,100.45,100.79,99.61,99.64,1510146.0
2020-02-05,99.49,100.06,98.91,100.01,1166028.0
2020-02-06,99.94,100.24,99.48,99.9,962787.0
2020-02-07,100.23,100.54,99.69,99.75,787574.0
2020-02-10,99.97,100.17,99.52,100.14,832690.0
2020-02-11,100.39,100.64,100.09,100.19,872903.0
2020-02-12,99.69,100.93,99.38,100.75,1711952.0
2020-02-13,100.27,101.36,99.9,101.21,1040108.0
2020-02-14,101.58,102.11,101.35,101.87,1707492.0
2020-02-18,102.37,103.1,101.99,102.88,1177948.0
2020-02-19,102.86,103.25,102.4,102.41,1313238.0
2020-02-20,102.38,102.55,101.66,102.39,1218022.0
2020-02-21,102.38,103.28,102.25,102.5,1491072.0
2020-02-24,102.37,102.85,101.42,101.82,1867354.0
2020-02-25,101.99,102.43,100.21,100.41,1806298.0
2020-02-26,100.5,101.64,100.26,100.29,1830547.0
2020-02-27,100.1,101.28,95.49,95.56,2306447.0
2020-02-28,94.0,94.0,90.16,92.33,3200692.0
2020-03-02,92.89,97.72,92.73,97.69,2817603.0
2020-03-03,97.71,100.14,97.17,97.58,2509020.0
2020-03-04,98.74,104.55,98.74,104.21,1817180.0
2020-03-05,102.37,105.26,102.07,104.11,1842625.0
2020-03-06,101.67,105.43,100.55,104.72,2667841.0
2020-03-09,97.81,104.28,97.81,102.37,3482667.0
2020-03-10,102.93,105.64,98.24,102.05,3115220.0
2020-03-11,99.98,101.35,96.34,97.45,2669287.0
2020-03-12,91.49,98.12,78.93,91.64,2999544.0
2020-03-13,95.26,99.55,92.24,99.42,3546711.0
2020-03-16,91.49,101.37,90.0,92.68,4106583.0
2020-03-17,95.25,109.53,94.7,102.46,5748636.0
2020-03-18,98.47,107.4,92.03,104.53,4332000.0
2020-03-19,103.76,104.99,90.01,90.41,2983270.0
2020-03-20,90.57,90.57,72.08,74.09,4691720.0
2020-03-23,73.27,76.44,68.01,70.89,3849671.0
2020-03-24,72.27,80.68,70.29,80.21,3017337.0
2020-03-25,79.64,84.0,77.3,80.74,2327029.0
2020-03-26,81.04,88.25,80.36,86.77,2138478.0
2020-03-27,84.33,92.73,83.21,89.07,1826733.0
2020-03-30,90.61,92.6,89.16,91.89,2111508.0
2020-03-31,90.36,91.21,86.91,88.13,3970443.0
2020-04-01,84.96,86.9,80.56,83.52,2221486.0
2020-04-02,81.43,88.62,80.58,88.01,1885445.0
2020-04-03,86.32,87.77,85.01,85.25,2088003.0
2020-04-06,87.68,92.37,87.16,91.28,2117497.0
2020-04-07,93.12,93.61,87.16,87.76,1795633.0
2020-04-08,88.36,92.88,87.52,92.2,1630099.0
2020-04-09,92.9,98.78,92.61,98.22,2229597.0
2020-04-13,96.8,97.97,93.91,95.02,1132359.0
2020-04-14,97.14,99.42,95.61,99.33,1703711.0
2020-04-15,98.02,98.74,96.0,96.89,1979424.0
2020-04-16,97.61,99.6,96.55,98.96,1531373.0
2020-04-17,100.26,101.0,97.23,100.34,1431993.0
2020-04-20,99.6,100.17,95.8,95.88,1476949.0
2020-04-21,94.14,96.46,93.62,95.14,1782799.0
2020-04-22,96.62,97.96,96.18,96.4,1444763.0
2020-04-23,96.06,97.54,94.07,94.39,1462664.0
2020-04-24,94.59,94.71,92.27,93.77,1870548.0
2020-04-27,94.04,94.85,91.47,91.52,1456380.0
2020-04-28,92.66,94.83,92.25,94.73,1873554.0
2020-04-29,95.64,95.94,92.0,93.31,1385554.0
2020-04-30,93.14,93.55,89.79,90.55,1583574.0
