date,Open,High,Low,Close,Volume
2019-08-20,89.9,90.25,88.5,88.55,2286147.0
2019-08-21,88.7,89.34,87.96,88.93,1074580.0
2019-08-22,88.81,89.26,88.22,88.9,1322404.0
2019-08-23,89.01,90.2,87.4,87.75,2110337.0
2019-08-26,88.16,88.72,87.4,88.6,2152950.0
2019-08-27,89.18,90.22,88.96,88.96,3336704.0
2019-08-28,89.47,89.85,88.61,88.89,1242942.0
2019-08-29,89.36,89.8,88.72,89.68,1606106.0
2019-08-30,89.84,90.0,89.03,89.56,1245503.0
2019-09-03,89.38,91.44,89.09,91.38,1937304.0
2019-09-04,92.19,92.5,91.53,92.46,2095934.0
2019-09-05,91.68,92.11,89.7,91.09,2100871.0
2019-09-06,91.19,92.11,91.19,91.39,1904935.0
2019-09-09,91.0,91.04,89.63,90.21,1585578.0
2019-09-10,89.3,89.76,86.98,87.88,2472182.0
2019-09-11,87.2,88.48,86.59,87.68,2735837.0
2019-09-12,88.88,89.33,87.23,87.45,2340165.0
2019-09-13,87.01,87.61,85.19,85.51,3000974.0
2019-09-16,86.1,87.45,85.65,86.93,2421038.0
2019-09-17,87.67,89.47,87.5,89.3,1777982.0
2019-09-18,89.74,89.88,87.92,88.88,1870767.0
2019-09-19,89.08,89.68,88.91,89.3,1354523.0
2019-09-20,89.71,89.72,88.66,88.8,3586094.0
2019-09-23,88.62,89.94,88.62,89.06,1736421.0
2019-09-24,89.3,90.18,88.56,89.17,2095594.0
2019-09-25,89.28,89.85,88.84,89.17,1414221.0
2019-09-26,89.64,90.92,89.24,90.62,1290784.0
2019-09-27,90.72,91.05,89.49,90.29,1862003.0
2019-09-30,90.24,91.05,90.08,90.65,2506445.0
2019-10-01,90.27,90.52,89.41,89.46,1681936.0
2019-10-02,90.06,90.49,88.98,89.78,1525509.0
2019-10-03,89.84,91.99,89.84,91.33,1516051.0
2019-10-04,91.46,92.0,91.3,91.96,1209175.0
2019-10-07,91.05,92.33,91.0,91.54,1411737.0
2019-10-08,91.89,92.08,90.74,91.18,1144120.0
2019-10-09,91.37,92.07,91.28,91.35,889257.0
2019-10-10,91.16,91.84,90.35,91.6,1476808.0
2019-10-11,91.67,91.82,90.83,91.18,1456067.0
2019-10-14,91.28,91.89,90.92,91.79,1026130.0
2019-10-15,91.9,92.15,90.44,91.39,1461666.0
2019-10-16,90.89,91.23,89.78,91.02,1861431.0
2019-10-17,91.09,91.37,90.5,91.18,2255332.0
2019-10-18,91.14,92.38,90.97,92.09,1896812.0
2019-10-21,91.85,92.22,91.02,92.21,1658255.0
2019-10-22,92.6,93.17,91.73,91.92,2081672.0
2019-10-23,92.0,92.35,90.58,91.12,3022988.0
2019-10-24,91.18,91.28,90.28,90.84,1914763.0
2019-10-25,90.17,90.57,87.64,87.96,2461721.0
2019-10-28,87.86,87.9,86.76,87.04,3518637.0
2019-10-29,92.07,92.07,88.86,89.44,3377321.0
2019-10-30,88.94,90.51,88.93,90.46,1896835.0
2019-10-31,90.47,91.47,89.9,90.69,2069225.0
2019-11-01,90.84,91.1,88.88,90.03,1820499.0
2019-11-04,89.39,89.39,86.64,86.89,1807658.0
2019-11-05,86.21,86.21,84.03,85.55,3328074.0
2019-11-06,86.16,86.36,84.44,84.87,2411173.0
2019-11-07,84.03,84.12,82.51,83.25,2433442.0
2019-11-08,83.04,83.8,82.69,82.88,1750398.0
2019-11-11,83.11,83.61,82.67,83.11,1281886.0
2019-11-12,82.45,83.45,82.1,82.29,2511950.0
2019-11-13,82.53,83.4,82.4,83.1,2313443.0
2019-11-14,83.36,83.79,83.23,83.59,1557997.0
2019-11-15,83.75,84.19,83.21,83.99,3593051.0
2019-11-18,84.18,85.44,84.03,84.82,2264182.0
2019-11-19,85.37,85.54,84.61,85.1,1434650.0
2019-11-20,85.02,85.37,84.19,84.84,1306763.0
2019-11-21,84.15,84.61,83.29,83.5,1646388.0
2019-11-22,83.78,83.89,82.81,83.65,1416993.0
2019-11-25,83.94,84.78,83.11,83.19,4300508.0
2019-11-26,83.5,84.57,83.39,84.56,3382274.0
2019-11-27,84.27,85.82,84.03,85.82,2085722.0
2019-11-29,85.76,86.14,84.45,84.57,1015785.0
2019-12-02,84.26,84.58,83.2,83.23,1777126.0
2019-12-03,83.89,84.74,83.7,83.93,1829115.0
2019-12-04,83.71,84.38,83.54,83.78,1968936.0
2019-12-05,83.38,84.06,82.76,84.06,1944128.0
2019-12-06,84.02,84.51,83.43,83.77,1185064.0
2019-12-09,83.78,83.98,82.92,83.14,1697008.0
2019-12-10,83.14,83.33,82.08,82.69,1603788.0
2019-12-11,82.68,82.79,80.54,81.17,2526532.0
2019-12-12,81.05,81.47,79.01,79.13,2239677.0
2019-12-13,78.94,79.78,77.73,78.67,2664943.0
2019-12-16,78.64,78.97,77.72,78.67,2742819.0
2019-12-17,79.02,79.23,77.24,77.4,2613781.0
2019-12-18,76.97,78.68,76.75,78.39,2412007.0
2019-12-19,78.56,79.39,77.9,79.05,2900164.0
2019-12-20,80.43,80.79,79.75,80.4,5539132.0
2019-12-23,80.54,80.82,79.56,79.85,1956282.0
2019-12-24,79.83,80.14,79.55,79.93,425616.0
2019-12-26,80.02,80.48,79.91,80.48,758740.0
2019-12-27,80.71,81.1,80.4,80.96,1050236.0
2019-12-30,80.55,81.04,80.29,81.01,2517651.0
2019-12-31,81.06,81.79,81.01,81.78,2777216.0
2020-01-02,82.09,82.14,79.96,80.14,2049106.0
2020-01-03,79.64,81.66,79.55,81.55,1687045.0
2020-01-06,82.09,83.22,81.66,82.79,2200301.0
2020-01-07,82.49,82.54,81.24,82.25,1239452.0
2020-01-08,81.92,82.36,81.46,82.27,2016788.0
2020-01-09,82.14,82.76,81.79,82.46,1211879.0
2020-01-10,82.53,83.04,82.35,82.8,1897434.0
2020-01-13,82.61,84.2,82.61,84.07,1563817.0
2020-01-14,83.84,84.07,83.05,84.03,2365617.0
2020-01-15,84.25,85.2,84.14,84.95,1726457.0
2020-01-16,84.96,86.75,84.72,86.55,1851688.0
2020-01-17,86.65,86.92,86.06,86.39,2177935.0
2020-01-21,86.47,87.82,86.4,87.8,1707744.0
2020-01-22,88.0,88.11,85.88,86.0,2116142.0
2020-01-23,86.11,87.28,85.79,87.24,2335144.0
2020-01-24,87.3,87.38,86.4,86.95,1478972.0
2020-01-27,86.62,87.26,86.46,86.87,1600965.0
2020-01-28,86.81,87.17,86.52,86.75,1341913.0
2020-01-29,86.97,87.21,86.3,86.53,1548058.0
2020-01-30,86.19,86.36,85.24,85.4,3210112.0
2020-01-31,85.56,85.58,84.46,84.91,2419205.0
2020-02-03,85.11,85.32,84.25,84.46,2770533.0
2020-02-04,84.64,85.88,84.22,84.95,1915008.0
2020-02-05,84.62,84.845,83.76,84.01,1738418.0
2020-02-06,84.45,85.35,84.03,84.67,2256163.0
2020-02-07,84.67,85.1,84.02,84.13,1581700.0
2020-02-10,84.6,85.54,84.36,85.12,1834643.0
2020-02-11,85.05,85.7,84.42,84.9,1891743.0
2020-02-12,84.94,86.02,84.73,85.86,1412498.0
2020-02-13,85.77,88.23,85.68,87.7,2650770.0
