date,Open,High,Low,Close,Volume
2019-08-20,45.04,45.04,44.63,44.68,13346104.0
2019-08-21,44.96,45.28,44.81,45.0,13517481.0
2019-08-22,45.33,45.83,45.06,45.62,14705015.0
2019-08-23,45.2,45.65,44.09,44.42,21153801.0
2019-08-26,44.71,45.0,44.49,44.98,15973246.0
2019-08-27,45.23,45.33,44.43,44.75,15038180.0
2019-08-28,44.64,45.78,44.49,45.47,14739150.0
2019-08-29,46.0,46.49,45.78,46.19,16196668.0
2019-08-30,46.54,46.9,46.41,46.57,15250645.0
2019-09-03,46.31,46.34,45.48,46.09,17224206.0
2019-09-04,46.54,46.7,46.28,46.5,17123095.0
2019-09-05,47.31,48.17,47.3,47.62,19243080.0
2019-09-06,47.58,47.77,47.1,47.15,18846092.0
2019-09-09,47.32,48.64,46.89,48.41,27648355.0
2019-09-10,48.07,48.93,48.07,48.31,25822434.0
2019-09-11,48.29,48.98,47.79,48.85,19183399.0
2019-09-12,48.52,49.08,48.22,48.65,24305223.0
2019-09-13,49.01,49.36,48.66,48.92,25140832.0
2019-09-16,48.46,49.0,48.4,48.98,17732336.0
2019-09-17,48.7,48.86,48.31,48.76,18458667.0
2019-09-18,48.63,49.21,48.43,48.93,20545811.0
2019-09-19,48.99,49.31,48.87,48.91,17052734.0
2019-09-20,49.07,49.3,48.61,48.63,30448100.0
2019-09-23,48.32,49.09,48.31,48.96,21329968.0
2019-09-24,48.98,49.22,48.47,48.65,21854120.0
2019-09-25,48.73,49.54,48.65,49.26,21363849.0
2019-09-26,49.25,49.37,48.82,48.87,20056588.0
2019-09-27,50.4,51.41,50.25,50.71,59465716.0
2019-09-30,50.77,50.85,50.06,50.44,28886825.0
2019-10-01,50.65,50.78,49.0,49.06,27402111.0
2019-10-02,48.72,49.04,48.37,48.47,24806245.0
2019-10-03,48.3,48.51,47.32,48.48,20458388.0
2019-10-04,48.66,49.25,48.53,49.21,15946231.0
2019-10-07,48.95,49.29,48.75,48.81,15734706.0
2019-10-08,48.25,48.35,47.54,47.82,19833507.0
2019-10-09,48.17,48.42,48.08,48.15,13530693.0
2019-10-10,48.33,49.07,48.16,48.65,18405269.0
2019-10-11,49.46,49.92,49.15,49.21,23085705.0
2019-10-14,49.09,49.45,48.98,49.27,17073582.0
2019-10-15,49.28,51.25,48.78,50.11,39502542.0
2019-10-16,50.04,50.28,49.45,49.59,23759070.0
2019-10-17,49.98,50.17,49.48,49.61,20588250.0
2019-10-18,49.34,50.22,49.32,49.97,21199496.0
2019-10-21,50.28,50.5,50.18,50.46,20378968.0
2019-10-22,50.44,51.02,50.23,50.62,19471547.0
2019-10-23,50.72,50.97,50.57,50.93,15152082.0
2019-10-24,50.66,51.2,50.66,51.1,17722408.0
2019-10-25,51.08,51.73,51.0,51.57,17430753.0
2019-10-28,51.94,52.05,51.57,51.65,23913538.0
2019-10-29,51.5,52.36,51.5,52.17,21062475.0
2019-10-30,51.88,52.28,51.62,52.03,16155272.0
2019-10-31,51.77,52.03,51.15,51.63,18814737.0
2019-11-01,52.13,52.29,51.91,52.18,16357910.0
2019-11-04,52.58,52.8,52.24,52.72,17556415.0
2019-11-05,52.74,53.5,52.74,53.3,25962354.0
2019-11-06,53.29,53.84,53.17,53.8,22046464.0
2019-11-07,53.78,54.4,53.78,54.0,23447924.0
2019-11-08,53.83,54.23,53.56,54.1,14721732.0
2019-11-11,53.79,54.14,53.73,54.05,10659438.0
2019-11-12,53.75,54.24,53.62,54.22,15187629.0
2019-11-13,53.81,53.9,53.21,53.29,16937211.0
2019-11-14,53.22,53.56,53.1,53.49,16490809.0
2019-11-15,53.78,53.94,53.43,53.8,15225133.0
2019-11-18,53.84,54.11,53.65,54.0,14374632.0
2019-11-19,54.1,54.33,53.87,54.03,14434065.0
2019-11-20,53.73,53.86,53.25,53.54,14994663.0
2019-11-21,53.84,53.93,53.34,53.56,16183535.0
2019-11-22,53.9,54.35,53.81,54.28,13823401.0
2019-11-25,54.53,54.53,54.04,54.21,15558574.0
2019-11-26,54.11,54.12,53.73,53.81,18085380.0
2019-11-27,54.15,54.4,54.01,54.34,16352886.0
2019-11-29,54.07,54.75,54.07,54.46,10508630.0
2019-12-02,54.31,54.44,53.55,53.62,20252622.0
2019-12-03,53.01,53.05,52.17,52.58,25759600.0
2019-12-04,52.6,53.48,52.54,53.24,18867396.0
2019-12-05,53.41,53.53,53.1,53.23,13499699.0
2019-12-06,53.86,54.41,53.69,54.37,18325748.0
2019-12-09,54.17,54.55,53.91,53.92,15070628.0
2019-12-10,53.49,53.87,53.38,53.69,15959113.0
2019-12-11,53.74,53.98,53.07,53.17,16657649.0
2019-12-12,53.37,54.55,53.1,54.36,19118519.0
2019-12-13,54.05,54.42,53.43,53.79,19179280.0
2019-12-16,54.24,54.56,54.22,54.22,19793450.0
2019-12-17,54.11,54.51,53.99,54.34,16723314.0
2019-12-18,54.46,54.46,53.63,53.67,18856416.0
2019-12-19,53.74,53.83,53.42,53.63,18133326.0
2019-12-20,54.05,54.05,53.07,53.33,66317512.0
2019-12-23,53.34,54.0,53.25,53.81,17637704.0
2019-12-24,53.95,54.04,53.74,53.82,4635459.0
2019-12-26,54.05,54.39,53.95,54.15,12517133.0
2019-12-27,54.29,54.32,53.87,53.92,9891475.0
2019-12-30,54.17,54.26,53.5,53.6,10899823.0
