date,Open,High,Low,Close,Volume
2019-08-20,134.71,137.85,134.0,137.17,657400.0
2019-08-21,138.63,141.64,138.18,140.16,889200.0
2019-08-22,140.47,140.89,138.55,139.29,407800.0
2019-08-23,137.29,138.26,133.8,134.55,650900.0
2019-08-26,136.83,136.96,134.96,135.86,471800.0
2019-08-27,136.66,138.25,134.09,134.1,577100.0
2019-08-28,133.79,137.44,132.99,137.32,491600.0
2019-08-29,137.51,139.52,136.7,137.52,419900.0
2019-08-30,138.75,140.35,138.51,139.09,556100.0
2019-09-03,137.0,138.47,133.06,134.47,574500.0
2019-09-04,136.07,138.44,135.69,137.68,550700.0
2019-09-05,140.34,143.51,139.59,142.96,696600.0
2019-09-06,143.44,145.22,143.0,143.88,542400.0
2019-09-09,144.62,148.56,143.96,147.87,803200.0
2019-09-10,147.13,151.04,146.1,150.62,1145800.0
2019-09-11,150.32,153.22,148.9,152.78,645100.0
2019-09-12,152.88,153.0,150.75,150.83,599700.0
2019-09-13,151.41,152.98,149.71,149.86,353500.0
2019-09-16,148.4,149.49,148.11,148.77,334400.0
2019-09-17,148.24,152.98,146.06,152.2,768500.0
2019-09-18,148.74,150.96,146.82,149.03,621800.0
2019-09-19,150.19,151.45,148.56,148.57,526800.0
2019-09-20,148.97,150.82,148.05,148.59,651600.0
2019-09-23,147.2,150.49,146.94,149.44,386200.0
2019-09-24,151.0,151.21,148.39,149.18,449700.0
2019-09-25,148.7,151.14,147.93,150.36,508200.0
2019-09-26,154.56,159.21,152.3,154.84,1383600.0
2019-09-27,154.81,156.57,153.25,155.5,972200.0
2019-09-30,156.6,159.0,155.65,158.36,745100.0
2019-10-01,158.39,159.35,153.91,154.79,581300.0
2019-10-02,153.62,154.38,150.74,152.93,557900.0
2019-10-03,152.47,153.45,149.16,153.13,608300.0
2019-10-04,152.95,156.0,152.93,155.33,618700.0
2019-10-07,154.08,158.41,153.5,156.95,786000.0
2019-10-08,154.77,157.02,152.26,155.05,676800.0
2019-10-09,156.49,156.49,153.85,156.08,566000.0
2019-10-10,155.77,158.18,154.98,157.32,337300.0
2019-10-11,158.5,161.0,158.13,158.22,614100.0
2019-10-14,157.61,159.73,157.24,158.47,596500.0
2019-10-15,158.83,160.0,157.58,158.62,712300.0
2019-10-16,157.84,160.73,157.3,159.54,600400.0
2019-10-17,159.87,160.63,158.41,160.17,323200.0
2019-10-18,159.56,161.87,159.32,161.06,694000.0
2019-10-21,162.39,163.64,160.18,160.66,874700.0
2019-10-22,161.84,162.31,158.87,160.62,1293300.0
2019-10-23,154.61,163.35,153.61,162.16,1974600.0
2019-10-24,162.25,162.96,159.41,160.53,777900.0
2019-10-25,160.0,161.84,159.28,159.36,706000.0
2019-10-28,160.13,161.47,154.27,154.54,894900.0
2019-10-29,154.27,156.9,154.15,155.48,796500.0
2019-10-30,155.34,155.69,151.71,154.75,581800.0
2019-10-31,154.61,154.75,150.05,152.12,567600.0
2019-11-01,153.41,153.79,149.3,150.07,1853900.0
2019-11-04,151.57,155.12,150.89,154.44,877700.0
2019-11-05,155.0,158.51,154.74,157.77,928900.0
2019-11-06,158.02,158.02,154.01,156.46,563100.0
2019-11-07,157.26,158.57,156.02,156.31,451800.0
2019-11-08,156.39,157.07,154.33,154.77,551800.0
2019-11-11,153.29,155.95,152.8,155.94,500300.0
2019-11-12,155.81,156.5,154.11,155.31,864200.0
2019-11-13,154.26,155.52,149.01,150.28,1173500.0
2019-11-14,149.48,151.88,149.44,149.97,957800.0
2019-11-15,149.0,149.19,142.66,144.36,2743300.0
2019-11-18,144.56,145.1,142.1,143.16,1773300.0
2019-11-19,143.6,143.6,140.12,140.98,1696500.0
2019-11-20,141.09,143.17,140.57,142.66,1528300.0
2019-11-21,142.35,144.73,141.88,142.41,876000.0
2019-11-22,142.86,144.37,142.53,144.07,522700.0
2019-11-25,144.7,146.68,143.86,146.01,669700.0
2019-11-26,146.17,147.81,145.14,147.7,1113500.0
2019-11-27,148.4,148.68,144.55,145.65,832200.0
2019-11-29,144.64,145.72,142.77,143.1,335100.0
2019-12-02,143.23,144.04,140.63,142.93,878700.0
2019-12-03,141.99,141.99,138.55,140.93,699900.0
2019-12-04,142.18,144.0,141.96,142.04,607200.0
2019-12-05,142.59,145.11,142.59,144.91,463700.0
2019-12-06,146.5,148.76,146.35,147.57,661700.0
2019-12-09,147.4,148.0,145.9,146.22,476000.0
2019-12-10,145.78,147.04,143.9,144.47,724700.0
2019-12-11,144.11,146.21,144.11,146.2,472700.0
2019-12-12,146.87,152.99,145.97,151.54,1800000.0
2019-12-13,150.0,150.98,144.54,148.42,1760900.0
2019-12-16,148.73,149.67,145.65,149.1,975400.0
2019-12-17,148.9,148.9,146.01,146.65,823100.0
2019-12-18,147.25,147.65,145.75,146.59,422600.0
2019-12-19,146.31,146.4,143.63,143.9,712800.0
2019-12-20,144.29,147.61,143.43,147.41,1451000.0
2019-12-23,148.5,148.92,144.91,145.48,444500.0
2019-12-24,145.41,145.86,144.32,145.18,190900.0
2019-12-26,145.25,145.76,144.11,145.19,232700.0
2019-12-27,145.1,146.1,144.69,145.92,353700.0
2019-12-30,146.27,147.14,145.06,146.22,451200.0
2019-12-31,146.44,148.16,145.55,147.53,415700.0
2020-01-02,148.94,149.45,145.83,148.45,806200.0
2020-01-03,146.65,146.65,145.0,145.92,521100.0
2020-01-06,144.66,147.75,143.41,147.29,560300.0
2020-01-07,147.25,148.98,146.6,147.34,786500.0
2020-01-08,147.17,150.24,147.17,149.4,540100.0
2020-01-09,150.7,150.76,148.16,150.36,721400.0
2020-01-10,150.29,150.82,147.76,149.68,839700.0
2020-01-13,150.19,152.82,149.69,152.78,1087100.0
2020-01-14,152.78,154.37,152.0,153.23,726900.0
2020-01-15,152.57,156.64,152.24,153.93,1012400.0
2020-01-16,155.23,156.01,152.73,154.16,833700.0
2020-01-17,154.63,155.45,152.06,152.63,784500.0
2020-01-21,151.63,152.93,149.92,151.4,968200.0
2020-01-22,151.39,151.89,146.43,146.69,1233400.0
2020-01-23,145.88,151.29,144.32,150.72,908200.0
2020-01-24,150.54,152.65,147.96,149.42,1026100.0
2020-01-27,146.22,150.63,145.17,148.23,1542300.0
2020-01-28,151.0,158.37,147.85,156.67,3026200.0
2020-01-29,157.19,158.44,153.8,154.1,944800.0
2020-01-30,152.86,154.785,151.08,152.79,760455.0
2020-01-31,153.18,153.97,145.21,146.17,1084200.0
2020-02-03,147.02,149.42,145.99,147.15,742600.0
2020-02-04,150.7,151.89,149.44,150.16,697200.0
2020-02-05,152.84,155.25,151.85,154.45,856297.0
2020-02-06,154.77,155.7,153.02,153.06,599000.0
2020-02-07,151.49,151.49,148.59,149.21,699000.0
2020-02-10,148.59,150.81,148.05,149.41,431900.0
2020-02-11,150.86,153.32,150.11,151.98,643900.0
2020-02-12,152.79,154.77,151.28,152.5,537100.0
2020-02-13,151.44,152.69,150.36,152.03,498200.0
2020-02-14,152.06,153.49,151.22,152.16,528800.0
2020-02-18,150.69,151.74,145.12,148.08,1154400.0
2020-02-19,148.93,150.35,146.02,147.22,671900.0
2020-02-20,147.21,149.74,146.17,149.08,650800.0
2020-02-21,147.77,148.74,145.21,147.19,531500.0
2020-02-24,141.95,142.8,140.12,140.77,1100400.0
2020-02-25,141.97,142.21,134.8,137.15,1452000.0
2020-02-26,137.98,141.39,136.63,137.31,1104300.0
2020-02-27,133.6,139.2,131.27,131.45,1643800.0
2020-02-28,125.65,130.2,124.16,127.86,1907100.0
2020-03-02,127.99,133.98,126.66,133.87,1481000.0
2020-03-03,132.96,136.06,126.51,127.87,1125000.0
2020-03-04,129.31,132.08,127.55,131.94,701000.0
2020-03-05,128.36,129.8,124.01,124.86,892500.0
2020-03-06,121.01,124.16,117.57,121.12,1931900.0
2020-03-09,112.76,115.13,110.97,112.38,1814700.0
2020-03-10,117.05,117.74,109.93,117.37,1128800.0
2020-03-11,113.52,116.01,109.72,110.49,1090100.0
2020-03-12,102.93,106.34,99.61,102.79,1625900.0
2020-03-13,107.79,115.79,103.33,115.43,2187000.0
2020-03-16,105.0,109.18,92.14,92.79,2274200.0
2020-03-17,95.22,102.52,88.72,97.37,1816100.0
2020-03-18,90.51,95.88,85.93,88.98,1869400.0
2020-03-19,87.0,93.96,76.98,82.57,1840500.0
2020-03-20,84.28,84.42,73.73,74.45,1614600.0
2020-03-23,73.92,74.32,64.0,64.22,1829600.0
2020-03-24,68.54,85.67,68.5,83.21,2602400.0
2020-03-25,85.0,88.62,80.3,82.39,1688100.0
2020-03-26,83.9,85.34,77.2,83.2,1915100.0
2020-03-27,79.72,85.17,77.67,84.26,1363000.0
2020-03-30,83.64,88.41,81.01,87.71,1498900.0
2020-03-31,86.93,89.41,85.0,85.8,1281400.0
2020-04-01,80.0,82.63,78.76,80.6,806900.0
2020-04-02,79.02,83.35,78.79,81.63,1139200.0
2020-04-03,82.0,84.31,78.85,82.64,1071500.0
2020-04-06,87.15,93.14,86.38,92.49,1422400.0
2020-04-07,95.34,98.32,92.84,94.91,1108000.0
2020-04-08,95.44,100.5,94.63,99.68,850200.0
2020-04-09,102.22,106.9,101.93,104.75,1229700.0
2020-04-13,104.75,105.54,97.39,100.65,866700.0
2020-04-14,103.98,104.4,101.82,103.51,908000.0
2020-04-15,99.94,100.56,94.87,99.89,1144500.0
2020-04-16,98.5,99.61,93.81,96.64,1000900.0
2020-04-17,100.68,105.82,99.77,105.33,1023400.0
2020-04-20,102.79,104.12,99.66,100.0,761100.0
2020-04-21,97.04,100.58,96.42,98.18,734000.0
2020-04-22,101.0,101.0,97.17,99.35,662200.0
2020-04-23,100.52,104.0,99.89,102.25,727200.0
2020-04-24,103.24,105.06,101.76,104.58,914400.0
2020-04-27,105.5,110.0,105.17,109.18,816000.0
2020-04-28,112.45,114.54,111.07,113.85,889600.0
2020-04-29,119.4,123.92,117.01,122.5,1268600.0
