date,Open,High,Low,Close,Volume
2019-08-20,196.87,197.39,192.78,193.37,447364.0
2019-08-21,194.76,197.52,192.55,193.75,368499.0
2019-08-22,195.0,195.6,191.99,194.3,312759.0
2019-08-23,193.42,194.95,188.05,189.21,601854.0
2019-08-26,190.74,192.06,189.32,192.0,365005.0
2019-08-27,193.09,193.59,190.89,191.26,357859.0
2019-08-28,190.74,192.69,184.71,192.31,429076.0
2019-08-29,194.18,195.78,193.39,195.5,370422.0
2019-08-30,196.66,198.48,196.42,197.97,649582.0
2019-09-03,197.3,197.98,194.72,195.66,501646.0
2019-09-04,194.28,197.01,194.28,196.52,461578.0
2019-09-05,199.06,199.64,196.97,197.69,343285.0
2019-09-06,198.23,198.95,197.23,197.75,369406.0
2019-09-09,198.35,198.99,195.22,195.53,486455.0
2019-09-10,195.63,195.63,186.89,189.69,726762.0
2019-09-11,191.42,192.5,190.15,191.74,462629.0
2019-09-12,192.48,195.51,192.48,194.69,418639.0
2019-09-13,195.15,196.9,193.35,194.7,401269.0
2019-09-16,192.98,195.16,192.76,195.01,389041.0
2019-09-17,194.87,199.3,194.87,198.64,673779.0
2019-09-18,198.38,198.91,195.55,198.69,448008.0
2019-09-19,198.15,199.87,197.85,198.2,325920.0
2019-09-20,197.63,199.21,195.0,196.37,745644.0
2019-09-23,195.42,197.75,195.02,197.4,395625.0
2019-09-24,198.14,199.59,196.02,197.3,627761.0
2019-09-25,196.8,197.45,196.02,196.8,451169.0
2019-09-26,196.41,198.58,195.2,198.02,450115.0
2019-09-27,197.82,198.02,192.66,192.7,551528.0
2019-09-30,193.99,197.0,192.37,192.97,531894.0
2019-10-01,194.34,197.71,187.74,187.93,542010.0
2019-10-02,187.37,187.62,182.85,184.21,773417.0
2019-10-03,184.47,185.96,182.22,184.99,444350.0
2019-10-04,185.05,189.44,185.05,188.65,578520.0
2019-10-07,187.82,188.73,186.61,187.59,461860.0
2019-10-08,186.09,186.69,177.6,184.36,571962.0
2019-10-09,185.83,186.88,183.66,186.2,494056.0
2019-10-10,186.81,189.11,185.54,187.69,459382.0
2019-10-11,189.78,191.69,187.93,188.1,645293.0
2019-10-14,188.08,192.02,187.3,187.64,608434.0
2019-10-15,187.9,189.23,187.76,188.0,364004.0
2019-10-16,187.46,189.04,186.48,188.59,539605.0
2019-10-17,188.77,189.95,187.75,187.89,548034.0
2019-10-18,187.89,188.12,186.67,187.77,619708.0
2019-10-21,189.21,190.25,187.72,190.05,533190.0
2019-10-22,190.04,191.29,188.49,188.78,528561.0
2019-10-23,188.26,189.37,184.44,184.77,550103.0
2019-10-24,185.35,187.49,183.27,187.34,464107.0
2019-10-25,187.23,188.6,184.32,184.98,490704.0
2019-10-28,185.88,185.88,183.05,183.38,537336.0
2019-10-29,182.65,186.38,182.65,185.65,666275.0
2019-10-30,185.79,190.25,185.47,190.24,656150.0
2019-10-31,185.72,190.81,182.77,186.9,1411155.0
2019-11-01,187.34,190.25,186.75,188.99,676647.0
2019-11-04,189.88,190.0,185.7,186.83,501324.0
2019-11-05,186.59,187.79,183.79,185.01,562096.0
2019-11-06,185.52,187.06,185.0,186.67,677994.0
2019-11-07,187.06,188.23,184.74,184.99,491733.0
2019-11-08,185.04,185.79,183.66,185.1,474491.0
2019-11-11,183.99,186.92,183.21,186.58,368909.0
2019-11-12,186.89,187.51,185.78,187.22,501254.0
2019-11-13,186.82,188.29,185.45,187.62,426577.0
2019-11-14,187.03,190.12,186.29,189.75,637936.0
2019-11-15,190.7,190.7,188.08,188.95,567704.0
2019-11-18,188.98,189.25,187.36,187.85,466945.0
2019-11-19,188.42,190.24,188.42,190.2,542456.0
2019-11-20,189.07,191.14,188.04,190.15,475020.0
2019-11-21,190.04,190.56,188.95,189.93,507512.0
2019-11-22,190.28,190.37,188.65,189.76,409872.0
2019-11-25,190.35,193.37,188.61,193.13,1090444.0
2019-11-26,189.15,195.16,189.15,194.82,1043952.0
2019-11-27,195.55,196.67,194.18,196.35,361370.0
2019-11-29,195.49,197.38,195.49,196.44,344477.0
2019-12-02,196.8,196.8,194.84,195.22,505049.0
2019-12-03,194.16,194.96,191.95,192.52,926669.0
