date,Open,High,Low,Close,Volume
2019-08-20,119.68,119.99,118.04,118.11,1566300.0
2019-08-21,118.64,119.24,118.28,118.71,1479800.0
2019-08-22,118.64,119.01,117.8,118.07,1358400.0
2019-08-23,117.86,118.44,115.36,115.93,1987900.0
2019-08-26,116.4,117.09,115.81,117.05,1586700.0
2019-08-27,117.81,118.6,117.41,117.75,1148300.0
2019-08-28,117.51,118.48,116.8,118.25,1109800.0
2019-08-29,119.0,119.44,118.07,119.32,1132200.0
2019-08-30,120.09,120.49,118.96,119.35,1149600.0
2019-09-03,119.61,120.24,119.1,119.53,1204300.0
2019-09-04,120.0,120.74,119.67,120.65,1213800.0
2019-09-05,121.24,121.77,118.9,119.09,1671100.0
2019-09-06,119.08,119.68,118.84,119.33,941500.0
2019-09-09,119.34,119.5,117.38,117.62,1427900.0
2019-09-10,116.86,117.04,112.16,113.68,3654400.0
2019-09-11,113.81,114.38,111.13,112.22,2830500.0
2019-09-12,112.69,113.88,112.51,113.07,1726700.0
2019-09-13,113.48,114.35,111.79,111.95,1661200.0
2019-09-16,111.56,112.01,111.1,111.9,2077800.0
2019-09-17,112.44,114.18,112.2,113.86,2547500.0
2019-09-18,114.03,114.38,113.09,114.33,1017700.0
2019-09-19,114.94,115.8,114.49,114.73,1324700.0
2019-09-20,115.17,115.61,114.78,115.28,1984100.0
2019-09-23,115.35,115.87,114.68,114.95,1093000.0
2019-09-24,115.07,116.16,114.5,115.12,1646600.0
2019-09-25,115.16,115.46,113.83,113.92,1470300.0
2019-09-26,114.18,115.69,113.71,115.09,2398000.0
2019-09-27,115.43,115.72,112.68,113.59,1693100.0
2019-09-30,113.59,115.21,113.53,115.0,1707400.0
2019-10-01,115.15,115.97,114.5,114.87,2576500.0
2019-10-02,114.14,115.07,113.51,114.77,2892900.0
2019-10-03,114.58,115.53,114.03,114.99,2608800.0
2019-10-04,115.53,117.04,115.41,116.61,2890900.0
2019-10-07,116.37,116.46,115.5,115.71,1299900.0
2019-10-08,115.0,115.94,114.3,114.77,1390900.0
2019-10-09,115.1,115.95,114.57,115.6,1358800.0
2019-10-10,115.5,117.79,115.46,117.44,1918100.0
2019-10-11,118.02,118.3,116.26,116.34,1537500.0
2019-10-14,116.61,117.66,115.97,116.15,962400.0
2019-10-15,116.58,117.04,115.52,115.65,1853700.0
2019-10-16,115.34,115.39,113.4,114.9,2126700.0
