date,Open,High,Low,Close,Volume
2019-08-20,23.57,23.74,23.39,23.53,7362500.0
2019-08-21,23.71,24.06,23.59,23.88,10310700.0
2019-08-22,23.94,23.98,23.6,23.6,5790900.0
2019-08-23,23.49,23.52,22.8,22.88,8263800.0
2019-08-26,23.22,23.29,22.84,22.93,5756600.0
2019-08-27,23.01,23.15,22.76,22.92,8321000.0
2019-08-28,23.0,23.47,22.91,23.33,5692400.0
2019-08-29,23.54,23.87,23.4,23.71,6322100.0
2019-08-30,23.8,23.89,23.45,23.6,5842800.0
2019-09-03,23.4,23.6,23.22,23.55,4491500.0
2019-09-04,23.79,23.94,23.66,23.7,6720100.0
2019-09-05,23.84,24.22,23.79,24.07,8855600.0
2019-09-06,24.02,24.21,23.86,24.12,4950700.0
2019-09-09,24.27,24.74,24.25,24.68,7065500.0
2019-09-10,24.73,25.16,24.68,24.85,9107100.0
2019-09-11,24.88,25.08,24.68,24.96,7274200.0
2019-09-12,24.41,24.49,24.06,24.29,6851300.0
2019-09-13,24.43,24.77,24.39,24.7,6009900.0
2019-09-16,25.09,25.29,24.69,24.99,9808500.0
2019-09-17,24.89,25.26,24.62,25.0,7963900.0
2019-09-18,24.87,24.98,24.65,24.84,4729800.0
2019-09-19,25.04,25.14,24.78,24.81,4554700.0
2019-09-20,24.88,24.93,24.52,24.71,11242900.0
2019-09-23,24.6,24.85,24.57,24.61,5322600.0
2019-09-24,24.58,24.65,24.09,24.29,7468300.0
2019-09-25,24.2,24.45,24.16,24.4,6603700.0
2019-09-26,24.32,24.39,23.8,24.13,7394800.0
2019-09-27,24.1,24.4,24.04,24.2,5016900.0
2019-09-30,24.24,24.37,23.95,24.06,5806600.0
2019-10-01,24.17,24.32,23.76,23.82,7417800.0
2019-10-02,23.72,23.75,23.32,23.37,7412300.0
2019-10-03,23.28,23.62,23.03,23.56,6231300.0
2019-10-04,23.64,23.78,23.48,23.65,6041500.0
2019-10-07,23.71,23.82,23.46,23.48,5424400.0
2019-10-08,23.31,23.41,22.9,22.91,5989500.0
2019-10-09,23.03,23.14,22.7,22.72,7513800.0
2019-10-10,22.84,23.0,22.61,22.74,7867000.0
2019-10-11,22.94,23.28,22.94,23.09,8371100.0
2019-10-14,22.97,23.25,22.79,23.12,8261200.0
2019-10-15,23.08,23.45,23.04,23.15,6955700.0
2019-10-16,23.06,23.18,22.73,22.81,8198400.0
2019-10-17,22.8,22.95,22.71,22.8,7695800.0
2019-10-18,22.73,23.07,22.73,22.91,10633000.0
