date,Open,High,Low,Close,Volume
2019-08-20,113.86,114.04,112.01,112.05,6112300.0
2019-08-21,113.98,114.07,111.88,112.02,8156400.0
2019-08-22,112.2,112.79,111.35,111.91,5995400.0
2019-08-23,111.62,111.91,110.13,110.83,6236700.0
2019-08-26,111.56,112.27,111.22,111.99,5935700.0
2019-08-27,112.42,112.81,111.51,112.42,5733700.0
2019-08-28,112.28,113.08,111.68,112.72,5371000.0
2019-08-29,114.2,114.59,113.31,114.08,5270500.0
2019-08-30,115.0,115.38,113.9,114.26,5705300.0
2019-09-03,113.68,115.31,113.49,114.64,5942700.0
2019-09-04,115.69,115.96,114.82,115.91,5782900.0
2019-09-05,117.67,117.96,115.27,115.44,5826400.0
2019-09-06,115.44,115.75,114.62,114.73,4346400.0
2019-09-09,114.5,116.61,114.4,116.33,5973700.0
2019-09-10,115.99,116.96,115.48,116.05,4857400.0
2019-09-11,116.0,116.7,115.22,116.02,5284100.0
2019-09-12,116.65,117.07,115.9,116.92,4474300.0
2019-09-13,117.16,118.19,116.95,117.43,5638600.0
2019-09-16,116.54,117.17,115.38,115.57,6090300.0
2019-09-17,115.32,116.69,115.25,116.51,4604500.0
2019-09-18,116.91,117.23,116.18,117.16,3956000.0
2019-09-19,117.4,117.81,116.77,117.11,3380600.0
2019-09-20,117.35,117.64,116.8,116.98,11332400.0
2019-09-23,116.61,118.41,116.56,117.62,5162500.0
2019-09-24,118.25,119.86,118.01,118.4,7273100.0
2019-09-25,118.47,118.72,117.81,118.47,4613600.0
2019-09-26,118.8,119.55,118.19,118.3,3986900.0
2019-09-27,119.21,119.23,117.75,118.45,3434700.0
2019-09-30,118.67,119.44,118.56,118.68,3401400.0
2019-10-01,118.85,119.11,117.72,117.85,3729300.0
2019-10-02,117.4,117.55,115.61,116.12,5944500.0
2019-10-03,115.88,116.8,114.58,116.31,5206500.0
2019-10-04,116.4,118.3,116.19,118.16,4627000.0
2019-10-07,118.1,118.3,116.88,117.23,4695000.0
2019-10-08,116.81,118.67,116.66,117.58,5125100.0
2019-10-09,118.18,119.3,118.02,118.93,3903400.0
2019-10-10,118.9,119.88,118.6,119.61,4341500.0
2019-10-11,119.92,120.71,118.72,120.24,6127900.0
2019-10-14,119.85,120.46,119.1,119.17,4573300.0
2019-10-15,119.33,119.99,118.87,119.53,4516700.0
2019-10-16,119.31,120.11,119.1,119.42,3781600.0
2019-10-17,119.67,120.25,119.36,119.84,3910900.0
2019-10-18,120.45,120.6,119.13,119.14,5592300.0
2019-10-21,119.3,119.83,118.82,119.74,3410100.0
2019-10-22,119.75,120.17,119.39,119.58,2544700.0
2019-10-23,119.17,119.85,118.69,119.35,2840000.0
2019-10-24,119.15,119.57,118.51,119.1,2900300.0
2019-10-25,119.0,119.33,118.2,119.04,2564100.0
2019-10-28,119.25,119.7,118.53,119.22,3404300.0
2019-10-29,118.5,118.73,117.08,117.15,4791100.0
2019-10-30,117.18,118.37,117.05,118.1,2996000.0
2019-10-31,117.93,118.28,116.83,117.26,4881300.0
2019-11-01,117.92,117.97,117.23,117.62,3762600.0
2019-11-04,118.4,119.11,117.17,117.57,4646000.0
2019-11-05,117.68,119.14,117.08,118.86,4217100.0
2019-11-06,118.83,119.62,118.71,119.5,3614400.0
2019-11-07,120.0,120.92,119.54,120.23,4441400.0
2019-11-08,120.31,120.88,118.94,119.44,3832700.0
2019-11-11,118.7,119.63,118.28,119.04,4439000.0
2019-11-12,119.6,120.0,118.81,119.12,5063100.0
2019-11-13,119.16,121.36,118.66,120.98,7711800.0
2019-11-14,124.6,125.38,119.51,120.65,22504200.0
2019-11-15,120.68,121.0,118.38,118.87,10137700.0
2019-11-18,118.45,120.87,118.24,120.25,6548000.0
2019-11-19,120.11,120.36,119.71,119.89,3715400.0
2019-11-20,120.21,120.48,118.4,119.13,5075900.0
2019-11-21,118.83,120.0,118.67,119.86,4302400.0
2019-11-22,120.15,120.3,119.27,119.36,3843100.0
2019-11-25,120.0,120.02,117.9,118.92,5881500.0
2019-11-26,118.96,119.3,118.45,119.19,6292500.0
2019-11-27,119.39,119.8,118.73,118.76,3434100.0
2019-11-29,119.14,119.97,119.0,119.09,3157300.0
2019-12-02,119.15,119.38,117.84,119.28,5670900.0
2019-12-03,118.4,118.96,117.77,118.67,6594800.0
2019-12-04,119.12,119.2,118.3,118.69,5556600.0
2019-12-05,118.36,118.78,117.42,118.66,4352800.0
2019-12-06,119.08,119.8,118.92,119.78,4340800.0
2019-12-09,119.57,119.86,119.18,119.36,4816000.0
2019-12-10,119.35,119.56,119.02,119.14,4282300.0
2019-12-11,119.4,119.65,118.53,119.0,3506400.0
2019-12-12,119.0,120.11,118.68,119.76,4149000.0
2019-12-13,119.16,120.65,119.02,120.29,5366300.0
2019-12-16,120.42,121.35,120.42,120.54,5350700.0
2019-12-17,120.95,121.7,120.7,121.28,4575800.0
2019-12-18,121.51,121.68,119.84,119.86,5103000.0
2019-12-19,119.94,120.51,119.78,120.08,4464100.0
2019-12-20,121.48,122.12,120.02,120.29,7954400.0
2019-12-23,120.2,120.69,119.01,119.03,4485800.0
2019-12-24,119.13,119.6,119.01,119.51,2227400.0
2019-12-26,119.61,119.85,118.95,119.52,4223800.0
2019-12-27,119.94,119.94,119.25,119.59,3544000.0
2019-12-30,119.8,119.81,119.13,119.4,2945800.0
2019-12-31,119.5,119.8,118.19,118.84,4912000.0
2020-01-02,118.86,119.89,118.7,118.94,6764900.0
2020-01-03,118.27,118.79,117.59,117.89,5399200.0
2020-01-06,117.4,118.09,116.77,117.65,6445500.0
2020-01-07,117.26,117.52,116.2,116.56,6846900.0
2020-01-08,116.3,116.73,115.68,116.16,5875800.0
2020-01-09,116.15,117.37,116.08,117.36,5563700.0
2020-01-10,117.24,117.34,115.98,116.38,6054800.0
2020-01-13,116.38,116.55,115.37,115.88,6112600.0
2020-01-14,115.47,116.21,115.13,116.18,6585800.0
2020-01-15,114.63,115.87,114.52,115.28,7454200.0
2020-01-16,115.5,115.93,115.28,115.9,5369400.0
2020-01-17,116.05,116.3,114.64,114.96,10045000.0
2020-01-21,114.59,115.69,114.52,115.59,7353700.0
2020-01-22,115.22,116.53,115.18,116.1,4926100.0
2020-01-23,116.21,116.31,115.04,115.81,4305100.0
2020-01-24,116.0,116.03,114.15,114.37,4383400.0
2020-01-27,113.19,116.23,112.68,115.86,7018400.0
2020-01-28,115.98,116.9,115.95,116.6,5270200.0
2020-01-29,116.56,117.12,115.89,115.89,3775500.0
2020-01-30,115.61,116.72,115.3314,116.58,4581478.0
2020-01-31,115.8,116.26,113.9,114.49,7775800.0
2020-02-03,114.9,115.39,114.1,114.27,4351900.0
2020-02-04,115.24,116.24,114.89,115.27,5232200.0
2020-02-05,115.6,116.95,114.85,116.81,5682900.0
2020-02-06,116.83,117.23,116.06,116.31,5352900.0
2020-02-07,116.11,116.76,115.76,116.45,3689600.0
2020-02-10,115.75,116.98,115.05,115.25,6144900.0
2020-02-11,115.43,115.5,114.44,115.4,5796800.0
2020-02-12,115.5,116.42,115.41,115.85,4735600.0
2020-02-13,115.85,117.54,115.58,117.44,5333200.0
2020-02-14,117.67,118.57,117.16,117.89,8130600.0
2020-02-18,118.47,119.95,117.36,119.63,11513200.0
2020-02-19,119.5,119.94,117.68,117.68,7187800.0
2020-02-20,117.21,118.11,116.86,117.69,5022900.0
2020-02-21,117.44,118.75,117.31,118.58,6242100.0
2020-02-24,117.46,118.46,115.95,116.32,6616000.0
2020-02-25,116.35,117.07,114.05,114.39,7764300.0
2020-02-26,114.7,115.17,113.65,113.78,6673300.0
2020-02-27,112.56,114.07,110.35,110.4,9492300.0
2020-02-28,107.69,108.52,104.37,107.68,17504100.0
2020-03-02,107.6,116.4,107.29,115.88,17074200.0
2020-03-03,116.08,117.53,112.34,112.91,11113600.0
2020-03-04,114.24,116.84,113.47,116.77,8208400.0
2020-03-05,114.4,117.25,113.91,115.92,8546100.0
2020-03-06,113.87,117.91,113.01,117.23,9803700.0
2020-03-09,113.82,120.63,112.73,117.16,19747800.0
2020-03-10,118.1,120.68,114.92,119.79,12599100.0
2020-03-11,117.51,119.03,112.8,114.43,10540000.0
2020-03-12,106.02,111.49,102.98,104.05,18774400.0
2020-03-13,108.24,114.59,103.88,114.1,14320700.0
2020-03-16,105.2,111.33,102.0,106.76,12251300.0
2020-03-17,112.77,119.27,110.46,119.26,17602000.0
2020-03-18,115.0,128.08,114.5,122.58,25785300.0
2020-03-19,124.46,127.0,117.63,119.45,19033500.0
2020-03-20,119.5,122.79,111.89,113.97,18474500.0
2020-03-23,114.17,117.54,112.21,114.28,13122000.0
2020-03-24,115.87,117.37,111.31,115.03,14235000.0
2020-03-25,112.97,114.0,108.05,109.4,17762500.0
2020-03-26,109.4,110.87,106.85,109.82,19416900.0
2020-03-27,110.11,112.28,108.6,109.58,12053500.0
2020-03-30,111.86,115.8,110.94,115.19,9737500.0
2020-03-31,114.31,116.19,112.64,113.62,8752800.0
2020-04-01,112.15,115.53,111.8,114.14,9423200.0
2020-04-02,113.18,119.11,112.34,118.65,9838500.0
2020-04-03,117.21,119.91,117.03,119.48,9541700.0
2020-04-06,119.06,126.39,118.94,126.07,15922900.0
2020-04-07,123.98,126.49,121.64,121.99,13789900.0
2020-04-08,123.69,123.81,120.59,121.84,9292200.0
2020-04-09,118.22,122.87,117.66,121.8,10944400.0
2020-04-13,121.27,125.67,121.17,125.3,8064700.0
2020-04-14,127.1,129.79,126.04,129.0,11366300.0
2020-04-15,129.0,129.88,127.12,128.76,7478400.0
2020-04-16,129.0,132.92,128.25,132.33,10627400.0
2020-04-17,131.48,132.97,129.73,132.12,10305100.0
2020-04-20,132.39,133.38,129.76,129.85,8133900.0
2020-04-21,130.07,131.03,128.16,129.21,9300200.0
2020-04-22,130.0,132.38,128.9,131.59,6485000.0
2020-04-23,129.85,131.09,127.73,128.53,9613300.0
2020-04-24,129.35,129.89,128.56,129.44,5782800.0
2020-04-27,130.0,130.31,128.17,128.3,5974600.0
2020-04-28,128.28,130.24,127.7,128.0,6910700.0
2020-04-29,125.57,125.76,122.55,123.6,14870700.0
2020-04-30,123.08,123.44,121.04,121.55,13499300.0
2020-05-01,121.48,123.69,120.78,122.92,10381300.0
2020-05-04,123.84,124.4,121.71,123.7,5935900.0
2020-05-05,123.8,125.26,123.26,124.73,6445800.0
2020-05-06,125.21,125.49,122.85,123.3,5769700.0
2020-05-07,123.46,123.98,121.5,121.89,9115200.0
2020-05-08,122.75,123.01,121.62,122.94,6944400.0
2020-05-11,123.04,124.31,123.01,123.67,8447300.0
2020-05-12,124.48,125.66,123.78,123.78,6366700.0
2020-05-13,123.5,126.24,123.09,123.71,9725100.0
2020-05-14,124.85,125.13,121.3,123.42,7411000.0
2020-05-15,123.47,125.94,123.09,125.94,10590000.0
2020-05-18,127.5,128.56,126.1,127.66,13035900.0
2020-05-19,131.75,131.99,124.81,124.95,24915400.0
2020-05-20,126.49,126.59,124.63,125.45,10748800.0
2020-05-21,124.89,126.14,124.25,124.99,7482700.0
2020-05-22,125.1,125.35,123.77,124.33,7453200.0
2020-05-26,124.34,125.51,123.63,123.86,7910200.0
2020-05-27,123.97,124.49,121.03,122.48,10357900.0
2020-05-28,123.72,124.95,123.16,123.69,8141600.0
2020-05-29,124.24,124.71,121.93,124.06,9772400.0
2020-06-01,123.44,124.41,122.36,123.96,6850100.0
2020-06-02,123.59,124.15,122.81,123.94,6395900.0
2020-06-03,123.9,123.99,122.66,123.47,6754300.0
2020-06-04,122.8,123.89,121.82,122.11,8005000.0
2020-06-05,122.57,122.68,119.91,121.56,13112400.0
2020-06-08,119.58,121.24,119.46,121.24,9448100.0
2020-06-09,121.6,122.0,120.56,121.35,6915400.0
2020-06-10,121.56,122.5,121.13,121.16,9380500.0
2020-06-11,120.99,122.58,119.48,120.09,11387600.0
2020-06-12,120.51,120.75,117.06,117.74,10781100.0
2020-06-15,118.4,118.68,117.01,118.08,10901100.0
2020-06-16,119.8,120.23,118.54,119.65,8389200.0
2020-06-17,119.86,120.13,118.4,119.03,6715100.0
2020-06-18,118.54,119.06,117.66,117.99,6690000.0
2020-06-19,118.89,120.3,117.75,119.85,13359600.0
2020-06-22,120.97,122.09,120.4,121.68,9112800.0
