date,Open,High,Low,Close,Volume
2019-08-20,21.4,21.52,21.22,21.39,3488450.0
2019-08-21,21.53,21.8,21.47,21.77,4162575.0
2019-08-22,21.85,21.98,21.66,21.9,4320839.0
2019-08-23,21.8,21.9,21.32,21.38,3347776.0
2019-08-26,21.53,21.69,21.42,21.66,4152224.0
2019-08-27,21.72,21.91,21.65,21.87,5871800.0
2019-08-28,21.83,22.01,21.63,21.97,3917627.0
2019-08-29,22.13,22.22,22.01,22.12,3625877.0
2019-08-30,22.24,22.32,22.04,22.12,3435626.0
2019-09-03,22.01,22.09,21.86,21.94,5739148.0
2019-09-04,22.06,22.29,22.0,22.27,4209650.0
2019-09-05,22.46,22.77,22.37,22.6,5856053.0
2019-09-06,22.59,22.95,22.5,22.85,3660880.0
2019-09-09,22.89,23.34,22.86,23.3,6927645.0
2019-09-10,23.22,23.37,22.97,23.22,6709138.0
2019-09-11,23.28,23.75,23.14,23.74,7658824.0
2019-09-12,23.82,24.09,23.65,23.76,7081585.0
2019-09-13,23.66,23.74,23.28,23.36,5367484.0
2019-09-16,23.07,23.17,22.69,22.76,8323054.0
2019-09-17,22.86,22.88,22.61,22.86,5045039.0
2019-09-18,23.5,23.5,22.5,22.81,5840639.0
2019-09-19,22.78,22.83,22.64,22.71,4303609.0
2019-09-20,22.76,22.85,22.43,22.51,8326404.0
2019-09-23,22.35,22.7,22.35,22.4,8396004.0
2019-09-24,22.62,22.78,21.68,21.91,15107612.0
2019-09-25,22.1,22.37,21.82,22.34,8611090.0
2019-09-26,22.39,22.61,22.25,22.44,4808794.0
2019-09-27,22.82,23.2,22.77,23.05,9269335.0
2019-09-30,23.03,23.39,23.02,23.17,6342847.0
2019-10-01,23.22,23.36,23.14,23.22,4441699.0
2019-10-02,22.98,23.08,22.67,22.77,9370337.0
2019-10-03,22.72,22.93,22.5,22.9,6519152.0
2019-10-04,23.0,23.34,22.93,23.31,5803665.0
2019-10-07,23.17,23.42,22.96,23.32,3643260.0
2019-10-08,23.18,23.31,22.95,23.16,5501464.0
2019-10-09,23.3,23.4,23.08,23.38,4633396.0
2019-10-10,23.37,23.58,23.3,23.56,5448069.0
2019-10-11,23.71,23.83,23.49,23.73,4544423.0
2019-10-14,23.72,23.8,23.54,23.76,4903496.0
2019-10-15,23.8,23.98,23.6,23.97,4300116.0
2019-10-16,23.92,24.03,23.8,23.96,3929998.0
2019-10-17,24.01,24.17,23.83,23.94,3576072.0
2019-10-18,23.89,24.13,23.78,24.03,3606478.0
2019-10-21,24.14,24.37,24.04,24.35,4070657.0
2019-10-22,24.36,24.47,24.24,24.24,4510984.0
2019-10-23,24.22,24.53,24.15,24.52,4083309.0
2019-10-24,24.55,24.79,24.45,24.77,3891499.0
2019-10-25,24.75,24.95,24.71,24.82,4584583.0
2019-10-28,24.94,25.3,24.92,25.02,7663628.0
2019-10-29,25.05,25.43,24.97,25.03,6215733.0
2019-10-30,25.05,25.23,24.72,25.2,6213080.0
2019-10-31,25.16,25.26,24.86,25.06,8828889.0
2019-11-01,25.24,26.82,25.02,26.48,14391324.0
2019-11-04,26.57,26.94,26.37,26.61,13315676.0
2019-11-05,26.59,26.74,26.47,26.51,8904557.0
2019-11-06,26.72,27.51,26.52,27.47,7505427.0
2019-11-07,27.53,28.0,27.36,27.86,7892997.0
2019-11-08,27.76,27.93,27.56,27.87,5836357.0
2019-11-11,27.78,27.78,27.28,27.36,8234502.0
2019-11-12,26.8,27.0,26.47,26.65,10737104.0
2019-11-13,26.58,26.82,26.18,26.4,7422391.0
2019-11-14,26.35,26.6,26.19,26.48,5375295.0
2019-11-15,26.64,26.86,26.57,26.8,7740205.0
2019-11-18,26.69,27.24,26.69,27.08,7422502.0
2019-11-19,27.12,27.49,27.12,27.35,5490805.0
