date,Open,High,Low,Close,Volume
2019-08-20,25.19,25.21,24.93,25.03,2583047.0
2019-08-21,25.26,25.55,25.1,25.5,2687869.0
2019-08-22,25.58,25.715,25.33,25.64,2374917.0
2019-08-23,25.54,25.92,25.031,25.12,4285246.0
2019-08-26,25.25,25.45,25.09,25.45,2517977.0
2019-08-27,25.64,25.71,25.03,25.05,3278426.0
2019-08-28,25.01,25.66,24.98,25.65,4236048.0
2019-08-29,25.85,26.32,25.78,26.11,2982545.0
2019-08-30,26.15,26.5,26.055,26.31,4557895.0
2019-09-03,26.19,26.42,26.03,26.4,2833794.0
2019-09-04,26.54,26.72,26.4699,26.62,3061435.0
2019-09-05,26.48,26.79,26.4,26.59,3739856.0
2019-09-06,26.6,26.83,26.515,26.71,4290902.0
2019-09-09,26.71,26.935,26.64,26.88,3960564.0
2019-09-10,26.83,27.42,26.81,27.34,3101549.0
2019-09-11,27.28,27.995,27.26,27.99,3965279.0
2019-09-12,28.13,28.21,27.72,27.87,3343649.0
2019-09-13,27.92,28.06,27.35,27.41,4078568.0
2019-09-16,27.27,27.62,27.134,27.59,3182793.0
2019-09-17,27.81,27.85,27.3982,27.83,2050187.0
2019-09-18,27.86,27.94,27.64,27.82,3159878.0
2019-09-19,27.81,28.0172,27.66,27.79,2277913.0
2019-09-20,27.89,27.96,27.48,27.64,4976719.0
2019-09-23,27.41,27.87,27.37,27.62,3082995.0
2019-09-24,27.69,27.76,27.39,27.55,3001289.0
2019-09-25,27.54,27.915,27.535,27.84,2593227.0
2019-09-26,27.91,28.05,27.67,27.9,1755661.0
2019-09-27,28.0,28.065,27.5916,27.79,2337759.0
2019-09-30,27.88,27.9825,27.635,27.7,2468346.0
2019-10-01,27.7,27.92,27.24,27.25,2641884.0
2019-10-02,27.21,27.21,26.51,26.73,3581033.0
2019-10-03,26.69,26.95,26.35,26.94,2960634.0
2019-10-04,26.94,27.11,26.805,27.02,2900421.0
2019-10-07,26.95,27.155,26.78,27.01,2279630.0
2019-10-08,26.9,26.9,26.24,26.36,2821497.0
2019-10-09,26.52,26.77,26.5,26.62,2240220.0
2019-10-10,26.57,26.81,26.51,26.66,2487934.0
