date,Open,High,Low,Close,Volume
2019-08-20,28.19,28.43,28.03,28.08,1487809.0
2019-08-21,28.47,28.79,28.3,28.59,1588245.0
2019-08-22,28.77,29.07,28.56,28.61,2118599.0
2019-08-23,28.24,28.62,27.67,27.78,2621034.0
2019-08-26,28.16,28.39,27.99,28.1,1603984.0
2019-08-27,27.31,28.09,27.25,27.49,2136355.0
2019-08-28,27.43,28.07,27.43,27.82,2109946.0
2019-08-29,28.24,28.91,28.24,28.79,1505181.0
2019-08-30,29.11,29.44,28.83,28.99,2053639.0
2019-09-03,28.6,29.21,28.54,29.11,2431407.0
2019-09-04,29.4,29.74,29.08,29.31,1405438.0
2019-09-05,29.63,30.26,29.63,29.85,1774684.0
2019-09-06,29.78,30.15,29.68,29.85,1493585.0
2019-09-09,30.1,31.56,30.09,31.3,2916850.0
2019-09-10,31.38,31.62,31.14,31.3,2014330.0
2019-09-11,31.26,31.49,30.46,31.23,1701503.0
2019-09-12,31.11,31.36,30.11,30.47,2400229.0
2019-09-13,30.62,31.04,30.54,30.82,1368017.0
2019-09-16,30.69,31.1,30.4,31.06,1265925.0
2019-09-17,30.72,30.85,30.25,30.73,1012138.0
2019-09-18,30.76,30.76,30.13,30.58,1287969.0
2019-09-19,30.71,30.87,30.15,30.2,1245844.0
2019-09-20,30.4,30.65,29.63,29.64,3144129.0
2019-09-23,29.57,30.15,29.39,29.83,1763937.0
2019-09-24,29.98,30.19,29.34,29.51,1399904.0
2019-09-25,29.58,30.15,29.58,30.0,1013306.0
2019-09-26,30.0,30.4,29.61,30.39,2879320.0
2019-09-27,30.37,30.81,30.24,30.33,1813635.0
2019-09-30,30.39,30.71,29.89,29.91,2227194.0
2019-10-01,30.17,30.61,29.47,29.47,1919717.0
2019-10-02,29.17,29.29,28.64,28.97,1493117.0
2019-10-03,28.89,29.35,28.6,29.33,1396529.0
2019-10-04,29.44,29.68,28.97,29.59,1428837.0
2019-10-07,29.46,30.11,29.33,29.83,1905952.0
2019-10-08,29.51,29.66,28.29,28.31,2070022.0
2019-10-09,28.59,28.94,28.35,28.76,1214283.0
2019-10-10,28.75,29.23,28.73,28.82,1221762.0
2019-10-11,29.23,29.8,29.12,29.41,1987702.0
2019-10-14,29.35,29.41,29.05,29.26,1281663.0
2019-10-15,29.33,30.06,29.3,29.84,1296082.0
2019-10-16,29.73,29.98,29.36,29.45,1527110.0
2019-10-17,29.54,29.68,29.34,29.57,723519.0
2019-10-18,29.42,29.98,29.42,29.8,1558454.0
2019-10-21,29.98,30.32,29.9,29.96,1136119.0
2019-10-22,29.94,30.51,29.83,30.36,1185975.0
2019-10-23,30.1,30.73,29.93,30.68,1517370.0
2019-10-24,30.84,30.99,30.29,30.38,1101678.0
2019-10-25,30.28,30.7,30.25,30.51,1440716.0
2019-10-28,30.72,31.02,30.62,30.79,1423151.0
2019-10-29,32.81,35.86,32.81,34.42,6324313.0
2019-10-30,34.03,34.72,33.44,34.12,2913691.0
2019-10-31,34.13,34.24,33.7,33.93,2902641.0
2019-11-01,34.04,34.07,33.43,33.48,1918859.0
2019-11-04,33.44,34.8,33.2,34.67,1910706.0
2019-11-05,36.5,36.99,36.05,36.37,3265919.0
2019-11-06,36.37,38.0,36.1,37.66,10862018.0
2019-11-07,38.03,38.55,37.23,37.31,5836378.0
2019-11-08,37.59,39.38,37.31,38.85,4746708.0
2019-11-11,38.54,39.2,37.89,38.36,2061595.0
2019-11-12,38.42,38.42,37.17,37.45,3256298.0
2019-11-13,37.3,37.78,37.15,37.6,1550805.0
2019-11-14,37.8,38.95,37.75,38.65,3367916.0
2019-11-15,39.03,39.2,38.55,38.94,2276717.0
2019-11-18,38.56,39.43,38.46,39.3,2242614.0
2019-11-19,39.37,39.47,38.48,38.69,3022010.0
2019-11-20,38.37,38.62,38.06,38.3,2484543.0
2019-11-21,38.44,38.95,38.24,38.69,2160788.0
2019-11-22,38.69,39.29,38.51,39.06,1526044.0
2019-11-25,39.15,39.15,38.45,38.76,2834283.0
