date,Open,High,Low,Close,Volume
2019-08-20,76.65,76.8,75.88,76.04,513063.0
2019-08-21,76.92,77.04,75.85,75.97,434141.0
2019-08-22,76.59,76.67,75.54,75.57,536212.0
2019-08-23,75.14,75.93,73.35,73.74,1040843.0
2019-08-26,74.37,74.4,73.35,74.06,504543.0
2019-08-27,74.7,74.83,74.02,74.28,586254.0
2019-08-28,74.06,75.12,73.6,74.99,356861.0
2019-08-29,76.0,76.99,75.66,76.39,850432.0
2019-08-30,77.17,77.37,76.23,76.61,637587.0
2019-09-03,75.84,76.25,74.08,74.64,707986.0
2019-09-04,75.38,75.99,74.73,75.31,741738.0
2019-09-05,76.07,78.07,76.07,77.75,525318.0
2019-09-06,78.28,79.16,78.05,78.39,700991.0
2019-09-09,78.6,78.6,76.28,77.5,672928.0
2019-09-10,77.47,78.35,76.92,78.35,714765.0
2019-09-11,78.55,79.29,78.13,79.29,957914.0
2019-09-12,79.26,79.45,77.87,78.07,766618.0
2019-09-13,78.47,79.37,78.05,78.67,759894.0
2019-09-16,78.22,78.44,77.29,78.06,578277.0
2019-09-17,78.03,78.46,77.72,78.33,647474.0
2019-09-18,78.02,78.45,77.56,78.39,764123.0
2019-09-19,78.3,79.11,77.87,77.95,523106.0
2019-09-20,78.35,78.55,77.3,77.48,1444504.0
2019-09-23,77.02,77.93,76.81,77.54,549508.0
2019-09-24,77.97,78.59,76.53,76.86,901000.0
2019-09-25,76.81,78.68,76.71,78.56,619191.0
2019-09-26,78.66,79.89,78.56,79.33,869429.0
2019-09-27,79.93,80.43,79.31,80.13,882671.0
2019-09-30,80.34,80.47,79.58,79.62,747956.0
2019-10-01,80.09,80.38,76.37,76.83,850605.0
2019-10-02,75.7,75.97,74.53,74.61,959379.0
2019-10-03,74.28,75.14,72.87,75.12,938047.0
2019-10-04,75.22,76.06,74.97,75.97,466856.0
2019-10-07,75.66,76.41,75.42,75.57,675167.0
2019-10-08,74.63,74.73,73.31,73.43,744695.0
2019-10-09,74.25,74.91,73.62,74.57,514042.0
2019-10-10,74.58,76.24,74.33,75.43,795963.0
2019-10-11,76.53,78.76,76.37,77.63,667434.0
2019-10-14,77.33,77.81,76.94,77.01,561193.0
2019-10-15,77.38,78.83,77.17,78.02,557962.0
2019-10-16,77.74,78.61,77.41,78.18,857372.0
2019-10-17,78.64,79.47,78.53,78.81,626897.0
2019-10-18,78.86,79.92,78.21,79.78,979617.0
2019-10-21,80.26,81.03,79.91,81.01,892695.0
2019-10-22,80.84,81.8,80.55,81.27,743763.0
2019-10-23,81.26,81.97,81.12,81.6,843730.0
2019-10-24,81.9,83.15,80.93,81.98,736544.0
2019-10-25,82.46,83.53,82.12,83.3,713837.0
2019-10-28,83.5,85.67,83.5,84.03,753753.0
2019-10-29,83.44,85.04,83.25,84.77,735811.0
2019-10-30,83.97,84.42,83.13,84.06,966989.0
2019-10-31,80.0,80.41,76.15,76.69,2109341.0
2019-11-01,77.48,79.41,76.48,79.12,2921296.0
2019-11-04,79.24,79.53,78.26,78.65,1143934.0
2019-11-05,78.54,79.69,78.44,79.67,1297847.0
2019-11-06,79.27,79.59,77.23,78.2,963472.0
2019-11-07,78.95,79.0,77.07,77.32,794506.0
2019-11-08,77.18,78.7,77.03,77.33,960884.0
2019-11-11,76.57,76.8,75.24,75.81,914120.0
2019-11-12,75.78,77.33,75.72,76.64,905488.0
2019-11-13,76.58,76.6,75.37,75.77,905347.0
2019-11-14,76.01,77.19,75.77,76.51,874914.0
2019-11-15,77.15,78.16,77.0,77.55,810237.0
2019-11-18,77.29,77.76,76.98,77.31,702814.0
2019-11-19,77.6,78.02,76.91,78.0,929640.0
2019-11-20,77.62,78.01,76.72,77.47,1000137.0
