date,Open,High,Low,Close,Volume
2019-08-20,116.56,117.71,116.09,116.57,1028400.0
2019-08-21,117.03,117.56,116.2,117.23,1065200.0
2019-08-22,117.55,117.99,116.6,117.31,832700.0
2019-08-23,116.98,117.37,114.91,115.31,1800400.0
2019-08-26,116.19,117.29,115.97,117.23,1130300.0
2019-08-27,117.56,118.17,116.67,116.97,1380400.0
2019-08-28,117.08,117.4,116.44,116.96,879500.0
2019-08-29,117.57,117.72,116.37,117.31,1081500.0
2019-08-30,117.9,117.9,116.34,116.78,1154200.0
2019-09-03,116.8,117.49,116.28,116.71,1362800.0
2019-09-04,117.63,117.89,116.09,117.89,1275100.0
2019-09-05,118.58,119.1,117.9,118.16,1375100.0
2019-09-06,117.99,119.43,117.75,119.21,1669900.0
2019-09-09,119.59,119.59,117.22,117.81,1758600.0
2019-09-10,117.11,117.17,113.88,115.27,1889100.0
2019-09-11,114.93,115.91,113.16,113.8,1979900.0
2019-09-12,114.94,115.95,113.13,113.27,1968500.0
2019-09-13,113.17,113.88,110.69,111.36,2477000.0
2019-09-16,110.48,111.74,110.18,110.54,1739900.0
2019-09-17,111.02,112.9,110.88,112.8,2068000.0
2019-09-18,113.37,114.61,113.14,114.58,1955300.0
2019-09-19,114.16,114.74,113.84,114.1,949700.0
2019-09-20,114.34,114.87,112.27,112.3,3256300.0
2019-09-23,112.0,114.51,111.51,113.59,1291100.0
2019-09-24,114.37,114.51,111.93,112.24,3414400.0
2019-09-25,112.16,112.27,111.02,111.51,2403900.0
2019-09-26,111.99,113.82,111.99,112.81,1471400.0
2019-09-27,113.31,113.45,112.2,112.99,924700.0
2019-09-30,113.13,113.81,112.72,113.43,1247700.0
2019-10-01,113.4,113.42,112.33,112.89,1042700.0
2019-10-02,112.36,112.7,111.44,112.67,1445400.0
2019-10-03,112.67,114.12,112.23,113.68,1327300.0
2019-10-04,113.82,114.95,113.71,114.66,1359800.0
2019-10-07,114.45,114.59,113.66,113.69,991000.0
2019-10-08,113.42,113.42,111.82,112.59,1406500.0
2019-10-09,113.1,113.87,112.84,113.33,946300.0
2019-10-10,113.0,114.62,112.93,114.33,841200.0
2019-10-11,114.8,115.17,114.03,114.45,1760500.0
2019-10-14,114.01,114.75,112.71,112.82,1040400.0
2019-10-15,113.37,113.52,110.55,111.3,1740000.0
2019-10-16,110.93,111.71,110.5,111.48,1284300.0
2019-10-17,111.69,112.33,110.25,110.37,1209900.0
2019-10-18,109.99,112.6,109.58,112.3,1952300.0
2019-10-21,112.87,113.21,111.31,112.31,1228500.0
2019-10-22,112.3,112.3,110.07,110.1,1783800.0
2019-10-23,110.12,110.72,108.09,109.27,1849600.0
2019-10-24,109.62,109.78,108.73,108.95,1391700.0
2019-10-25,108.83,109.7,108.6,109.1,985700.0
2019-10-28,109.69,110.71,109.51,109.51,2127600.0
2019-10-29,109.79,110.54,109.49,109.72,2024900.0
2019-10-30,102.49,103.6,97.74,103.34,9020100.0
2019-10-31,103.03,103.34,100.17,101.71,3934000.0
2019-11-01,101.93,102.23,99.19,99.65,2968500.0
2019-11-04,99.5,100.42,98.19,98.45,3067900.0
2019-11-05,98.6,98.7,96.94,97.93,2474000.0
2019-11-06,98.15,100.7,97.4,100.09,4237500.0
2019-11-07,100.1,100.38,98.62,99.66,2632700.0
2019-11-08,99.52,100.19,98.55,98.9,2365800.0
2019-11-11,98.86,99.58,98.68,98.83,2348300.0
2019-11-12,99.23,99.91,97.59,98.34,2268000.0
2019-11-13,98.71,99.43,98.15,98.38,1901300.0
2019-11-14,98.25,98.77,97.56,98.11,2240500.0
2019-11-15,98.63,98.86,97.85,98.28,2575800.0
2019-11-18,98.64,99.03,97.91,98.28,2485900.0
2019-11-19,98.33,98.53,97.54,98.08,2307900.0
2019-11-20,98.0,99.01,97.69,98.12,2234000.0
2019-11-21,98.5,99.15,97.85,97.9,2430600.0
2019-11-22,98.32,98.74,97.35,97.62,1543900.0
2019-11-25,97.49,98.22,97.47,98.01,2056000.0
2019-11-26,98.06,99.77,97.98,99.75,4723400.0
2019-11-27,99.78,101.06,99.57,100.64,2316300.0
2019-11-29,100.87,101.19,100.14,100.67,980600.0
2019-12-02,100.71,100.95,99.95,100.56,1412900.0
2019-12-03,100.44,100.87,99.18,99.45,1914500.0
