date,Open,High,Low,Close,Volume
2019-08-20,138.6,139.77,137.88,137.95,1224499.0
2019-08-21,138.61,138.61,137.09,137.43,1112635.0
2019-08-22,137.69,138.01,136.25,137.11,673273.0
2019-08-23,136.79,137.28,133.06,133.64,1279815.0
2019-08-26,134.65,135.3,133.68,134.83,891545.0
2019-08-27,135.56,136.46,134.19,134.5,797911.0
2019-08-28,134.28,137.28,133.92,137.14,653327.0
2019-08-29,138.26,138.74,137.41,138.18,979319.0
2019-08-30,138.6,139.75,138.26,139.2,1025677.0
2019-09-03,138.16,139.72,137.9,139.39,871555.0
2019-09-04,140.0,140.46,136.92,138.01,991676.0
2019-09-05,139.4,139.82,138.17,139.54,809308.0
2019-09-06,139.74,140.71,138.92,139.74,857093.0
2019-09-09,140.42,140.42,136.68,137.08,1121104.0
2019-09-10,136.32,138.54,134.83,138.52,1209229.0
2019-09-11,138.03,141.75,137.56,140.29,1033406.0
2019-09-12,141.31,143.0,140.1,142.61,1171418.0
2019-09-13,142.19,143.57,138.3,138.79,1127022.0
2019-09-16,138.01,139.09,136.81,137.66,736643.0
2019-09-17,137.65,139.56,137.32,138.84,1074764.0
2019-09-18,142.4,142.4,138.47,139.41,1372851.0
2019-09-19,139.42,140.65,139.21,139.66,886855.0
2019-09-20,140.17,142.27,139.46,142.02,1673506.0
2019-09-23,141.42,142.49,140.24,141.65,905897.0
2019-09-24,142.24,143.11,139.56,140.06,1170277.0
2019-09-25,140.12,140.12,137.27,137.36,1370471.0
2019-09-26,137.74,138.16,135.56,136.84,1124015.0
2019-09-27,136.79,137.24,133.8,134.13,955982.0
2019-09-30,134.54,137.73,134.52,137.27,803286.0
2019-10-01,137.36,138.49,133.54,133.61,782189.0
2019-10-02,132.73,133.81,130.54,131.95,1269053.0
2019-10-03,131.53,133.08,130.27,132.94,864396.0
2019-10-04,133.71,134.75,132.77,134.45,746270.0
2019-10-07,136.17,137.11,134.1,134.5,913513.0
2019-10-08,133.63,133.93,130.62,131.22,1321692.0
2019-10-09,132.3,133.63,131.0,133.42,903356.0
2019-10-10,132.72,135.17,132.29,134.07,1043178.0
2019-10-11,135.14,137.61,135.14,136.44,1155461.0
2019-10-14,136.19,137.23,134.6,135.24,756985.0
2019-10-15,136.98,139.15,135.89,137.89,1186808.0
2019-10-16,137.55,137.67,135.08,136.58,1173367.0
2019-10-17,137.12,138.91,136.96,138.51,666110.0
2019-10-18,138.03,138.92,136.99,137.61,740355.0
2019-10-21,138.03,138.6,136.61,137.6,829434.0
2019-10-22,137.94,137.94,134.75,134.82,683095.0
2019-10-23,135.3,136.09,134.85,135.22,487057.0
2019-10-24,135.47,137.54,133.54,134.89,712102.0
2019-10-25,134.96,135.12,133.94,134.07,726469.0
2019-10-28,134.92,137.0,134.79,135.95,561496.0
2019-10-29,135.75,138.86,135.58,138.19,789812.0
2019-10-30,137.5,138.11,136.98,138.07,567393.0
2019-10-31,138.01,138.65,136.72,138.23,793680.0
2019-11-01,139.46,140.21,138.15,138.22,911809.0
2019-11-04,138.73,139.19,136.06,136.53,1699275.0
2019-11-05,141.0,143.45,139.12,140.31,2693210.0
2019-11-06,142.4,144.44,141.77,143.22,1515666.0
2019-11-07,142.86,143.96,141.13,141.93,1261346.0
2019-11-08,141.49,144.96,141.14,144.0,1026051.0
2019-11-11,143.01,143.43,140.93,143.32,911960.0
2019-11-12,143.61,145.46,143.48,144.54,789113.0
2019-11-13,144.32,144.71,143.07,144.37,641565.0
2019-11-14,144.15,145.39,143.67,145.03,575718.0
2019-11-15,145.39,147.24,144.54,146.78,870970.0
2019-11-18,146.67,147.52,144.65,144.99,863693.0
2019-11-19,145.67,146.04,144.49,144.54,856952.0
2019-11-20,144.47,145.67,142.02,142.57,1272317.0
2019-11-21,142.15,142.59,141.12,142.32,786801.0
2019-11-22,142.93,143.85,142.65,143.82,587742.0
2019-11-25,144.09,145.46,143.71,145.08,847201.0
2019-11-26,145.58,145.8,144.32,144.86,919185.0
2019-11-27,144.65,146.89,144.55,146.56,487365.0
2019-11-29,146.59,146.74,144.88,145.28,351599.0
2019-12-02,145.57,145.93,144.08,144.46,512652.0
2019-12-03,143.54,144.39,142.67,143.4,569474.0
2019-12-04,147.79,150.79,146.76,148.37,1513561.0
2019-12-05,147.45,148.96,147.25,147.62,867669.0
2019-12-06,148.07,149.63,147.78,148.53,760634.0
2019-12-09,148.47,148.81,146.55,146.72,613406.0
2019-12-10,147.0,147.7,145.03,145.23,875117.0
