date,Open,High,Low,Close,Volume
2019-08-20,40.45,40.72,40.36,40.48,2101034.0
2019-08-21,40.91,41.14,40.58,40.93,2475070.0
2019-08-22,41.34,41.44,40.88,41.14,2197839.0
2019-08-23,40.93,41.41,39.9,40.03,3474301.0
2019-08-26,40.37,40.4,39.81,40.2,2471514.0
2019-08-27,40.42,40.91,39.15,39.49,2961236.0
2019-08-28,39.23,40.14,39.11,40.02,2023025.0
2019-08-29,40.41,41.13,40.39,40.77,1797467.0
2019-08-30,41.1,41.45,40.82,41.09,1490782.0
2019-09-03,40.78,40.78,39.74,39.79,2579909.0
2019-09-04,40.08,40.25,39.65,40.01,2230751.0
2019-09-05,40.75,41.73,40.67,41.14,2210582.0
2019-09-06,41.07,41.31,40.8,40.94,1737221.0
2019-09-09,41.39,42.57,40.97,42.37,3143918.0
2019-09-10,42.72,43.69,42.55,43.66,3048257.0
2019-09-11,43.67,44.24,42.91,44.15,2356869.0
2019-09-12,43.79,44.71,43.2,44.63,1862399.0
2019-09-13,45.07,45.42,44.63,44.77,2510766.0
2019-09-16,44.45,45.24,44.13,45.18,1948566.0
2019-09-17,44.9,44.9,44.16,44.54,1323050.0
2019-09-18,44.4,45.3,44.09,45.08,1806985.0
2019-09-19,45.13,45.26,44.54,44.58,2280934.0
2019-09-20,44.85,44.96,44.27,44.51,3296522.0
2019-09-23,44.36,44.53,43.9,44.3,1259036.0
2019-09-24,44.25,44.58,43.35,43.77,2018569.0
2019-09-25,43.73,44.44,43.72,44.37,1145009.0
2019-09-26,44.29,44.38,43.93,43.96,861362.0
2019-09-27,44.41,44.9,43.93,44.36,1332120.0
2019-09-30,44.57,44.78,44.17,44.52,1239270.0
2019-10-01,44.77,45.02,42.86,42.97,1663245.0
2019-10-02,42.62,42.87,41.91,42.26,1877441.0
2019-10-03,42.22,42.69,41.61,42.69,2270791.0
2019-10-04,42.6,43.26,42.17,43.2,1214797.0
2019-10-07,43.19,43.76,43.0,43.44,1078268.0
2019-10-08,42.23,42.68,42.0,42.21,2342023.0
2019-10-09,42.49,42.65,42.19,42.42,1274771.0
2019-10-10,42.62,43.53,42.52,43.21,1324335.0
2019-10-11,43.72,44.6,43.71,44.09,1683778.0
2019-10-14,43.87,44.2,43.51,44.15,1048774.0
2019-10-15,44.42,45.27,44.06,44.76,1531898.0
2019-10-16,44.88,45.09,44.45,44.66,1972602.0
2019-10-17,44.95,44.96,43.99,44.04,2448845.0
2019-10-18,44.11,44.86,43.83,44.72,3430432.0
2019-10-21,45.19,45.69,45.0,45.67,2781291.0
2019-10-22,48.5,48.9,46.81,48.08,5318980.0
2019-10-23,48.04,48.38,47.28,47.94,1992488.0
2019-10-24,47.96,48.04,47.41,47.51,1535988.0
2019-10-25,47.46,48.37,47.43,47.95,1572193.0
2019-10-28,48.18,48.98,48.05,48.8,1951993.0
2019-10-29,48.58,49.51,48.58,49.38,2419807.0
2019-10-30,49.28,49.6,48.76,49.22,2003454.0
2019-10-31,48.83,49.07,47.98,48.47,1898247.0
2019-11-01,48.92,49.35,48.68,49.35,1669345.0
2019-11-04,49.92,50.38,49.6,50.21,1948971.0
2019-11-05,50.31,51.08,50.29,50.71,9683266.0
2019-11-06,50.51,50.58,49.86,50.37,3335585.0
2019-11-07,50.61,51.55,50.52,51.04,2931472.0
2019-11-08,50.74,51.34,50.61,51.07,3922359.0
2019-11-11,50.64,51.1,50.52,50.98,1471639.0
2019-11-12,51.01,51.06,50.5,50.72,1883051.0
2019-11-13,49.82,50.0,49.37,49.63,1799961.0
2019-11-14,49.36,49.54,49.02,49.5,1804262.0
2019-11-15,49.62,49.79,49.48,49.55,1282522.0
2019-11-18,49.57,49.57,49.04,49.31,1509072.0
2019-11-19,49.51,49.71,49.26,49.3,1341616.0
2019-11-20,48.9,49.22,48.54,48.89,2294402.0
2019-11-21,49.09,49.3,48.53,49.14,1734968.0
2019-11-22,49.08,50.17,49.08,49.96,2589417.0
2019-11-25,50.16,50.44,49.8,50.17,1454418.0
2019-11-26,50.0,50.0,49.57,49.66,1239165.0
2019-11-27,49.93,50.14,49.75,50.07,1097524.0
2019-11-29,49.94,50.11,49.7,49.78,520604.0
2019-12-02,50.2,50.31,49.43,49.5,1243738.0
2019-12-03,48.75,49.0,48.03,48.57,1430813.0
2019-12-04,48.79,49.38,48.64,49.11,1130064.0
2019-12-05,49.44,49.57,49.05,49.3,1271649.0
2019-12-06,50.03,50.47,49.69,49.71,1805000.0
2019-12-09,49.72,49.84,49.53,49.66,1214401.0
2019-12-10,49.67,50.09,49.37,49.91,1463457.0
2019-12-11,50.05,50.25,49.61,49.84,1156863.0
2019-12-12,49.96,51.86,49.9,51.81,2483224.0
2019-12-13,51.72,52.0,50.89,51.15,1243394.0
2019-12-16,51.59,51.98,51.15,51.19,4604377.0
2019-12-17,51.02,51.69,50.91,51.51,2093869.0
2019-12-18,51.6,51.73,51.07,51.35,1539093.0
2019-12-19,51.34,51.6,51.23,51.49,1518278.0
2019-12-20,51.77,51.97,51.29,51.63,5758438.0
2019-12-23,51.68,51.74,51.22,51.34,937956.0
2019-12-24,51.55,51.59,51.29,51.53,312632.0
2019-12-26,51.48,51.71,50.51,51.66,586397.0
2019-12-27,51.86,51.86,51.36,51.5,921623.0
2019-12-30,51.81,52.08,51.3,51.77,1511594.0
2019-12-31,51.61,52.04,51.61,51.92,1246905.0
2020-01-02,52.36,52.48,51.79,52.44,1498384.0
2020-01-03,51.41,51.89,51.16,51.7,1215809.0
2020-01-06,51.08,51.68,50.81,51.07,1217498.0
2020-01-07,50.79,51.13,50.61,50.76,1451441.0
2020-01-08,50.9,51.49,50.73,51.26,2395953.0
2020-01-09,51.59,51.66,51.22,51.6,1384242.0
2020-01-10,51.55,51.55,50.61,50.67,1724704.0
2020-01-13,50.89,51.05,50.46,51.02,2426836.0
2020-01-14,50.99,51.64,50.76,51.42,1252693.0
2020-01-15,50.86,50.86,50.12,50.37,2017183.0
2020-01-16,50.71,51.24,50.49,50.74,1800057.0
2020-01-17,50.92,51.21,50.5,50.74,1835021.0
2020-01-21,50.58,50.58,49.85,49.9,3181734.0
2020-01-22,47.66,48.56,47.19,47.84,4964000.0
2020-01-23,47.73,47.99,47.25,47.79,3236333.0
2020-01-24,47.88,47.88,46.24,46.63,2591378.0
2020-01-27,45.78,46.69,45.61,46.46,3088150.0
2020-01-28,47.0,47.41,46.68,47.09,2034594.0
2020-01-29,47.17,47.43,46.33,46.37,1681633.0
2020-01-30,46.13,46.81,45.71,46.76,1318187.0
2020-01-31,46.29,46.34,45.4,45.49,1880757.0
2020-02-03,45.85,46.33,45.62,46.11,2642626.0
2020-02-04,46.75,47.3,46.59,46.68,2292345.0
2020-02-05,47.24,48.155,47.17,48.01,2326101.0
2020-02-06,48.21,48.41,46.94,47.01,2144221.0
2020-02-07,46.84,46.84,45.95,46.23,2611817.0
2020-02-10,45.7,46.03,45.29,45.65,2411622.0
2020-02-11,45.82,46.81,45.73,46.28,2381058.0
2020-02-12,46.12,46.55,45.87,46.11,1434942.0
2020-02-13,45.74,46.49,45.72,46.44,1293361.0
2020-02-14,46.2,46.5,46.14,46.26,1147648.0
2020-02-18,46.02,46.21,44.99,45.09,2467838.0
2020-02-19,45.27,45.86,45.09,45.81,1655298.0
2020-02-20,45.63,46.42,45.63,46.25,1973900.0
2020-02-21,45.8,46.04,45.01,45.43,2009945.0
2020-02-24,44.21,44.57,43.28,43.76,2330007.0
2020-02-25,43.91,44.53,42.24,42.38,2790732.0
2020-02-26,42.79,42.93,41.65,41.82,2394329.0
2020-02-27,40.95,42.23,40.24,40.59,2469462.0
2020-02-28,39.23,40.72,39.1,39.95,4249406.0
2020-03-02,39.67,41.31,38.82,41.3,5006686.0
2020-03-03,40.98,41.34,38.52,38.9,3920659.0
2020-03-04,39.3,39.3,37.58,38.48,4440483.0
2020-03-05,37.44,37.44,35.83,36.1,5762870.0
2020-03-06,34.44,36.19,34.21,35.28,5930918.0
2020-03-09,33.0,33.37,30.82,31.03,9843574.0
2020-03-10,32.4,32.67,30.75,32.24,4999056.0
2020-03-11,31.23,31.69,29.6,29.95,7698257.0
2020-03-12,27.83,29.87,27.23,27.6,9309073.0
2020-03-13,29.51,29.84,27.67,29.42,10178275.0
2020-03-16,25.89,28.69,25.27,26.56,6062134.0
2020-03-17,27.31,28.49,25.86,28.05,5471310.0
2020-03-18,26.26,28.32,25.85,27.47,6266991.0
2020-03-19,26.91,28.02,26.11,27.25,5535030.0
2020-03-20,27.37,27.66,25.4,25.58,6262045.0
2020-03-23,25.9,26.05,23.58,24.08,6227664.0
