date,Open,High,Low,Close,Volume
2019-08-20,127.54,128.41,125.94,126.05,1657143.0
2019-08-21,126.84,128.13,126.2,127.64,1874969.0
2019-08-22,127.88,128.11,125.52,126.64,2397878.0
2019-08-23,126.58,127.49,122.42,123.07,2321435.0
2019-08-26,124.31,126.24,124.25,126.2,1267522.0
2019-08-27,127.01,127.47,124.75,125.24,2394879.0
2019-08-28,124.75,126.27,124.46,125.77,1110045.0
2019-08-29,126.47,126.96,125.2,126.68,1498847.0
2019-08-30,127.13,127.44,125.66,126.42,1601182.0
2019-09-03,126.13,127.45,125.98,127.04,1887417.0
2019-09-04,127.65,127.79,126.58,127.59,1953884.0
2019-09-05,128.7,129.03,127.71,128.07,1721439.0
2019-09-06,128.28,129.48,127.86,128.43,1698163.0
2019-09-09,130.08,130.08,125.79,126.66,2575345.0
2019-09-10,125.82,125.82,121.61,123.03,3089390.0
2019-09-11,123.02,124.28,120.01,120.7,3365269.0
2019-09-12,121.29,122.86,121.06,121.69,2444834.0
2019-09-13,121.71,122.2,120.24,121.02,3116126.0
2019-09-16,120.0,120.74,119.52,119.64,2646471.0
2019-09-17,120.07,122.85,120.07,122.42,2187941.0
2019-09-18,122.78,123.57,121.99,123.24,1674811.0
2019-09-19,123.4,124.85,123.32,124.27,1424399.0
2019-09-20,124.92,126.14,124.64,125.62,2585539.0
2019-09-23,125.35,126.45,124.27,125.08,1611524.0
2019-09-24,125.48,126.37,124.56,125.05,1848190.0
2019-09-25,124.65,125.33,123.9,124.78,1196583.0
2019-09-26,124.9,126.53,124.9,126.06,1870787.0
2019-09-27,126.77,126.92,123.43,123.9,1664029.0
2019-09-30,125.01,125.3,123.88,124.59,1937297.0
2019-10-01,124.99,126.12,124.53,125.12,1565194.0
2019-10-02,124.12,125.2,121.57,122.29,1743434.0
2019-10-03,121.95,124.74,121.9,124.28,1677615.0
2019-10-04,124.96,127.24,124.96,127.05,1471502.0
2019-10-07,126.33,127.0,125.79,126.07,1009870.0
2019-10-08,125.01,126.83,124.32,125.38,1776857.0
2019-10-09,125.97,126.89,125.22,126.43,1486009.0
2019-10-10,125.71,128.43,125.62,127.41,1918456.0
2019-10-11,128.2,130.09,128.05,128.47,2316328.0
2019-10-14,128.6,129.0,126.26,126.59,1897421.0
2019-10-15,127.31,130.2,127.23,128.71,2028782.0
2019-10-16,128.42,129.14,127.51,127.93,1656071.0
2019-10-17,128.83,129.02,127.93,128.47,1518400.0
2019-10-18,128.41,129.37,127.66,128.12,2451391.0
2019-10-21,128.23,128.5,125.85,126.45,1674005.0
2019-10-22,127.0,127.2,122.45,122.81,2338223.0
2019-10-23,122.55,123.0,121.04,121.8,2848142.0
2019-10-24,122.61,124.02,122.52,122.95,2228197.0
2019-10-25,123.17,124.72,123.11,124.36,1561029.0
2019-10-28,124.46,125.83,124.24,125.13,1441780.0
2019-10-29,125.69,127.64,125.69,126.16,1683741.0
2019-10-30,126.66,127.91,126.05,127.6,2042091.0
2019-10-31,127.44,128.31,127.13,127.92,1905320.0
2019-11-01,128.78,129.18,125.26,125.34,2466234.0
2019-11-04,126.07,126.27,124.31,124.76,1918835.0
2019-11-05,124.76,124.89,119.81,120.25,4491000.0
2019-11-06,120.49,121.78,120.04,121.47,3507717.0
2019-11-07,125.4,126.0,120.14,121.03,3945352.0
2019-11-08,120.82,121.75,116.31,117.86,3818916.0
2019-11-11,117.29,118.15,116.29,117.03,2035190.0
2019-11-12,116.63,118.05,116.1,117.2,2131421.0
2019-11-13,116.99,117.74,115.89,116.45,2508296.0
2019-11-14,116.15,117.15,114.96,116.25,1958481.0
2019-11-15,116.72,117.92,116.21,117.92,3429185.0
2019-11-18,117.58,120.49,117.58,118.8,3023071.0
2019-11-19,119.01,120.53,118.57,120.33,2349545.0
2019-11-20,120.33,121.24,118.79,119.56,2142938.0
2019-11-21,119.86,121.07,119.39,120.22,1654518.0
2019-11-22,120.41,121.06,119.18,119.81,1627712.0
2019-11-25,120.74,121.97,120.0,120.61,1774394.0
2019-11-26,120.91,122.0,120.25,121.89,3689493.0
2019-11-27,122.14,122.92,120.94,121.63,1443349.0
2019-11-29,121.29,121.82,120.1,120.52,1064417.0
2019-12-02,120.87,121.5,118.81,119.91,2050420.0
2019-12-03,119.64,120.79,119.26,120.53,2447226.0
2019-12-04,121.01,121.92,119.63,119.74,2566481.0
2019-12-05,119.2,120.26,118.0,120.11,2771084.0
2019-12-06,121.0,121.92,120.91,121.72,2387194.0
2019-12-09,121.49,122.0,120.63,121.23,1570775.0
2019-12-10,122.0,123.0,121.59,122.78,2047041.0
2019-12-11,123.2,123.71,122.81,123.56,1697537.0
2019-12-12,123.69,125.0,123.39,124.33,2041824.0
2019-12-13,123.95,124.62,123.15,124.45,1130093.0
2019-12-16,125.0,126.5,124.37,126.46,1391056.0
2019-12-17,126.72,127.36,125.24,127.1,1994846.0
2019-12-18,127.15,127.63,126.56,126.99,2350195.0
2019-12-19,127.63,128.89,127.45,128.74,2055746.0
2019-12-20,129.38,133.52,128.98,132.68,5320307.0
2019-12-23,132.71,133.06,131.39,132.37,1632282.0
2019-12-24,132.21,133.08,131.29,132.92,442469.0
2019-12-26,133.19,133.19,132.32,133.03,929358.0
2019-12-27,133.4,133.48,132.38,133.25,1296099.0
2019-12-30,133.57,133.66,131.81,132.21,941961.0
2019-12-31,132.01,132.58,131.45,132.35,1128567.0
2020-01-02,132.05,134.28,131.48,134.14,1576715.0
2020-01-03,132.48,134.91,132.27,134.16,1274048.0
2020-01-06,133.78,134.07,132.71,133.13,2333456.0
2020-01-07,133.0,134.81,132.67,133.58,1226256.0
2020-01-08,133.76,135.27,133.24,133.29,1766675.0
2020-01-09,134.01,136.37,134.01,135.06,2075355.0
2020-01-10,135.3,136.0,134.77,135.57,1248963.0
2020-01-13,136.07,136.75,135.46,136.51,1797602.0
2020-01-14,136.42,137.28,135.52,137.27,1848833.0
2020-01-15,137.41,139.0,137.34,138.54,1859371.0
2020-01-16,138.78,139.4,138.02,139.24,1822755.0
2020-01-17,139.62,140.4,138.86,140.16,1993174.0
2020-01-21,139.12,142.52,138.97,141.93,4693288.0
2020-01-22,142.73,143.33,141.21,141.5,1888928.0
2020-01-23,141.29,141.77,137.52,138.34,2148497.0
2020-01-24,139.62,139.62,136.15,136.31,2047030.0
2020-01-27,134.42,136.44,134.03,135.96,1656362.0
2020-01-28,136.14,138.92,135.49,138.26,2176500.0
2020-01-29,138.97,139.97,138.44,138.51,1366469.0
2020-01-30,137.64,138.33,136.06,138.03,1735411.0
2020-01-31,137.6,137.97,134.0,134.21,2582290.0
2020-02-03,134.73,137.47,134.2,135.52,2376967.0
2020-02-04,137.08,139.44,136.69,138.97,1839782.0
2020-02-05,139.96,140.3,137.545,137.89,1507609.0
2020-02-06,137.96,139.1,136.87,138.97,2206839.0
2020-02-07,139.05,139.16,138.03,138.9,1780830.0
2020-02-10,138.62,142.74,138.35,142.55,2455986.0
2020-02-11,143.4,144.35,142.65,144.03,2274224.0
2020-02-12,143.45,144.46,142.43,142.98,1830120.0
2020-02-13,141.93,146.26,141.25,144.94,3384463.0
2020-02-14,144.94,145.4,143.12,144.17,1810544.0
2020-02-18,144.03,144.13,142.61,143.65,2461698.0
2020-02-19,143.5,145.61,142.81,144.06,1676561.0
2020-02-20,143.75,144.09,141.24,143.55,1182536.0
2020-02-21,142.93,143.0,141.5,142.23,1754761.0
2020-02-24,139.28,140.82,137.54,138.39,1642041.0
2020-02-25,138.79,138.85,134.32,134.82,2236164.0
2020-02-26,135.94,139.25,135.5,136.15,2562064.0
2020-02-27,134.46,137.43,133.9,133.95,3075217.0
2020-02-28,130.4,133.24,127.0,133.23,4776253.0
2020-03-02,133.84,139.17,133.06,138.91,2881583.0
2020-03-03,139.46,141.76,135.62,137.24,2768212.0
2020-03-04,139.95,143.7,138.52,143.62,3283742.0
2020-03-05,140.73,142.64,138.06,139.56,2472637.0
2020-03-06,134.92,137.6,131.83,137.05,3204214.0
2020-03-09,128.8,133.29,127.59,129.72,2827369.0
2020-03-10,133.62,133.62,127.27,132.72,3265548.0
2020-03-11,130.39,131.65,127.36,130.27,3527381.0
2020-03-12,122.26,127.34,119.92,120.28,5299557.0
2020-03-13,124.35,125.78,117.29,125.48,4073326.0
2020-03-16,114.37,119.92,106.4,107.04,4364704.0
2020-03-17,109.27,118.08,107.15,111.05,5299624.0
2020-03-18,104.5,110.03,96.02,105.82,5216256.0
2020-03-19,104.95,112.89,100.74,102.33,4492457.0
2020-03-20,101.55,106.47,98.53,100.94,6662627.0
2020-03-23,99.06,101.04,90.14,92.66,5405777.0
2020-03-24,98.71,105.22,97.5,103.76,4732473.0
2020-03-25,102.65,112.99,100.52,108.21,4424844.0
2020-03-26,109.51,118.69,109.51,117.91,4158836.0
2020-03-27,114.52,117.78,111.04,111.77,2870096.0
2020-03-30,113.63,117.75,112.43,116.68,2030797.0
2020-03-31,115.68,120.25,113.9,117.69,3956022.0
2020-04-01,113.93,115.36,110.75,111.92,2521032.0
2020-04-02,111.25,116.3,110.87,116.03,2403719.0
2020-04-03,115.08,117.23,113.72,114.61,1701872.0
2020-04-06,119.58,127.46,117.9,126.79,3419874.0
2020-04-07,129.02,130.88,126.02,126.11,3074981.0
2020-04-08,126.36,127.99,122.25,127.25,2478445.0
2020-04-09,126.55,131.15,126.44,128.75,1962328.0
2020-04-13,128.01,128.82,122.11,122.95,3188463.0
2020-04-14,126.42,128.94,124.18,127.82,2508161.0
2020-04-15,125.42,126.12,123.08,123.81,2262855.0
2020-04-16,125.22,128.05,123.98,127.45,2063963.0
2020-04-17,129.74,131.54,128.61,130.72,1977580.0
2020-04-20,128.72,129.14,127.23,127.39,2418611.0
2020-04-21,125.79,126.05,123.58,124.7,2601299.0
2020-04-22,126.53,127.48,125.55,125.81,1943715.0
2020-04-23,126.25,126.62,123.41,123.64,3258744.0
2020-04-24,124.6,126.85,122.66,125.91,1945362.0
2020-04-27,126.96,128.6,126.1,127.42,2202168.0
2020-04-28,128.46,128.7,122.85,123.0,3098372.0
2020-04-29,124.27,126.98,123.01,125.55,2905278.0
2020-04-30,125.5,130.42,124.84,129.31,3075290.0
2020-05-01,127.44,127.89,124.92,127.53,1738347.0
2020-05-04,127.76,128.06,125.56,127.44,1833792.0
2020-05-05,128.65,132.24,128.29,131.3,2445143.0
2020-05-06,125.97,128.91,125.63,125.69,3393866.0
2020-05-07,127.29,127.5,123.37,124.24,3097966.0
2020-05-08,125.21,126.36,124.82,125.47,1617512.0
2020-05-11,125.34,126.85,124.55,126.39,1888251.0
2020-05-12,127.06,127.7,123.87,124.01,1889529.0
2020-05-13,123.53,125.07,121.75,123.03,1879048.0
2020-05-14,122.07,126.53,121.5,126.03,2246802.0
2020-05-15,126.44,127.96,125.31,127.49,2921692.0
2020-05-18,130.18,132.54,129.8,131.42,2762779.0
2020-05-19,131.05,135.76,130.08,134.34,3335349.0
2020-05-20,136.2,137.07,133.04,133.34,2302436.0
2020-05-21,133.79,133.89,129.9,130.33,1413082.0
2020-05-22,129.6,130.78,128.88,130.11,1602422.0
2020-05-26,131.42,132.91,130.14,130.45,2322278.0
2020-05-27,133.7,135.71,130.85,135.64,2287020.0
2020-05-28,137.81,140.24,137.46,138.11,2367779.0
2020-05-29,138.44,139.65,134.95,139.39,2814540.0
2020-06-01,138.65,139.1,137.07,138.34,1412949.0
2020-06-02,138.67,141.51,138.22,141.48,1649063.0
2020-06-03,141.65,143.21,140.67,142.53,1459520.0
2020-06-04,141.02,142.26,139.4,140.52,1524782.0
2020-06-05,141.53,142.43,139.35,141.01,1947778.0
2020-06-08,139.0,141.35,137.67,141.3,1747335.0
2020-06-09,140.88,141.79,138.47,138.8,1622450.0
2020-06-10,139.25,141.22,138.75,139.91,1731140.0
2020-06-11,137.67,138.09,130.71,131.06,2523964.0
2020-06-12,134.37,136.21,131.31,134.07,1638510.0
2020-06-15,131.81,133.66,130.41,133.3,2457946.0
2020-06-16,136.89,137.7,134.71,136.24,1919831.0
2020-06-17,136.77,137.55,136.11,136.79,1454992.0
2020-06-18,135.8,137.69,135.54,137.4,1031525.0
2020-06-19,140.05,140.1,136.43,137.4,2316320.0
2020-06-22,136.81,137.45,136.01,136.94,1107819.0
2020-06-23,138.1,139.05,137.54,138.11,994914.0
2020-06-24,137.03,137.77,133.56,134.3,1701539.0
2020-06-25,134.17,135.48,131.89,135.31,1141676.0
2020-06-26,135.0,135.75,132.6,132.66,2612825.0
2020-06-29,133.26,133.55,131.28,131.98,2126574.0
2020-06-30,132.1,137.82,132.06,137.04,1878794.0
2020-07-01,137.29,138.97,136.7,137.19,1227511.0
2020-07-02,138.58,139.05,137.37,137.66,1307345.0
2020-07-06,138.57,139.6,137.96,138.6,1297787.0
2020-07-07,138.33,140.56,138.11,138.44,1140329.0
2020-07-08,138.72,139.69,137.43,138.81,932569.0
2020-07-09,138.81,139.56,135.34,137.68,962454.0
2020-07-10,137.42,137.83,135.62,137.1,1821085.0
2020-07-13,138.46,141.71,138.12,138.31,1569240.0
2020-07-14,138.23,140.61,138.16,140.4,1163343.0
2020-07-15,141.56,143.79,141.04,142.92,2223156.0
2020-07-16,142.6,142.96,141.47,142.94,1046371.0
2020-07-17,143.8,145.28,142.23,144.66,1518069.0
2020-07-20,145.09,146.69,144.32,145.97,1173703.0
2020-07-21,146.5,147.0,144.17,145.01,1659556.0
2020-07-22,145.41,146.1,144.05,145.11,1020882.0
2020-07-23,145.51,147.085,143.63,144.07,1051513.0
2020-07-24,143.71,144.34,141.88,144.22,1214849.0
2020-07-27,144.2,147.075,143.735,146.92,1256777.0
2020-07-28,147.1,147.8,145.72,145.98,2257542.0
2020-07-29,146.38,148.18,146.04,147.59,1059580.0
2020-07-30,146.03,149.49,146.01,149.11,1129348.0
2020-07-31,148.81,151.91,148.47,151.68,2250132.0
2020-08-03,152.19,155.42,151.73,154.51,1902354.0
2020-08-04,154.0,155.91,153.1865,155.64,1682267.0
2020-08-05,156.0,158.37,155.78,157.72,1599373.0
2020-08-06,158.46,163.98,157.72,161.33,2069138.0
2020-08-07,161.95,161.995,157.41,158.88,1515700.0
2020-08-10,159.33,159.925,157.19,158.09,1393296.0
2020-08-11,158.87,159.475,156.66,156.93,1136692.0
2020-08-12,157.31,160.86,156.89,159.36,1386534.0
2020-08-13,158.67,159.865,158.05,158.87,1192841.0
2020-08-14,158.67,158.77,155.735,157.05,1780230.0
2020-08-17,157.92,158.5832,156.81,157.42,2193215.0
2020-08-18,157.51,160.53,157.09,160.17,1476757.0
2020-08-19,160.04,160.98,158.37,158.58,1076708.0
2020-08-20,158.03,158.89,157.09,158.54,1828452.0
